Stick-left
Frame,Root<a-X>,Root<a-Y>,Root<a-Z>,Root<t-X>,Root<t-Y>,Root<t-Z>,
504,17.3062,-32.919,-19.345,38.4349,476.806,989.252,
505,16.6614,-32.3748,-18.8549,38.0463,478.214,986.678,
506,15.8582,-31.485,-18.4511,37.9793,479.335,984.291,
507,15.3131,-30.9002,-18.189,37.3555,480.547,982.605,
508,14.8133,-30.2943,-18.2476,37.4402,481.221,981.588,
509,14.4878,-30.086,-17.9853,37.344,482.037,980.487,
510,14.2549,-29.5893,-17.9787,36.9704,482.003,979.524,
511,13.9089,-29.3875,-18.0011,36.7925,481.999,979.722,
512,13.7223,-29.2293,-18.0413,36.5017,481.758,980.549,
513,13.7379,-29.2659,-18.2752,36.2188,481.58,981.579,
514,14.109,-29.8005,-18.3417,36.5865,481.022,982.776,
515,14.3325,-30.035,-18.3375,36.9021,480.152,984.881,
516,14.8163,-30.5963,-18.3172,37.3331,478.471,986.486,
517,15.3474,-31.0739,-18.6586,37.4915,477.848,989.468,
518,16.2931,-32.0402,-18.6255,37.1652,476.175,992.85,
519,17.0394,-32.8323,-18.8414,36.8234,474.583,996.092,
520,17.7172,-33.4854,-19.1552,36.59,472.859,999.367,
521,18.7357,-34.5298,-19.5218,36.521,471.106,1002.41,
522,19.5316,-35.2992,-19.868,36.6484,468.956,1006.14,
523,20.5406,-36.3444,-19.9988,36.5012,466.791,1009.83,
524,21.9911,-37.7207,-20.0098,36.8393,464.513,1013.24,
525,23.1193,-38.6526,-20.1516,36.8537,461.678,1017.49,
526,24.0609,-39.4148,-20.6748,37.0835,459.72,1021.78,
527,24.8121,-40.1266,-21.1813,36.9231,457.223,1025.32,
528,25.8486,-41.1651,-21.2005,36.926,454.345,1028.92,
529,26.6663,-41.8327,-21.9009,36.5223,451.816,1032.47,
530,27.7367,-42.8786,-21.9137,36.8229,449.401,1035.89,
531,28.9273,-43.8745,-22.2509,36.2419,446.983,1039.11,
532,30.1992,-44.9488,-22.3897,35.9982,444.957,1042.26,
533,31.3596,-45.8757,-22.0945,36.2081,442.345,1045.25,
534,32.3602,-46.58,-22.3134,35.0989,439.994,1048.72,
535,33.3926,-47.3669,-22.2459,34.8895,437.55,1051.82,
536,34.2406,-47.9753,-22.2038,34.5983,435.259,1055.76,
537,34.9674,-48.5006,-22.4065,34.1326,432.883,1058.7,
538,36.0193,-49.2672,-22.1735,34.2488,429.617,1060.7,
539,36.8315,-49.772,-21.9467,34.8909,427.423,1063.88,
540,37.5948,-50.2266,-21.7478,34.5248,424.992,1065.74,
541,38.0849,-50.5309,-21.9333,34.1377,423.295,1067.63,
542,38.6263,-50.9481,-22.1843,34.1954,422.097,1069.25,
543,38.9967,-51.316,-22.6065,34.1738,420.903,1070.72,
544,39.1401,-51.5748,-22.961,33.4458,419.659,1073.26,
545,39.2274,-51.7921,-23.3836,32.8369,418.86,1074.77,
546,39.8465,-52.3063,-23.1633,31.8672,418.429,1076.63,
547,40.3785,-52.6461,-23.2167,31.1147,417.551,1078.01,
548,40.5211,-52.8167,-23.0264,30.8586,416.713,1078.76,
549,40.6323,-52.8481,-23.2154,30.8779,416.406,1079.85,
550,40.7955,-52.9579,-23.1245,31.0986,416.22,1080.81,
551,41.0943,-53.2242,-22.8619,30.9923,416.067,1081.72,
552,41.2787,-53.1926,-22.6833,30.9661,415.926,1082.22,
553,41.4545,-53.3796,-22.3988,30.9499,415.548,1082.5,
554,41.3861,-53.3002,-22.394,30.8128,415.423,1082.89,
555,41.773,-53.32,-22.0654,30.5119,415.322,1083.24,
556,41.7104,-53.2763,-22.0136,30.2279,415.749,1083.5,
557,41.8919,-53.2086,-21.668,29.7546,415.775,1084.1,
558,41.9092,-53.1299,-21.8109,29.2796,416.588,1084.55,
559,41.5132,-52.8747,-21.8565,28.7561,417.138,1084.53,
560,41.2747,-52.6494,-22.133,28.3331,417.635,1084.77,
561,41.0213,-52.4799,-22.2964,28.0008,417.992,1085,
562,40.5617,-52.3453,-22.2621,27.6279,418.109,1084.54,
563,40.4086,-52.3896,-21.8894,27.0635,418.46,1084.5,
564,40.0642,-52.206,-21.7236,27.1659,418.754,1083.92,
565,39.9695,-51.883,-21.6052,26.7744,419.752,1083.25,
566,39.9441,-51.7633,-21.6366,26.6964,420.511,1082.68,
567,39.7824,-51.6483,-21.8239,26.2455,421.535,1082.01,
568,39.3638,-51.3201,-21.9705,26.0244,422.517,1081.02,
