Stick-right
Frame,Root<a-X>,Root<a-Y>,Root<a-Z>,Root<t-X>,Root<t-Y>,Root<t-Z>,
229,26.0714,4.84222,10.4989,221.775,483.399,972.081,
230,25.9048,4.93529,10.3137,221.65,483.24,973.384,
231,26.071,5.17703,10.0836,221.684,482.799,974.438,
232,26.0525,5.24018,9.85489,221.749,482.339,976.006,
233,26.5086,5.70112,9.55188,221.991,481.478,977.296,
234,26.8216,5.68874,9.41946,222.132,481.512,979.265,
235,27.2612,5.76348,9.23999,222.444,480.978,981.557,
236,27.7174,5.70518,9.2657,222.065,480.345,983.745,
237,28.2748,6.00307,8.8632,222.376,478.975,986.047,
238,28.8946,6.15971,8.51019,221.987,478.251,988.081,
239,29.555,6.02108,8.60018,222.281,477.138,990.622,
240,30.3124,6.1521,8.43568,222.547,476.272,992.831,
241,30.7859,6.10964,8.32074,222.914,475.469,995.767,
242,31.761,6.24685,8.271,222.86,474.596,998.292,
243,32.4007,6.39831,7.95776,222.667,473.166,1000.72,
244,33.3429,6.38287,8.04371,222.618,471.793,1003.03,
245,34.184,6.80371,7.38198,222.571,470.795,1005.37,
246,34.857,6.72591,7.1962,222.9,469.47,1008.06,
247,35.4455,6.39094,7.46185,222.951,467.894,1010.43,
248,36.4134,6.49977,7.37746,222.782,466.909,1012.6,
249,37.1766,6.41642,7.72398,222.722,465.503,1014.78,
250,38.069,6.96593,7.07246,223.069,464.544,1017.61,
251,38.9611,6.94608,7.01872,222.992,463.437,1019.29,
252,39.5675,7.05841,6.5771,222.661,462.567,1020.58,
253,40.2911,7.00957,6.37382,223.128,461.537,1022.71,
254,40.7876,6.95177,6.10791,223.385,460.023,1024.61,
255,41.5956,6.76399,6.17603,223.493,458.957,1026.62,
256,42.4447,6.69009,6.20327,223.176,457.91,1027.98,
257,43.2786,6.65034,6.24313,223.038,456.452,1029.61,
258,44.2331,6.60198,6.47455,222.782,455.387,1030.77,
259,44.8739,6.40723,7.10864,222.572,454.213,1031.57,
260,45.571,6.69223,7.00744,222.439,453.249,1032.84,
261,46.4446,6.84408,7.20686,222.146,452.701,1033.96,
262,47.1344,7.07277,7.22292,222.168,451.814,1034.63,
263,47.558,7.22397,7.24333,222.073,451.297,1035.18,
264,48.1976,7.42181,7.27681,222.075,451.024,1035.68,
265,48.8166,7.67799,7.1422,222.241,450.586,1035.89,
266,49.2155,7.75625,7.17424,222.446,449.837,1035.95,
267,49.6017,7.76149,7.3249,222.39,449.43,1036.42,
268,49.6691,8.00162,6.9928,222.086,448.661,1036.46,
269,49.8428,8.11671,6.86641,221.605,448.032,1037.05,
270,49.9858,8.06872,6.91511,221.101,447.829,1037.53,
271,49.9775,8.0775,6.88221,220.603,447.766,1038.27,
272,49.9896,8.08919,6.73951,220.785,447.24,1038.52,
273,49.974,7.99992,6.75783,220.93,446.958,1039.18,
274,49.9296,7.8507,6.96152,220.674,447.072,1039.56,
275,49.9847,7.87727,6.91056,219.947,447.457,1039.8,
276,49.8303,7.84203,6.86574,219.85,447.535,1040.53,
277,49.4171,7.57751,7.24287,219.43,447.785,1041.52,
278,48.8628,7.61526,6.95204,218.884,448.392,1042.56,
279,48.5247,7.54907,6.87304,219.358,448.447,1043.11,
280,48.2268,7.36686,7.08794,219.574,448.423,1043.73,
281,47.9429,7.15434,7.51997,219.856,448.849,1044.86,
282,47.7529,7.14006,7.50994,219.213,449.164,1045.29,
283,47.184,7.32405,6.90888,218.613,449.204,1045.82,
284,46.6732,7.12693,6.99917,218.244,449.803,1046.72,
285,46.0815,6.89364,7.13067,218.028,450.008,1048.03,
