Stick-left
Frame,Root<a-X>,Root<a-Y>,Root<a-Z>,Root<t-X>,Root<t-Y>,Root<t-Z>,
621,25.7573,-5.45286,-10.8245,55.0451,481.896,999.492,
622,24.9786,-4.9879,-10.7789,54.7905,482.879,998.714,
623,24.4265,-4.84165,-10.6759,54.5203,483.335,998.577,
624,23.9534,-4.78818,-10.4884,54.7509,483.48,998.86,
625,23.7742,-4.88541,-10.3143,54.6929,483.809,999.465,
626,23.9176,-5.21083,-10.0168,54.5649,483.546,1001,
627,23.8048,-4.82274,-10.1733,54.3172,483.186,1002.38,
628,24.1933,-5.12368,-10.1972,53.9496,482.321,1004.01,
629,24.8111,-5.63753,-10.0151,53.979,481.36,1006.14,
630,25.362,-5.67343,-10.0777,53.868,480.625,1008.56,
631,25.8938,-5.74748,-10.1291,53.5064,479.78,1011.01,
632,26.7693,-5.82562,-10.463,53.6041,478.968,1014.44,
633,27.3405,-5.87848,-10.787,53.2445,478.088,1017.74,
634,28.4274,-6.35623,-11.0776,52.3037,476.331,1020.82,
635,29.5381,-6.9032,-11.0272,52.2953,474.273,1023.89,
636,30.6094,-7.3109,-10.7022,52.0349,472.405,1027.15,
637,31.6922,-7.83785,-10.4819,51.7407,469.743,1030.81,
638,33.0664,-8.01691,-9.8704,51.8016,467.449,1033.81,
639,34.3101,-8.36863,-9.68092,51.0893,464.93,1037.48,
640,35.7914,-8.35038,-9.28975,50.7271,462.054,1041.3,
641,37.2338,-8.70144,-9.20744,50.8523,459.598,1045.09,
642,38.5622,-8.9748,-9.14394,50.7224,457.346,1048.73,
643,40.2421,-9.03687,-9.01966,50.6973,455.266,1052.28,
644,41.0675,-9.1501,-8.96252,50.3076,452.524,1056.02,
645,42.5574,-9.3392,-8.55053,50.6508,449.896,1059.17,
646,43.9894,-9.42265,-8.11182,51.4837,447.092,1061.91,
647,45.4784,-9.79603,-7.74457,51.8517,444.892,1064.66,
648,46.5242,-9.61189,-8.21585,51.2464,442.777,1067.82,
649,47.7404,-9.9,-8.45088,51.2915,440.463,1070.88,
650,48.9133,-10.408,-8.3643,51.0161,437.838,1073.88,
