Stick-right
Frame,Root<a-X>,Root<a-Y>,Root<a-Z>,Root<t-X>,Root<t-Y>,Root<t-Z>,
621,51.2589,-70.997,29.1903,189.78,503.446,966.577,
622,51.6665,-70.9566,29.1004,189.68,503.29,967.862,
623,51.307,-71.0863,28.5512,189.389,502.04,969.485,
624,53.357,-71.4538,29.8244,188.908,501.366,971.528,
625,55.7696,-71.7429,31.7345,188.758,500.543,974.266,
626,58.8631,-72.0748,33.5841,188.721,499.358,976.366,
627,62.2439,-73.0917,35.7208,188.434,498.247,979.463,
628,66.533,-74.0845,38.7886,188.967,496.771,982.834,
629,69.3219,-75.184,40.2336,189.017,495.208,985.928,
630,74.7262,-76.2994,44.2276,188.975,493.51,989.426,
631,81.2774,-77.5619,48.9733,189.142,491.328,992.2,
632,90.6145,-78.6564,56.695,189.148,488.852,996.149,
633,100.672,-79.6591,64.7491,188.451,486.552,999.499,
634,112.389,-80.411,74.6346,187.256,483.89,1002.66,
635,126.551,-80.4655,86.8451,187.119,481.342,1006.63,
636,138.606,-80.1552,97.0166,186.571,478.34,1009.79,
637,149.548,-80.0605,106.088,186.025,474.841,1012.98,
638,159.695,-78.9907,114.173,186.764,472.28,1016.79,
639,168.678,-78.3076,121.131,187.196,469.447,1019.07,
640,177.172,-77.3773,127.751,187.753,466.575,1022.54,
641,184.577,-76.4958,133.394,187.671,463.506,1026.29,
642,191.706,-75.5125,138.583,187.286,460.706,1029.37,
643,198.911,-74.2009,143.339,187.137,457.785,1031.91,
644,205.231,-72.852,147.597,187.332,454.656,1034.36,
645,208.891,-71.1221,149.366,187.875,450.953,1036.81,
646,211.941,-70.0471,150.966,187.537,447.54,1038.87,
647,215.305,-68.6576,152.297,187.826,444.388,1041.28,
648,217.85,-67.6918,153.594,188.482,441.284,1043.48,
649,221.438,-66.5006,155.012,188.465,438.442,1045.58,
650,224.89,-65.6248,156.932,188.348,436.171,1047.25,
651,227.911,-64.5044,158.302,187.879,432.698,1048.86,
652,230.471,-63.3776,159.235,187.985,430.328,1050.17,
653,232.408,-62.4728,159.956,188.53,427.441,1051.98,
654,235.039,-61.7536,161.329,188.184,425.001,1053.18,
655,236.758,-60.6563,161.602,189.064,422.065,1054.33,
656,238.331,-59.8883,161.662,188.962,419.298,1055.31,
657,240.616,-58.7659,162.34,188.932,416.638,1055.76,
658,243.13,-57.9803,163.586,188.711,414.443,1057.14,
659,244.817,-57.05,163.96,188.925,411.759,1057.74,
