Stick-left
Frame,Root<a-X>,Root<a-Y>,Root<a-Z>,Root<t-X>,Root<t-Y>,Root<t-Z>,
497,45.0151,-16.1848,-16.4759,1.29653,563.961,1113.41,
498,44.5734,-16.1031,-16.6042,1.52988,565.166,1112.93,
499,44.4012,-16.1538,-16.8772,1.35087,565.813,1112.29,
500,44.1191,-16.2797,-16.7981,1.40899,567.156,1112,
501,43.7246,-16.1803,-16.8063,1.5157,567.837,1111.2,
502,43.3487,-15.9994,-16.9824,1.35998,568.029,1111.08,
503,42.9795,-15.9033,-17.0704,1.41111,568.372,1111.2,
504,42.5608,-15.8695,-16.8625,1.33517,568.922,1111.35,
505,42.3369,-15.8037,-16.8277,1.49885,569.238,1110.82,
506,42.1707,-15.4562,-17.0855,0.864715,569.448,1110.6,
507,41.8284,-15.1004,-17.1937,0.984094,570.275,1110.22,
508,41.8072,-14.9586,-17.3977,0.775844,571.239,1110.25,
509,41.7327,-15.0954,-17.2577,0.369223,571.45,1110.5,
510,41.7134,-15.3774,-16.9879,0.133118,571.641,1110.82,
511,41.6256,-15.5247,-16.7977,0.233174,571.737,1111.08,
512,41.5938,-15.6439,-16.4675,0.198313,571.648,1111.11,
513,41.6023,-15.5503,-16.4119,-0.101989,571.978,1111.42,
514,41.6602,-15.5359,-16.2956,-0.836614,572.125,1111.84,
515,41.6006,-15.4045,-16.1907,-1.17897,572.048,1112.25,
516,41.6173,-15.5151,-16.0559,-1.75019,571.912,1112.59,
517,41.773,-15.5477,-15.7371,-2.22173,571.042,1113.18,
518,41.84,-15.3495,-15.6627,-2.6653,570.56,1114.4,
519,42.214,-15.4458,-15.5104,-2.86116,570.39,1114.75,
520,42.4801,-15.4214,-15.4349,-2.9879,569.885,1114.96,
521,42.6535,-15.3992,-15.2697,-3.24788,569.166,1115.94,
522,42.852,-15.8274,-14.9322,-3.56234,568.928,1116.3,
523,42.9608,-15.5483,-14.6927,-3.74245,568.432,1116.88,
524,43.5352,-15.6576,-14.3187,-3.98366,567.889,1117.7,
