Stick-right
Frame,Root<a-X>,Root<a-Y>,Root<a-Z>,Root<t-X>,Root<t-Y>,Root<t-Z>,
421,10.7609,0.610878,9.31159,213.18,527.725,895.799,
422,10.1892,0.507809,9.37436,213.803,528.538,895.191,
423,9.66332,0.390268,9.50949,214.213,528.85,894.799,
424,9.21935,0.423289,9.54294,214.323,529.286,894.565,
425,8.72887,0.483017,9.36933,214.563,529.32,894.54,
426,8.44543,0.397867,9.28592,214.624,529.359,894.602,
427,8.23569,0.574846,9.27956,214.637,529.63,894.866,
428,8.0839,0.706176,9.30966,214.63,529.89,895.42,
429,8.02596,0.700263,9.38418,214.991,529.815,895.957,
430,7.71795,0.603922,9.49561,215.268,529.603,896.869,
431,7.67866,0.756462,9.68205,215.542,529.637,897.443,
432,7.7599,1.07559,9.54467,215.628,529.136,898.57,
433,7.93531,1.28504,9.64049,216.028,529.136,899.438,
434,8.21837,1.6061,9.5487,216.272,529.019,900.567,
435,8.46637,1.75951,9.50812,216.226,528.889,901.827,
436,8.94817,2.03019,9.58838,216.587,528.866,903.177,
437,9.26629,2.14481,9.50576,216.576,528.977,904.804,
438,9.51585,2.09317,9.60345,216.973,528.802,906.356,
439,9.88708,2.27338,9.51402,216.974,528.568,908.045,
440,10.2215,2.21621,9.77121,217.242,527.574,909.835,
441,11.0754,2.79519,9.7802,217.646,526.921,911.399,
442,11.7185,3.07103,9.67531,217.614,526.964,914.023,
443,12.6001,3.49886,9.50485,217.923,526.923,915.863,
444,13.4293,3.91823,8.91375,218.428,526.651,918.079,
445,14.0187,3.78826,8.68855,218.936,525.958,920.186,
446,14.9341,3.84532,8.79764,219.404,525.268,921.909,
447,15.6459,3.8848,8.70004,219.577,524.936,923.99,
448,16.2215,3.74875,8.78614,219.745,524.214,925.821,
449,16.6477,3.69269,8.67374,219.638,522.966,927.886,
450,17.4416,3.8681,8.63572,219.904,522.237,929.702,
451,17.9466,3.67099,8.8606,220.173,521.448,931.787,
452,18.7228,3.93294,8.82256,220.252,521.005,933.478,
453,19.1931,3.81228,8.97833,220.683,520.141,935.705,
454,19.952,4.04655,9.00476,220.37,519.49,937.667,
455,20.6822,4.47899,8.69747,220.511,518.881,939.752,
456,21.4421,4.30267,9.09016,220.635,517.427,941.554,
457,22.2469,4.33043,9.49643,220.488,516.366,942.902,
458,22.8417,4.76195,9.39997,220.128,515.173,944.532,
459,23.9297,5.08658,9.50166,220.165,514.352,946.199,
460,24.1905,4.83506,9.70274,220.756,513.569,948.358,
461,24.785,5.09172,9.61006,221.271,512.819,950.253,
462,25.4611,5.25152,9.64421,221.241,511.863,951.855,
463,26.0297,5.33296,9.69294,221.097,511.009,953.61,
464,26.8442,5.76203,9.44558,221.049,509.134,954.587,
