Stick-left
Frame,Root<a-X>,Root<a-Y>,Root<a-Z>,Root<t-X>,Root<t-Y>,Root<t-Z>,
389,14.6596,-4.14925,-13.3249,37.0236,504.969,978.143,
390,15.2177,-4.49259,-12.8152,37.303,502.994,982.277,
391,15.7366,-5.08126,-12.5123,37.5092,501.86,987.351,
392,16.7932,-5.01512,-12.1439,37.5208,499.932,992.836,
393,18.0375,-5.1717,-12.0415,37.5221,497.747,998.775,
394,19.4369,-5.43135,-12.1439,37.1998,495.409,1005.62,
395,20.8178,-5.74696,-12.5931,37.0122,492.973,1011.99,
396,22.6305,-6.51727,-12.8866,36.8568,490.277,1018.59,
397,24.1926,-6.92755,-13.4243,36.2248,487.055,1025.23,
398,25.8445,-7.72851,-13.4523,35.7297,483.774,1031.98,
399,27.5102,-8.21333,-13.6974,35.8807,480.692,1038.49,
400,29.4046,-9.33429,-13.586,35.6582,477.36,1045.01,
401,31.3522,-9.64079,-13.6544,35.748,473.699,1051.26,
402,33.5104,-10.555,-12.929,35.3111,469.248,1056.56,
403,35.3522,-10.7405,-13.0378,35.0008,465.283,1062.74,
404,37.188,-11.3327,-12.8819,33.9419,460.893,1068.89,
405,38.8842,-11.9085,-13.1978,33.3619,457.019,1074.11,
406,40.7062,-12.5276,-12.7149,33.6674,453.209,1079.41,
407,42.6174,-12.9717,-12.718,33.0111,449.318,1084.76,
408,44.6864,-13.7101,-12.7022,32.4593,444.971,1089.07,
409,46.6926,-14.4877,-12.9729,32.1218,440.773,1093.61,
410,48.3301,-15.3494,-12.9174,31.0457,436.393,1099.22,
411,49.8739,-16.066,-13.0113,30.1292,431.714,1103.81,
412,51.8184,-16.975,-13.0791,29.7888,428.374,1107.96,
413,53.8086,-17.9968,-12.8169,29.0491,424.229,1110.74,
414,55.4328,-18.8007,-12.6414,28.6479,420.118,1114.94,
415,56.9673,-19.4925,-12.8047,27.7643,416.064,1117.83,
416,58.6727,-20.5328,-12.8966,26.9708,412.231,1121.14,
417,60.5117,-21.726,-12.9485,26.6758,408.289,1123.46,
418,62.3225,-22.8579,-12.6887,26.4492,404.749,1125.51,
419,63.8567,-23.912,-12.5804,25.8837,401.604,1127.91,
420,65.0547,-24.6909,-12.385,25.3797,397.589,1129.57,
421,66.2904,-25.44,-12.2035,25.1054,394.68,1131.29,
422,67.4336,-26.1685,-12.315,24.3516,392.218,1132.1,
423,69.0356,-27.1264,-11.7369,24.816,389.205,1133.51,
424,70.022,-27.7761,-11.8976,24.5139,386.941,1134.48,
425,70.6196,-28.3716,-12.1323,24.1183,384.678,1135.21,
426,71.5914,-29.1999,-12.0583,23.7204,383.131,1135.62,
427,72.4765,-29.8958,-11.3639,24.2431,381.246,1135.57,
428,73.0546,-30.3994,-11.4308,24.4098,379.654,1135.58,
429,73.4691,-30.9827,-11.9867,24.3914,378.032,1135.36,
430,74.0593,-31.7562,-12.0382,23.9248,377.046,1135.5,
431,74.1059,-32.4032,-12.6952,23.9806,376.342,1134.74,
432,74.2096,-33.2554,-13.3534,23.6038,376.031,1133.92,
433,74.3331,-34.1038,-13.2952,24.0829,375.637,1132.91,
434,74.2543,-34.8116,-13.5469,24.2476,375.396,1131.74,
435,73.9866,-35.4723,-14.0928,23.8309,375.566,1131.26,
436,73.6576,-36.1047,-14.4361,23.2472,376.225,1129.92,
437,73.7283,-36.9165,-14.5962,24.1838,376.341,1127.63,
438,73.3988,-37.5646,-15.1793,24.2269,377.943,1125.89,
439,72.9554,-38.1359,-15.5245,24.9843,378.7,1123.78,
440,72.4877,-38.7271,-16.1383,24.5965,379.637,1121.64,
441,71.9766,-39.3012,-16.6391,24.9922,380.851,1119.72,
