Stick-right
Frame,Root<a-X>,Root<a-Y>,Root<a-Z>,Root<t-X>,Root<t-Y>,Root<t-Z>,
389,22.014,3.47069,8.73631,218.271,504.879,964.929,
390,23.2788,3.81407,9.27456,218.455,502.93,969.275,
391,24.7905,4.56236,9.36591,218.122,500.428,973.93,
392,25.8152,5.08382,9.30637,217.887,497.768,979.354,
393,27.6302,5.70448,9.22509,218.373,494.974,984.144,
394,29.4201,6.35658,8.67325,218.21,491.7,989.314,
395,31.0569,6.50966,8.50891,218.723,488.889,994.692,
396,33.0161,7.04181,8.39317,218.901,485.277,999.882,
397,34.7712,7.13283,8.27522,218.789,481.632,1005.47,
398,36.8639,7.69612,8.05726,218.871,478.102,1010.06,
399,38.8435,7.75958,8.07856,218.932,474.576,1014.73,
400,40.651,7.85764,8.26423,219.253,470.533,1019.81,
401,42.6055,8.36849,8.15339,219.188,466.989,1024.73,
402,44.489,8.60973,8.25169,219.599,462.921,1029.31,
403,46.3657,9.10307,8.12031,219.423,458.769,1033.3,
404,48.115,9.32652,8.26744,219.856,454.597,1037.29,
405,49.9065,9.78179,8.20695,219.912,450.39,1040.84,
406,51.8633,10.3086,7.76114,219.313,446.132,1043.75,
407,53.7391,10.5222,7.92195,220.244,442.26,1047.09,
408,55.7552,11.0606,7.43104,220.015,438.236,1049.75,
409,57.6983,11.3894,7.5155,220.663,434.37,1052.71,
410,58.9529,11.7263,7.23005,221.212,431.214,1055.07,
411,60.8836,12.1263,5.96467,221.591,427.659,1057.89,
412,62.7113,12.2044,6.09126,221.726,423.985,1060.39,
413,64.5486,12.3171,5.91199,221.477,420.53,1061.75,
414,65.8898,12.5012,5.62507,221.419,417.202,1063.43,
415,67.5622,12.7275,5.30697,221.492,413.565,1064.41,
416,69.2574,12.7915,5.01533,221.091,410.453,1065.15,
417,70.5681,12.9172,4.6874,220.752,407.318,1065.69,
418,71.8439,13.0017,4.1328,220.634,404.248,1066.37,
419,73.0289,12.9901,4.07593,220.245,401.904,1067.04,
420,73.9954,12.987,4.24638,220.255,399.566,1067.37,
421,75.0984,13.066,3.92049,220.44,396.753,1067.24,
422,76.1686,13.1172,3.94819,220.403,394.806,1067.08,
423,77.0816,13.1773,4.33178,220.416,392.709,1066.48,
424,77.7382,13.3487,3.89852,220.499,390.724,1065.92,
425,78.4656,13.4112,3.52096,220.714,389.758,1064.9,
426,79.3448,13.4455,3.18301,220.747,389.046,1063.74,
427,80.0622,13.5299,3.20932,220.152,388.359,1061.86,
428,80.8019,13.549,3.17723,219.808,387.24,1060.64,
429,81.2844,13.5275,2.97188,218.911,386.677,1058.27,
430,81.4887,13.4197,2.69145,218.41,386.03,1056.2,
431,81.8049,13.4084,2.9779,218.309,385.563,1054.26,
432,82.18,13.3351,2.4931,217.838,385.664,1051.23,
433,82.3533,13.1979,2.4277,217.85,385.815,1049.16,
434,82.4564,13.0528,2.39046,217.729,386.303,1046.29,
435,82.4142,12.9023,2.51769,217.284,387.484,1043.34,
436,82.3492,12.7251,1.94467,216.243,388.5,1039.9,
437,82.3,12.4759,1.85036,215.865,389.436,1036.96,
438,82.6011,12.2877,2.50402,214.671,390.711,1033.55,
439,81.3144,12.0782,3.19644,213.762,393.333,1030.58,
440,81.3585,12.1403,3.60806,213.137,395.432,1026.43,
441,80.4625,12.1033,3.82979,212.565,398.028,1022.46,
442,79.8536,12.1147,3.8992,212.205,400.436,1019.05,
443,78.9255,12.0555,3.96276,211.55,402.383,1015.15,
444,78.0928,11.9831,3.86683,210.366,405.291,1010.72,
445,77.1108,11.8789,4.35282,210.04,407.666,1006.53,
446,76.0709,11.7912,4.44034,208.906,410.54,1001.94,
447,74.999,11.6868,4.75889,208.527,414.213,996.861,
448,73.7388,11.5622,5.05948,207.694,417.651,991.806,
449,72.578,11.4658,5.14698,207.353,421.403,987.617,
450,71.4145,11.3329,5.42242,207.043,425.729,982.03,
451,69.8139,11.1334,5.55249,206.534,428.971,975.909,
452,68.1481,10.988,5.9417,205.776,432.755,970.735,
453,67.0139,10.85,6.27078,205.063,437.043,965.418,
454,64.9766,10.6673,6.28772,204.206,441.513,958.947,
455,63.1389,10.4254,6.3779,203.347,445.9,952.8,
456,61.3372,10.0486,6.65529,202.668,450.191,946.652,
457,59.251,9.64792,7.33604,202.3,454.496,940.6,
458,57.4773,9.49173,7.56261,201.499,458.777,933.938,
459,55.3184,9.14723,8.21856,201.047,463.489,926.929,
460,52.9376,8.85255,8.55309,199.372,467.637,919.414,
461,50.438,8.25502,8.86332,198.966,472.113,912.786,
462,47.9202,7.95661,8.94505,198.419,476.129,905.882,
463,45.6537,7.59639,9.13128,198.81,480.356,899.125,
464,43.3395,7.29347,8.92541,199.58,484.852,892.306,
465,40.8826,6.83544,8.47443,199.605,488.965,885.377,
466,38.3382,6.20356,8.14048,198.909,493.373,878.629,
467,34.9681,4.79066,9.06783,197.728,496.826,871.483,
468,31.6247,3.83893,9.5626,197.503,500.546,865.486,
469,27.8787,2.66171,10.2481,197.462,504.42,860.244,
470,24.036,1.95269,10.1188,197.648,508.324,855.4,
471,20.2589,0.968016,10.1982,197.555,513.182,851.215,
472,16.2614,-0.148072,10.1987,197.246,518.01,848.774,
473,11.8005,-1.07061,10.9673,196.159,522.924,845.816,
474,7.24938,-1.95754,11.1638,195.413,528.235,843.042,
475,2.83144,-2.97194,11.2305,194.918,532.372,839.951,
476,-2.23954,-3.62203,11.0513,194.419,536.045,837.996,
477,-5.57571,-4.96617,10.6542,193.847,538.281,837.105,
478,-4.1265,-2.08768,10.5058,194.199,538.954,843.491,
479,-3.19243,-0.641452,10.392,194.446,539.828,852.117,
480,-1.80386,0.584881,10.135,194.785,540.73,862.192,
481,-0.032138,1.48951,9.95685,195.053,541.664,873.38,
482,1.49577,1.8673,9.75719,195.507,541.753,885.336,
483,3.85174,2.74802,9.15866,196.203,541.498,897.291,
484,6.40235,3.48668,8.72431,196.753,540.674,909.842,
485,9.16693,4.16437,8.52558,197.724,539.136,923.449,
486,12.607,5.16336,7.89854,198.661,536.996,937.53,
487,16.9561,5.411,6.60658,200.047,534.111,951.36,
488,20.8393,5.75465,5.36513,201.549,531.264,965.96,
489,24.4766,5.45396,4.96442,202.818,527.194,980.583,
490,28.7388,5.45855,4.36,204.878,522.864,995.11,
491,32.7481,5.35032,3.67928,206.019,517.371,1009.5,
492,37.2648,4.98049,3.86413,206.872,510.746,1023.69,
493,41.4301,5.44383,3.4459,208.411,504.326,1037.24,
494,45.8476,5.44176,3.00019,209.64,497.763,1050.26,
495,50.5002,5.45195,2.42832,210.885,490.869,1062.34,
496,54.8124,5.32542,1.80152,212.5,483.402,1074.14,
497,59.0985,5.1079,0.924329,213.135,475.483,1085.38,
498,63.3878,4.62183,-0.0354091,214.683,467.101,1095.89,
499,67.6357,3.81557,-0.817331,215.866,459.067,1105.52,
500,71.7851,2.87813,-1.15536,217.764,451.205,1114.94,
501,75.9025,1.97295,-1.36172,219.346,443.551,1123.98,
502,79.692,1.03465,-1.76486,221.207,435.349,1131.96,
503,82.8063,0.0937673,-1.83131,223.663,427.711,1139.67,
504,86.0157,-0.895599,-2.04023,225.205,420.193,1146.49,
505,88.7943,-1.94884,-2.2654,225.747,414.115,1152.96,
506,90.7835,-3.19981,-2.79819,226.646,407.728,1159.1,
507,92.7488,-4.61244,-3.09654,227.065,402.7,1164.84,
508,94.415,-6.11782,-3.25612,227.001,397.524,1170.36,
509,95.7733,-7.39444,-2.81316,227.868,393.842,1176,
510,96.3744,-7.9663,-2.40179,228.383,390.432,1181.01,
511,97.3059,-8.5154,-2.01696,228.499,387.204,1185.59,
512,98.0591,-8.92113,-1.51715,229.227,383.855,1190.63,
513,98.0572,-9.21537,-1.31642,229.207,381.306,1194.66,
514,98.9363,-9.3127,-0.376426,230.879,379.753,1199.07,
515,99.2746,-9.41907,-0.256504,231.033,377.804,1203.91,
516,99.9323,-9.23242,0.518155,232.205,376.273,1207.88,
517,100.121,-9.11392,0.667386,232.982,374.708,1212.48,
518,99.6469,-9.06026,0.640861,232.822,373.06,1216.21,
519,99.6134,-8.74965,1.14096,233.536,371.873,1219.85,
520,99.099,-8.31195,1.53708,234.453,370.966,1222.71,
521,98.958,-7.85566,1.76793,235.041,370.362,1225.2,
522,98.6106,-7.31906,2.06059,236.048,369.293,1228.17,
523,98.2493,-6.69151,2.36054,236.607,368.13,1230.74,
524,98.1741,-5.94941,2.79845,237.571,367.5,1233.84,
525,97.9298,-5.30394,2.68837,237.879,367.416,1235.88,
526,97.6224,-4.61337,2.80129,238.086,366.509,1237.24,
527,97.3161,-3.83591,3.10651,238.924,366.689,1238.67,
528,97.1587,-3.07786,3.1254,239.292,366.602,1240.42,
529,97.3371,-2.20409,3.49003,240.483,367.593,1241.35,
530,96.9481,-1.38123,3.52644,241.775,367.866,1241.87,
531,96.6608,-0.549093,3.5522,242.801,367.546,1242.48,
532,96.367,0.311076,3.6726,243.565,367.698,1242.9,
533,95.7915,1.049,3.46002,244.347,367.746,1243.07,
534,95.5037,1.72393,3.12583,244.779,367.83,1242.86,
535,95.3319,2.35286,2.9025,244.798,367.827,1242.21,
536,95.2276,2.96933,2.83024,245.147,368.11,1240.98,
537,94.8997,3.46277,2.46476,245.185,367.722,1239.91,
538,94.9855,4.02413,2.55829,245.695,367.782,1238.39,
539,95.4764,4.57375,2.43103,246.004,368.838,1237.38,
540,95.3257,4.95974,2.0639,245.741,370.37,1235.97,
541,94.8902,5.26035,1.84307,245.773,370.554,1234.32,
542,94.9283,5.6954,2.08794,246.934,371.448,1232.09,
543,94.6434,6.04956,2.03215,247.45,372.739,1230.46,
544,94.1404,6.30625,1.81471,246.889,373.408,1228.27,
545,93.6514,6.63109,2.01405,247.18,374.585,1226.17,
546,93.3404,6.96334,2.09025,246.461,375.361,1223.77,
547,92.8676,7.29947,2.26247,246.089,376.418,1221.76,
548,92.3769,7.63165,2.35422,245.567,377.727,1219.07,
549,91.9028,7.94232,2.36496,245.015,378.831,1215.77,
