Stick-left
Frame,Root<a-X>,Root<a-Y>,Root<a-Z>,Root<t-X>,Root<t-Y>,Root<t-Z>,
479,20.0224,-6.12087,-16.9417,34.4599,479.787,945.551,
480,19.9234,-6.20582,-17.0626,34.2416,480.162,944.776,
481,19.5777,-6.06601,-17.0726,34.1084,480.446,943.9,
482,19.5259,-6.2198,-16.9503,34.1145,480.233,942.767,
483,19.1674,-5.98233,-16.8611,33.9564,480.492,941.62,
484,19.0036,-5.91756,-16.9317,33.8483,480.861,940.946,
485,18.681,-5.62903,-17.089,33.7787,481.184,940.213,
486,18.3515,-5.4005,-17.3384,33.4605,482.31,939.356,
487,18.1803,-5.61589,-17.3749,33.0147,483.339,938.387,
488,18.1361,-5.67406,-17.3238,32.9462,483.507,936.805,
489,17.802,-5.67966,-17.0731,32.3381,483.93,935.748,
490,17.5594,-5.43307,-17.171,32.5066,484.082,934.247,
491,17.3091,-5.40188,-17.1198,31.9263,484.772,933.612,
492,16.9308,-5.14571,-17.1203,31.9505,485.976,932.873,
493,16.5067,-4.87831,-17.1417,32.2501,486.491,931.112,
494,16.467,-5.02544,-17.058,31.8956,487.225,930.18,
495,16.1762,-4.81149,-17.2231,31.2214,487.678,928.724,
496,15.6358,-4.46332,-17.2879,31.033,488.271,927.597,
497,15.1739,-4.36566,-17.274,30.2389,489.304,927.196,
498,14.7881,-4.33419,-17.2201,29.9757,490.202,926.428,
499,14.3071,-3.93941,-17.3261,29.6615,491.241,925.584,
500,14.0294,-4.09248,-17.2907,29.7603,492.294,924.316,
501,13.8363,-4.17665,-17.2977,29.5003,493.377,922.979,
502,13.4033,-3.90984,-17.2416,29.0811,493.782,922.17,
503,13.0833,-3.64879,-17.4781,28.7487,494.402,921.475,
504,12.5596,-3.41469,-17.5065,28.8219,495.44,921.353,
505,12.1124,-3.38129,-17.44,28.7673,496.177,920.935,
506,11.8692,-3.54243,-17.3545,28.4039,497.016,921.167,
507,11.4505,-3.25594,-17.2808,28.2643,497.534,921.349,
508,11.0444,-2.91712,-17.5225,27.9579,498.68,921.596,
509,10.6875,-2.74397,-17.8652,27.6624,499.555,921.563,
510,10.407,-2.99372,-17.8034,27.6985,500.211,921.933,
511,10.2664,-3.11584,-17.8744,27.663,500.542,921.778,
512,10.018,-3.03238,-17.8513,28.2014,501.573,922.377,
513,9.78112,-2.9177,-17.9391,28.3406,502.157,923.224,
514,9.64651,-3.02239,-18.0054,28.1121,502.592,924.755,
515,9.61759,-3.21479,-18.0179,27.775,503.195,926.838,
516,9.60907,-3.27642,-18.0395,27.6611,504.102,928.072,
517,9.34627,-2.77159,-18.3494,27.7433,504.36,929.558,
518,9.23981,-2.9656,-18.3939,27.8483,504.533,930.938,
519,9.19248,-3.14423,-18.3424,28.2839,505.323,932.911,
520,9.26589,-3.26033,-18.5319,28.2359,506.05,935.273,
521,9.32682,-3.36819,-18.6056,28.2658,506.63,937.371,
522,9.44617,-3.58611,-18.4757,28.4761,507.103,939.593,
523,9.36412,-3.19656,-18.7444,27.9273,507.077,942.538,
524,9.38004,-3.30037,-18.8969,27.9512,507.357,944.951,
525,9.56889,-3.66582,-18.9672,28.3565,507.77,947.757,
526,9.66992,-3.63115,-19.1836,28.2733,508.37,950.741,
527,9.75411,-3.81946,-19.0298,28.4615,508.908,953.618,
528,9.58256,-3.41108,-19.0834,28.5369,508.915,957.328,
529,9.69745,-3.6121,-19.3032,28.8482,509.235,961.165,
530,9.7766,-3.66416,-19.5281,28.9248,509.189,964.483,
531,10.0684,-4.11715,-19.697,28.6069,509.033,967.67,
532,10.2876,-4.27615,-19.7563,28.8511,509.3,970.814,
533,10.4415,-4.26295,-19.8437,29.1664,509.543,974.168,
534,10.7788,-4.67051,-19.7922,29.3816,509.165,977.468,
535,11.1119,-4.85531,-19.7605,29.6528,509.156,981.145,
536,11.3832,-4.82758,-19.8132,30.127,509.46,984.704,
537,11.6741,-4.96685,-19.7673,30.5094,509.479,988.823,
538,11.8715,-4.83722,-20.0108,30.5676,509.391,993.291,
539,11.9971,-4.7507,-20.3323,30.4579,509.326,998.027,
540,12.175,-4.92566,-20.5727,30.9237,509.117,1002.52,
541,12.4713,-5.2982,-20.7263,30.6234,509.475,1007.3,
542,12.9071,-5.65355,-21.0069,30.6616,509.812,1011.1,
543,13.3115,-6.06856,-20.9514,31.5044,509.217,1015.63,
544,13.369,-5.76109,-20.9856,31.1954,509.093,1020.28,
545,13.7142,-6.08069,-21.0111,31.1383,508.916,1024.73,
546,14.1761,-6.45623,-21.0836,31.4635,508.472,1029.18,
547,14.5055,-6.38287,-21.4559,31.3937,508.269,1034.18,
548,14.7469,-6.51731,-21.5704,31.4921,507.934,1038.86,
549,15.1778,-6.96888,-21.6441,31.5663,507.512,1043.43,
550,15.55,-7.27966,-21.5509,31.9357,506.691,1048.37,
551,16.0645,-7.56772,-21.6195,31.8085,506.395,1053.03,
552,16.5562,-7.80256,-21.7278,31.7917,505.82,1058.04,
553,16.8944,-7.79694,-21.8908,31.6783,505.424,1063.47,
554,17.5194,-8.40102,-21.8869,31.9091,504.315,1068.08,
555,17.9723,-8.554,-21.8878,31.8464,503.687,1073.23,
556,18.4382,-8.73079,-21.8443,31.9041,503.332,1078.47,
557,19.0715,-9.07414,-21.9797,31.3362,502.429,1083.4,
558,19.5492,-9.293,-21.984,31.1407,501.611,1088.23,
559,20.1908,-9.64786,-22.1523,31.102,500,1093.34,
560,20.659,-9.99572,-21.8626,31.3882,499.054,1098.46,
561,21.2856,-10.1901,-21.954,31.2737,498.359,1102.95,
562,21.7666,-10.2941,-22.047,31.2513,497.056,1107.91,
563,22.5543,-10.8927,-22.0514,31.1253,495.735,1112.66,
564,23.0901,-11.1212,-21.9648,31.0911,494.453,1117.38,
565,23.8259,-11.5332,-22.0038,30.5804,493.592,1122.18,
