Stick-right
Frame,Root<a-X>,Root<a-Y>,Root<a-Z>,Root<t-X>,Root<t-Y>,Root<t-Z>,
220,39.5652,-2.19366,-0.957066,290.844,429.596,1084.18,
221,38.725,-1.76751,-1.16515,290.116,429.51,1081.55,
222,38.4721,-1.89333,-0.956042,289.442,429.323,1079.83,
223,38.511,-1.72207,-0.889782,288.27,428.54,1077.57,
224,38.4844,-1.8876,-0.381584,287.48,428.906,1075.33,
225,38.552,-1.74023,-0.17995,287.56,429.135,1073.45,
226,38.3319,-1.99474,0.613002,286.879,428.97,1071.58,
227,38.1701,-1.57305,0.669454,286.433,429.097,1069.61,
228,38.1357,-1.21017,0.715824,285.33,428.785,1067.5,
229,38.1692,-1.07998,0.998725,284.408,428.627,1065.82,
230,38.1213,-0.727568,0.987507,283.711,428.359,1064.08,
231,37.89,-0.655941,1.28095,282.614,428.501,1061.5,
232,37.8473,-0.495725,1.48671,281.766,428.75,1059.95,
233,37.7834,-0.483416,1.88327,280.943,428.862,1058.22,
234,37.7693,-0.153361,1.92794,279.674,429.001,1056.21,
235,37.8588,-0.0960073,2.26594,279.398,429.636,1054.21,
236,37.7261,-0.258931,2.88812,279.107,429.798,1052.12,
237,37.7483,-0.296453,3.54673,279.224,430.468,1050.95,
238,37.5816,-0.00614333,4.4963,279.387,431.887,1048.93,
239,37.2091,0.388577,5.3183,279.848,432.791,1047.92,
240,37.0568,0.416613,5.94923,279.667,433.695,1045.95,
241,36.9206,1.08307,6.02119,279.358,434.696,1044.25,
242,36.4125,1.5358,6.09377,278.718,435.825,1042.07,
243,36.3113,2.15491,6.00125,277.905,436.714,1040.09,
244,35.9739,2.43877,6.08361,276.45,437.16,1037.39,
245,35.85,2.33279,6.63578,275.6,438.627,1035.22,
246,35.5094,2.40569,6.99757,274.633,439.726,1032.9,
247,34.8669,2.64069,7.08595,274.045,440.881,1030.53,
248,34.5417,2.48366,7.64978,273.442,442.759,1028.29,
249,34.1681,2.64326,7.96483,272.614,444.33,1026.52,
250,33.6912,2.96345,8.04883,271.807,446.005,1024.35,
251,33.2039,2.77983,8.61679,270.66,447.412,1022.39,
252,32.5873,2.82419,8.94527,270.435,449.225,1020.47,
253,32.0288,2.85563,9.34588,269.891,451.083,1018.19,
254,31.2008,2.7781,9.77311,269.205,452.067,1016.73,
255,30.8028,2.99578,10.1696,268.814,454.541,1014.55,
256,30.0382,2.96958,10.6223,267.281,456.214,1012.63,
257,29.5631,2.93143,11.2904,266.444,458.182,1011.14,
258,28.752,3.2125,11.3945,266.263,460.009,1009.01,
259,28.014,3.2797,11.6919,265.901,461.96,1007.37,
260,27.0921,3.23285,11.9309,265.917,464.145,1005.86,
261,26.2384,3.48523,12.4269,265.817,466.845,1004.37,
262,25.435,3.37116,12.6789,265.233,468.448,1002.97,
263,24.7662,3.45525,13.4183,264.724,470.788,1001.72,
264,24.4752,3.58356,13.8055,264.096,473.014,999.875,
265,24.0335,3.27365,14.5471,263.774,475.104,998.386,
266,23.0763,3.59654,14.9995,263.469,477.574,997.299,
267,22.2187,3.623,15.758,262.67,479.518,996.354,
268,21.4508,3.81793,16.4027,262.137,481.764,995.149,
269,20.6308,3.84635,17.0936,261.083,483.699,994.18,
270,19.9297,3.62138,18.3756,260.197,485.682,993.38,
271,19.3451,4.00157,19.3162,259.154,488.021,992.935,
