Stick-left
Frame,Root<a-X>,Root<a-Y>,Root<a-Z>,Root<t-X>,Root<t-Y>,Root<t-Z>,
314,25.0871,-6.02055,-13.3805,36.3283,525.749,961.791,
315,24.0522,-5.81939,-12.8976,36.077,527.415,958.321,
316,23.293,-5.71287,-12.3628,35.546,529.189,955.022,
317,22.2141,-5.14987,-11.9293,34.4707,530.553,951.205,
318,21.0737,-4.54122,-11.9768,33.501,531.887,947.786,
319,20.0151,-4.15695,-12.2503,32.7212,533.256,944.395,
320,19.0325,-3.71495,-12.1725,31.4408,534.797,941.294,
321,17.92,-3.59133,-12.3856,30.7598,536.152,938.102,
322,17.0472,-3.303,-12.2838,29.9862,537.067,935.193,
323,15.9447,-3.13615,-12.5314,28.8418,537.703,932.661,
324,14.7073,-2.88607,-12.6963,28.1026,538.815,930.682,
325,13.8173,-2.5264,-12.6776,27.2365,539.635,928.156,
326,12.91,-2.28096,-12.4908,26.8287,540.508,925.812,
327,12.2544,-2.07583,-12.632,26.1741,540.893,923.954,
328,11.3096,-1.63167,-12.6135,25.958,540.985,922.37,
329,10.47,-1.56235,-12.5972,25.4646,542.623,921.716,
330,9.92893,-1.67597,-12.5087,24.7581,542.93,920.607,
331,9.37882,-1.43724,-12.6606,25.0055,543.121,919.88,
332,9.0268,-1.61917,-12.6232,24.84,543.694,919.115,
333,8.63446,-1.72381,-12.3249,24.8769,543.972,919.253,
334,8.44382,-1.55915,-12.2595,24.3991,543.626,919.422,
335,8.22099,-1.59517,-12.332,24.1191,543.717,919.91,
336,8.03383,-1.50629,-12.6182,23.2701,543.583,920.7,
337,7.83802,-1.50487,-12.8484,23.044,543.593,921.54,
338,7.66215,-1.69006,-12.733,23.2515,543.512,923.069,
339,7.73863,-1.82281,-12.9526,23.4449,542.961,924.336,
340,7.80012,-1.99341,-12.9615,23.8046,542.781,926.404,
341,8.10886,-2.18363,-13.2634,23.5077,542.333,928.351,
342,8.45205,-2.58679,-13.0627,23.5581,542.189,930.634,
343,8.90961,-2.74652,-13.1455,23.5811,541.844,933.291,
344,9.25258,-2.67761,-13.4317,23.7732,541.532,936.063,
345,9.53173,-2.79963,-13.5456,23.4715,540.308,938.634,
346,9.89999,-3.09987,-13.5386,23.523,539.586,942.029,
347,10.4306,-3.51191,-13.2996,23.919,539.184,945.225,
348,10.9871,-3.62127,-13.18,24.265,538.964,948.053,
349,11.6647,-3.69628,-13.42,24.2411,537.985,951.305,
350,12.3976,-3.98846,-13.5762,24.0156,537.205,954.081,
351,12.9497,-4.2188,-13.4898,23.9038,536.602,957.994,
352,13.5365,-4.3555,-13.4092,23.951,535.927,961.33,
353,14.1055,-4.33012,-13.5795,23.8084,535.052,965.142,
354,14.7663,-4.58074,-13.6058,24.2232,534.374,968.83,
355,15.4293,-4.81019,-13.6199,24.1728,533.1,972.008,
356,15.967,-4.97064,-13.5549,24.595,532.01,974.987,
357,16.6221,-5.4384,-13.3056,25.4509,530.764,978.568,
358,17.5063,-5.25512,-12.9072,25.8518,530.388,982.137,
359,18.673,-5.38576,-12.7035,25.955,529.736,985.151,
360,18.937,-5.36876,-12.4544,25.8842,528.892,988.471,
361,19.6365,-5.54128,-12.4298,25.6397,528.007,992.036,
362,20.3505,-5.82671,-12.2358,26.0136,527.102,995.149,
363,20.9605,-5.81043,-12.2456,26.3417,526.219,998.311,
364,21.4651,-5.95114,-12.0353,26.4191,524.76,1001.36,
365,22.0257,-5.78118,-12.2679,26.7756,523.762,1004.5,
366,22.3778,-5.63684,-12.5589,26.5047,523.092,1008.1,
367,23.0446,-6.13227,-12.5241,25.9952,522.703,1011.24,
368,23.5082,-6.27197,-12.5426,25.3505,522.819,1014.62,
369,23.8305,-6.4172,-12.3665,25.0998,521.902,1017.17,
370,24.5372,-6.67041,-12.3983,24.9055,520.795,1020.16,
371,25.2244,-6.77525,-12.5415,24.4454,519.967,1023.33,
372,25.445,-6.85058,-12.3031,25.1646,518.706,1025.43,
373,25.8287,-6.80063,-12.3447,25.274,518.034,1028.05,
374,26.1893,-6.68045,-12.6459,24.7794,517.256,1030.52,
375,26.7783,-6.92486,-12.9013,24.4509,516.849,1032.91,
376,27.4702,-7.38028,-12.9547,24.3131,516.02,1035.21,
377,27.8525,-7.47738,-13.0565,24.3549,515.735,1036.95,
378,27.6559,-7.34313,-12.977,25.0797,515.136,1038.63,
379,27.9937,-7.35292,-13.2697,25.0567,515.045,1040.6,
380,28.2468,-7.18686,-13.9905,24.5401,514.543,1042.22,
381,28.7144,-7.90368,-13.947,23.851,513.977,1043.96,
382,28.782,-7.92656,-14.1653,23.9266,513.992,1045.36,
383,29.0476,-8.32976,-14.0197,24.2805,513.356,1047.02,
384,29.3395,-8.42006,-14.1673,24.3546,512.883,1048.6,
385,29.8839,-9.00088,-13.7531,24.0639,512.181,1049.98,
386,29.9798,-9.02041,-13.7605,24.0776,511.957,1051.4,
387,30.5111,-9.2295,-13.51,23.7493,512.118,1052.39,
388,30.8045,-8.84804,-13.9583,23.7822,512.237,1053.1,
389,31.5285,-9.39202,-13.8384,22.5224,512.214,1054.89,
390,31.5162,-9.16251,-14.0106,22.4162,512.037,1056.05,
391,31.6539,-9.11939,-14.2118,22.5639,511.907,1056.35,
392,31.9669,-9.38357,-14.2092,22.5204,512.298,1056.6,
393,32.2471,-9.64735,-14.1557,22.4999,512.589,1057.11,
394,32.4919,-9.69905,-14.164,22.2667,512.993,1057.78,
395,32.7779,-9.81524,-14.2175,21.9088,513.194,1058.08,
396,32.9953,-9.71321,-14.5794,21.2031,513.641,1058.47,
397,33.1357,-9.89615,-14.5262,20.9143,513.954,1058.42,
398,33.066,-9.79836,-14.5736,20.8375,514.364,1058.1,
399,32.9562,-9.70166,-14.8144,20.855,514.951,1057.98,
400,32.8997,-9.57432,-14.94,20.9155,515.488,1058.11,
401,32.9906,-9.62054,-15.4792,20.2551,516.223,1057.88,
402,32.925,-9.80663,-15.8119,19.9159,516.647,1057.67,
403,32.9185,-10.0211,-16.1746,19.3962,517.518,1056.92,
404,32.7734,-10.1673,-16.5,19.4578,518.372,1055.93,
405,32.4384,-10.21,-16.7903,19.2338,519.23,1055.53,
406,32.288,-10.3993,-17.0496,18.8873,520.102,1054.85,
407,32.2134,-10.6417,-17.2547,18.5805,520.978,1054.09,
408,32.1767,-10.8915,-17.3867,18.054,522.476,1053.3,
409,31.9046,-10.9048,-17.515,17.4707,523.445,1052.3,
410,31.7768,-10.9734,-17.6966,17.1189,524.473,1051.11,
411,31.3385,-10.7694,-17.9504,16.7121,525.939,1050.06,
412,31.2573,-10.9053,-18.2241,16.0971,527.239,1048.98,
413,30.8861,-10.8165,-18.4551,15.5859,528.296,1046.95,
414,30.5521,-10.7591,-18.7801,15.0926,529.498,1045.56,
415,30.2138,-10.8593,-18.8502,14.7268,530.615,1044.47,
416,30.1375,-10.9092,-19.3137,14.407,531.848,1043.01,
417,30.2145,-11.4424,-19.2392,13.9252,533.758,1041.53,
418,29.8595,-11.1262,-19.6958,13.4849,535.275,1040.21,
419,29.7211,-11.3224,-19.8499,13.1385,536.704,1038.76,
420,29.041,-10.9119,-20.2329,12.1878,539.003,1037.01,
421,28.4075,-10.5578,-20.7527,11.711,540.202,1034.74,
422,27.9218,-10.5878,-21.0927,11.7318,541.915,1033.04,
423,27.3089,-10.3999,-21.5146,11.2953,542.921,1031.07,
424,27.1779,-10.7281,-21.9693,9.9124,544.124,1029.05,
425,26.6361,-10.5077,-22.4603,8.99703,545.761,1027.55,
426,25.8709,-10.2766,-22.8285,8.24988,548.955,1025.87,
427,25.0362,-10.0304,-23.1234,7.79446,550.357,1023.48,
428,24.4321,-9.9273,-23.5586,7.0321,552.102,1021.6,
429,23.7819,-9.92218,-23.7154,6.49519,553.878,1019.4,
430,23.2396,-9.99653,-23.7419,5.78431,555.844,1017.52,
431,22.6971,-9.79597,-23.9063,4.95642,557.917,1015.32,
432,22.0659,-9.24514,-24.5173,3.70773,559.429,1013.4,
433,21.3237,-9.02648,-24.7664,2.58984,561.458,1011.9,
434,20.6577,-8.86179,-24.9959,2.12745,563.504,1009.41,
435,20.0616,-8.62807,-25.4075,0.921296,565.117,1007.58,
436,19.3682,-8.48319,-25.4548,0.0877822,566.812,1005.25,
437,18.8018,-8.33628,-25.6646,-0.49798,568.839,1003.44,
438,18.1846,-8.09229,-25.793,-1.64667,570.889,1001.77,
439,17.4444,-7.56495,-26.0353,-3.022,572.472,999.297,
440,16.8226,-7.48757,-26.0293,-3.93249,574.729,997.321,
441,16.3269,-7.2762,-26.3216,-4.86747,576.156,995.058,
442,15.6565,-6.98789,-26.3631,-5.39495,577.938,993.424,
443,14.887,-6.24827,-26.7935,-6.65813,579.753,991.455,
444,14.3159,-6.19326,-27.0559,-7.81575,581.837,989.314,
445,13.6262,-5.93603,-27.071,-8.74204,583.442,987.319,
446,12.9352,-5.66104,-26.9371,-9.91244,585.308,985.621,
447,12.1532,-5.07599,-26.9931,-11.0109,586.824,984.105,
448,11.6441,-4.98984,-27.137,-12.0887,588.321,982.759,
449,10.9649,-4.61548,-27.1779,-12.7108,590.059,980.982,
450,10.3139,-4.22162,-27.2875,-13.5742,591.661,979.279,
451,9.66906,-3.92436,-27.3539,-14.004,593.301,977.707,
452,9.0709,-3.76745,-27.2909,-14.6367,595.251,977.199,
453,8.42518,-3.38641,-27.2152,-16.0823,596.553,975.284,
454,7.87345,-3.09756,-27.2767,-17.1215,597.797,974.07,
455,7.11933,-2.45161,-27.3688,-18.2975,598.814,973.482,
456,6.49835,-2.21407,-27.4939,-19.2506,600.602,972.697,
457,5.94297,-2.10438,-27.5413,-20.1301,602.26,972.338,
458,5.31133,-1.66169,-27.5247,-20.7222,603.647,971.043,
459,4.74747,-1.44958,-27.4276,-21.2609,605.015,969.934,
460,4.27247,-1.25767,-27.6004,-22.1414,606.057,969.518,
461,3.78172,-1.12443,-27.3628,-23.1214,607.278,969.219,
462,3.28037,-0.773981,-27.4629,-23.9202,608.966,969.089,
463,2.78503,-0.517369,-27.4603,-24.5487,610.087,969.032,
464,2.25278,-0.132379,-27.6234,-25.048,611.428,968.75,
465,1.93404,-0.312497,-27.807,-25.6416,612.916,968.768,
466,1.53003,-0.0869272,-27.7653,-26.3298,614.091,969.016,
467,1.20467,-0.0452133,-27.5247,-26.3667,615.297,969.456,
468,0.984862,-0.0877424,-27.6335,-27.4867,616.714,969.789,
469,0.705547,0.165608,-27.7401,-28.1989,617.391,970.101,
470,0.366819,0.446457,-27.6589,-28.4424,618.635,970.633,
471,0.0666354,0.548927,-27.7577,-28.453,619.621,970.869,
472,-0.090178,0.384167,-27.5362,-28.8242,620.327,971.336,
473,-0.305204,0.543411,-27.7215,-29.4161,621.486,971.728,
474,-0.559171,0.740505,-27.7464,-29.5412,622.672,972.095,
475,-0.854525,1.00876,-27.8131,-29.907,623.425,972.875,
476,-1.24217,1.42776,-27.794,-30.3729,624.625,974.173,
477,-1.48959,1.34238,-27.7449,-30.394,625.414,974.95,
478,-1.81489,1.58769,-27.6395,-30.0068,626.448,975.676,
479,-2.01683,1.47004,-27.7445,-29.5779,627.298,976.702,
480,-2.14684,1.36262,-27.9074,-29.4179,628.379,978.031,
481,-2.41709,1.68132,-28.0925,-29.4647,629.467,979.55,
482,-2.56084,1.66547,-28.0121,-29.0573,629.931,980.766,
483,-2.76069,1.83649,-27.9887,-28.9908,630.429,982.084,
484,-2.96484,1.94148,-28.162,-28.6623,631.21,983.49,
485,-3.09489,1.90681,-28.2871,-28.7197,631.596,985.123,
486,-3.08309,1.69626,-28.112,-27.884,632.096,986.332,
487,-3.23479,1.94559,-28.0975,-27.5085,632.922,988.306,
488,-3.40154,2.11017,-28.0541,-27.063,633.393,990.267,
489,-3.37371,1.76589,-28.1749,-26.447,634.473,992.223,
490,-3.46883,1.98586,-28.1362,-26.3018,634.697,993.503,
491,-3.29053,1.46847,-28.4178,-25.8908,635.868,995.173,
492,-3.38001,1.79947,-28.482,-25.6811,636.618,997.009,
493,-3.30638,1.62222,-28.6383,-25.4287,637.396,998.897,
494,-3.47443,2.00215,-28.8379,-25.1867,637.52,1000.85,
495,-3.53366,2.04212,-28.655,-25.1732,637.809,1003.41,
496,-3.68871,2.23791,-28.7145,-24.6793,637.858,1005.58,
497,-3.78757,2.2802,-28.5209,-24.1946,637.84,1007.96,
498,-3.76052,2.02728,-28.3985,-23.7407,637.746,1009.65,
499,-3.72994,1.81094,-28.2425,-23.0089,637.833,1012.16,
500,-3.63146,1.77965,-27.7818,-22.1445,637.953,1014.59,
501,-3.65276,1.91497,-27.5912,-21.5008,638.175,1017.06,
502,-3.57745,1.7623,-27.3299,-21.044,638.516,1019.69,
503,-3.626,1.9376,-26.9664,-20.4854,638.584,1022.44,
504,-3.54439,1.71306,-26.719,-20.3018,638.628,1024.73,
505,-3.38169,1.48063,-26.2499,-20.0359,638.391,1027.25,
506,-3.28646,1.43791,-25.9267,-19.6649,638.035,1029.68,
507,-3.22108,1.25537,-25.6233,-19.1558,637.679,1032.33,
508,-3.03346,1.13463,-25.2021,-18.6237,637.366,1035.04,
509,-2.93789,0.901817,-24.9267,-18.1565,637.065,1037.66,
510,-2.63403,0.695636,-24.4649,-17.8591,636.556,1040.39,
511,-2.37183,0.57176,-24.1904,-17.1427,636.201,1043.34,
512,-2.26277,0.709987,-23.9399,-16.5232,635.684,1046.32,
