Stick-right
Frame,Root<a-X>,Root<a-Y>,Root<a-Z>,Root<t-X>,Root<t-Y>,Root<t-Z>,
314,14.8443,3.33508,20.4228,219.121,537.169,908.362,
315,13.4452,2.7298,20.6078,219.228,538.598,906.397,
316,11.9786,2.08351,20.6714,219.181,539.724,904.355,
317,10.7013,1.67311,20.5376,219.027,541.021,902.112,
318,9.43877,1.18556,20.3516,219.169,541.98,899.723,
319,7.92022,0.337718,20.183,219.178,542.758,898.115,
320,6.45234,-0.387266,19.8345,219.014,543.47,896.748,
321,5.09253,-0.863467,19.5758,219.006,544.38,895.442,
322,3.9957,-1.16555,18.9664,218.167,544.71,894.155,
323,2.67249,-1.49461,18.9733,218.25,545.552,893.625,
324,1.40978,-1.97971,18.7568,218.117,545.882,892.518,
325,0.198849,-2.17004,18.7737,218.508,546.627,892.068,
326,-0.619857,-2.73513,18.6619,218.675,547.257,891.884,
327,-1.27119,-3.00673,18.4371,218.786,548.042,891.871,
328,-2.04892,-3.3196,18.3285,218.884,548.353,892.917,
329,-2.64693,-3.58471,17.9703,218.243,548.103,893.562,
330,-3.35667,-3.75654,17.8051,217.995,548.269,895.068,
331,-3.75115,-3.37861,17.704,217.798,548.214,896.441,
332,-4.26879,-3.26223,17.7056,217.69,547.813,898.186,
333,-4.47706,-2.69688,17.7704,217.005,547.811,900.384,
334,-4.50473,-2.22698,17.7654,216.963,547.98,903.203,
335,-4.65699,-2.09647,17.79,216.568,547.589,906.077,
336,-4.35975,-1.45233,17.7362,215.993,547.66,909.464,
337,-4.364,-1.16446,17.9216,215.541,547.205,913.535,
338,-3.78757,-0.564295,17.7574,215.216,547.042,917.012,
339,-3.29343,0.0733775,17.8287,214.711,547.034,921.334,
340,-2.47144,0.862214,17.7429,214.304,546.532,925.235,
341,-1.93688,1.36724,17.9467,213.727,545.922,929.75,
342,-1.25577,1.73137,17.9735,213.385,545.173,934.118,
343,-0.357227,2.09181,18.311,212.758,544.677,939.109,
344,0.531228,2.50103,18.1427,212.532,543.972,944.867,
345,1.81088,3.05508,18.2686,211.893,543.307,949.597,
346,2.58032,3.49659,18.3845,211.728,542.583,955.148,
347,3.77685,3.65575,18.3616,211.14,541.288,960.785,
348,4.90471,3.86293,18.3599,210.551,540.521,965.388,
349,6.207,4.30149,18.1825,210.532,539.388,970.549,
350,7.09742,4.84281,18.0891,210.144,537.491,976.305,
351,8.42871,5.20237,18.0356,209.948,536.735,981.533,
352,9.71738,5.66589,18.297,210.111,535.943,986.542,
353,10.8811,5.82839,18.2073,209.713,534.566,992.267,
354,12.1435,6.17489,18.0328,210.192,532.694,997.105,
355,13.3354,6.45591,17.9169,210.113,531.353,1002.62,
356,14.5569,6.748,17.6162,209.475,529.386,1007.55,
357,15.5656,7.41079,17.6636,209.426,527.76,1012.51,
358,16.7906,7.58667,17.5403,209.639,526.59,1017.9,
359,17.9548,8.36134,17.4966,209.559,524.687,1022.59,
360,19.1356,8.35607,17.2764,209.91,522.462,1027.25,
361,20.5142,8.67818,16.7999,209.807,520.872,1031.69,
362,21.6163,9.17147,16.9973,209.958,519.158,1036.32,
363,22.8802,9.82088,17.1114,210.398,517.537,1040.99,
364,23.7928,10.0709,17.0991,210.531,515.138,1045.5,
365,25.2261,10.357,16.6377,209.858,513.225,1049.47,
366,26.543,10.4661,16.5488,210.875,511.353,1053.96,
367,27.8998,10.7435,16.1147,211.452,508.773,1057.25,
368,29.3128,11.0074,16.0485,212.08,507.106,1061.13,
369,30.3241,11.4533,15.6889,212.244,504.521,1064.41,
370,31.6571,11.598,15.4852,212.696,502.472,1067.78,
371,33.0543,11.83,15.4108,212.794,500.251,1070.87,
372,33.8843,12.2574,14.6308,213.268,498.024,1074.17,
373,35.2806,12.6861,14.5733,213.425,496.09,1076.82,
374,36.7224,12.7987,14.1393,214.373,493.92,1079.1,
375,37.8571,13.1656,13.6148,215.065,491.755,1081.64,
376,39.2925,13.1231,13.4821,215.195,489.309,1083.78,
377,40.3763,13.3241,13.45,214.689,487.167,1085.7,
378,41.6656,13.6332,13.5651,215.674,484.894,1087.21,
379,42.8757,14.0255,13.3386,215.973,482.779,1088.57,
380,44.604,14.4021,12.7428,216.427,480.906,1089.61,
381,45.7156,14.655,12.395,217.09,478.684,1091.15,
382,47.0685,14.9902,12.023,217.462,476.294,1091.79,
383,48.2745,15.1841,11.9152,217.588,474.123,1092.25,
384,49.5317,15.4629,11.4398,217.504,472.017,1092.86,
385,50.9143,15.4048,10.8015,217.422,470.152,1093.26,
386,52.4205,15.3515,10.1265,217.327,467.644,1093.27,
387,53.5951,15.4335,9.83295,218.001,465.84,1093.47,
388,54.7066,15.5061,9.33172,218.965,463.844,1092.65,
389,55.8919,15.5189,9.3039,219.443,462.039,1092.08,
390,57.2065,15.66,8.92303,219.474,459.864,1091.16,
391,58.5199,15.7793,8.45833,219.673,458.387,1090.18,
392,59.8215,15.8498,8.08163,220.08,456.721,1089.3,
393,60.937,15.8471,7.69522,220.973,454.836,1087.95,
394,62.2653,15.8888,7.36567,220.74,453.225,1085.97,
395,63.3206,15.8481,7.41645,221.172,451.856,1083.81,
396,64.3576,15.8702,7.29166,221.173,450.294,1081.94,
397,65.5511,15.945,6.53844,220.787,449.542,1079.74,
398,66.1744,16.0419,6.52746,220.912,447.955,1077.64,
399,66.954,15.9356,6.25245,220.918,447.196,1075.02,
400,67.9364,15.8565,5.78249,221.182,446.228,1071.39,
401,68.5005,15.6566,5.68546,220.803,445.508,1068.24,
402,69.1069,15.4871,5.54067,221,445.016,1065.24,
403,69.6019,15.3099,5.46052,222.129,444.581,1061.81,
404,70.0458,15.1629,5.69139,221.685,445.013,1058.74,
405,70.5107,15.2256,5.95511,221.855,445.189,1055.17,
406,70.6284,15.2308,6.02435,221.15,445.879,1051.71,
407,70.7017,15.1732,6.22271,221.194,446.4,1047.64,
408,70.9086,15.2146,6.2533,220.679,447.323,1042.92,
409,70.7323,15.1787,6.11123,220.64,448.55,1038.49,
410,70.6933,15.1968,5.56545,219.904,449.158,1032.34,
411,70.7295,14.997,5.20152,219.582,449.962,1027.01,
412,70.3537,14.6335,4.57558,217.996,450.551,1021.75,
413,69.9976,14.2323,4.81176,217.326,452.343,1017.23,
414,68.1069,13.619,5.85477,216.307,454.847,1012.46,
415,66.2271,13.1164,7.13872,215.227,458.077,1008.53,
416,64.4916,12.7511,8.00045,214.284,460.905,1003.82,
417,62.8436,12.4325,9.1798,213.828,464.255,998.59,
418,61.4689,12.7429,10.3481,213.458,468.698,991.843,
419,60.4143,12.8485,11.0689,213.334,474.076,983.855,
420,58.6646,13.2376,11.9357,212.991,479.024,976.006,
421,56.4319,13.4126,13.0118,212.626,483.365,968.336,
422,53.9088,13.4192,14.0368,211.884,488.052,960.665,
423,51.0724,13.1956,14.9066,210.481,492.978,953.299,
424,47.4056,12.4464,15.4088,210.161,497.631,945.928,
425,44.1107,11.7052,16.0856,209.824,501.922,938.57,
426,40.4845,10.5681,17.0571,208.675,506.038,928.557,
