Stick-left
Frame,Root<a-X>,Root<a-Y>,Root<a-Z>,Root<t-X>,Root<t-Y>,Root<t-Z>,
315,63.7765,-26.5375,-14.6603,48.7513,232.816,1094.91,
316,63.1084,-26.5203,-15.0725,49.0994,233.842,1092.44,
317,62.7825,-26.7053,-15.0062,50.0832,235.069,1090.53,
318,62.0698,-26.6032,-15.778,50.1126,236.529,1088.51,
319,61.3954,-26.6366,-16.5309,50.2968,238.622,1086.53,
320,60.7993,-26.8192,-16.7388,49.8805,240.618,1084.5,
321,60.1872,-26.9298,-16.8605,50.2074,242.41,1081.8,
322,59.779,-27.0728,-17.0238,50.5646,243.945,1079.79,
323,59.1294,-27.0068,-17.7398,50.9179,245.921,1076.91,
324,58.2305,-26.9056,-18.0899,51.0082,247.925,1074.68,
325,57.293,-26.732,-18.6667,50.7261,250.484,1071.94,
326,56.6828,-26.8264,-19.5264,50.2303,252.907,1069.03,
327,55.8927,-26.9615,-20.0932,49.2066,255.866,1065.73,
328,55.1662,-27.1412,-20.7232,49.0734,258.565,1063.02,
329,54.1971,-27.1587,-21.2403,48.3346,261.331,1059.79,
330,53.1706,-27.0659,-21.7277,47.4128,264.119,1056.58,
331,52.0208,-26.854,-22.1015,47.1342,266.319,1055.06,
332,50.8241,-26.4846,-23.0037,47.1045,268.78,1051.9,
333,49.4411,-26.08,-23.1039,47.225,271.143,1049.03,
334,48.4272,-25.7318,-23.5471,47.3283,274.288,1045.89,
335,47.6974,-25.6381,-23.8789,47.5644,277.868,1042.7,
336,47.3332,-25.9075,-23.7036,47.3303,282.656,1038.39,
337,46.2361,-25.3082,-23.8785,47.2243,286.598,1034.6,
338,44.9751,-24.4663,-24.2867,46.5855,290.65,1031.8,
339,43.8713,-23.8829,-24.1949,45.686,294.752,1028.41,
340,42.3723,-23.0984,-24.9476,44.3829,298.982,1025.66,
341,41.1995,-22.3417,-25.1916,43.9824,303.568,1022.7,
342,39.7711,-21.7927,-25.8523,42.5373,308.288,1019.6,
343,37.928,-20.8483,-26.122,42.2002,312.298,1017.25,
344,36.0652,-19.7419,-26.3647,41.5367,317.046,1014.11,
345,34.5057,-18.899,-26.4598,41.0017,321.488,1011.63,
346,32.8505,-17.8152,-26.6345,40.6519,326.074,1008.84,
347,31.4258,-17.0232,-26.5986,39.9168,330.768,1007.05,
348,29.6107,-15.6637,-26.9947,38.7684,334.892,1005.38,
349,27.8026,-14.5556,-26.9073,38.2151,339.364,1004.08,
350,26.2718,-13.6883,-26.3713,37.386,343.815,1003.06,
351,24.763,-12.5118,-26.2144,36.7251,347.452,1002.16,
352,23.5069,-11.6983,-26.2074,36.0423,350.725,1001.88,
353,22.7789,-11.2166,-25.9374,35.2241,353.978,1002.2,
354,22.0794,-10.8678,-25.4562,34.7389,357.08,1003.67,
355,21.5436,-10.4946,-25.2167,33.507,359.34,1005.51,
356,21.3988,-10.7315,-24.8864,32.7917,361.211,1008.68,
357,21.4095,-10.7159,-24.9674,32.363,362.989,1012.15,
358,21.4097,-10.8966,-24.7608,31.3874,363.813,1017.27,
359,21.7635,-11.5446,-24.3346,30.7109,364.064,1022.71,
360,22.5625,-12.3237,-24.176,30.0507,364.082,1029.02,
361,23.2231,-12.6593,-24.0003,29.6607,364.095,1035.55,
362,23.94,-13.0115,-23.9528,29.1724,362.887,1042.68,
363,25.1527,-13.3684,-23.7605,28.5205,361.658,1050.29,
364,26.0362,-14.0764,-23.5761,28.1378,360.131,1057.28,
365,27.3731,-14.3922,-23.3712,28.1192,358.88,1065.19,
366,28.8787,-15.0899,-23.0578,27.4984,357.089,1073.15,
367,30.1599,-15.4605,-22.9746,27.3406,355.514,1081.53,
368,31.6405,-16.1609,-23.0062,27.3993,353.892,1089.46,
369,32.8463,-16.6879,-23.0205,27.4235,351.436,1097.2,
370,34.323,-17.6084,-22.7745,26.6434,348.448,1104.41,
371,35.7036,-18.3375,-22.5856,25.9423,345.358,1111.91,
372,37.1494,-19.1427,-22.3598,25.5738,342.454,1119.11,
373,38.7399,-20.0562,-22.4181,24.6723,339.767,1126.63,
374,40.0603,-20.7992,-22.0815,24.2642,336.241,1134.32,
375,41.1738,-21.5545,-21.8841,24.2827,333.138,1141.89,
376,42.6244,-22.1807,-21.9444,24.1673,329.879,1148.6,
377,44.042,-22.9845,-21.9217,24.0307,326.697,1155.33,
378,45.1588,-23.8199,-21.6801,23.9509,323.339,1161.77,
379,46.2091,-24.4812,-21.774,23.6134,319.504,1168.09,
380,47.589,-25.3232,-21.5764,23.4389,316.043,1175.29,
381,48.9734,-26.2129,-21.478,23.0088,312.604,1181.25,
382,50.6108,-27.3327,-21.3191,22.5626,309.236,1187.13,
383,52.0357,-28.169,-20.429,21.828,305.561,1192.65,
384,53.5744,-28.9078,-20.2156,21.4148,301.312,1198.22,
385,54.7578,-29.6337,-20.1092,21.4666,297.402,1203.18,
386,56.0549,-30.4892,-20.1349,21.8009,293.726,1208.34,
387,57.2976,-31.3976,-19.7765,21.7504,289.516,1212.97,
388,58.3615,-32.0897,-19.5694,21.109,285.883,1217.69,
389,59.5237,-32.8733,-19.4586,20.2352,282.101,1222.09,
390,60.9588,-33.8598,-19.0335,19.9992,278.113,1226.15,
391,62.1403,-34.6942,-19.0568,19.4606,274.224,1230.49,
392,63.2013,-35.6076,-19.0757,18.734,270.406,1233.94,
393,64.286,-37.0797,-19.4891,17.409,267.105,1236.98,
394,65.3356,-38.2275,-19.4211,16.6759,262.592,1240.66,
395,66.5319,-39.893,-19.3265,16.347,258.547,1243.68,
396,68,-41.6042,-18.8774,16.8051,254.435,1246.53,
397,69.1149,-42.6967,-18.637,16.4292,250.816,1248.29,
398,69.9302,-43.6116,-18.4607,15.9497,246.291,1251.13,
399,71.0361,-44.7961,-18.424,14.9968,243.244,1252.86,
400,71.5551,-45.7745,-18.6567,14.5398,239.636,1255.09,
401,72.7315,-47.134,-18.3325,13.8606,236.147,1257.02,
402,73.7234,-48.4358,-18.1973,13.427,232.891,1257.98,
403,74.62,-49.8018,-18.2543,13.1039,229.791,1259.09,
404,74.846,-51.9477,-19.0442,12.2929,226.687,1260.38,
405,75.5774,-53.4047,-19.0517,11.8378,223.191,1261.29,
406,75.504,-55.5573,-19.7162,10.8605,220.204,1261.97,
407,75.6891,-57.6828,-19.955,10.9551,217.528,1261.9,
408,75.483,-59.4901,-20.4317,10.0814,214.878,1262.21,
409,75.2196,-61.4119,-21.2665,10.2261,212.521,1262.43,
410,75.0831,-62.5436,-21.8836,9.429,209.91,1261.82,
411,74.7532,-64.9456,-23.078,9.18962,207.987,1261.59,
412,74.0121,-67.0436,-24.1407,8.69742,204.74,1261.05,
413,74.1812,-68.3193,-24.2801,8.85258,202.666,1260.37,
414,74.8371,-69.6939,-23.9655,8.79725,200.969,1259.08,
415,74.4144,-70.976,-25.0022,8.43713,199.905,1258.63,
416,70.1155,-73.7872,-29.727,7.95743,197.975,1257.1,
417,70.0247,-75.1292,-29.9952,8.30178,196.306,1255.69,
418,68.9326,-76.4112,-31.5636,8.42894,195.073,1253.85,
419,66.5489,-77.3167,-34.0478,7.95494,194.228,1252.21,
