Stick-right
Frame,Root<a-X>,Root<a-Y>,Root<a-Z>,Root<t-X>,Root<t-Y>,Root<t-Z>,
315,71.4128,10.3551,4.22579,231.313,258.741,1062.41,
316,71.2052,10.3054,4.30733,231.403,259.565,1060.1,
317,71.0345,10.265,4.26675,230.534,260.091,1058.29,
318,70.8527,10.2128,4.29268,230.556,261.134,1057.08,
319,70.5304,10.1623,5.08581,230.475,262.607,1054.67,
320,70.0945,10.2026,4.97719,229.441,263.396,1052.67,
321,69.5819,10.1297,4.96329,229.544,264.298,1050.7,
322,69.0517,10.0885,5.87091,230.577,265.589,1049.53,
323,68.5466,10.1886,6.21803,230.762,267.303,1048.61,
324,68.0592,10.3324,6.44432,230.889,269.281,1047.11,
325,67.3652,10.3897,7.11667,231.13,270.912,1044.34,
326,66.8683,10.6405,7.24937,230.328,272.291,1042.45,
327,66.5292,10.9161,7.31237,229.914,274.181,1039.64,
328,66.3483,11.2024,7.40018,230.084,276.706,1036.02,
329,65.954,11.326,6.71456,229.291,279.153,1033.17,
330,65.5849,11.3838,7.09579,228.719,281.893,1030.3,
331,64.6751,11.3492,7.64456,228.818,284.233,1027.94,
332,63.9642,11.4275,7.86968,229.129,287.26,1025.54,
333,63.1923,11.4789,8.31893,230.25,290.312,1023.26,
334,62.1752,11.4649,8.86015,230.543,293.191,1020.58,
335,61.0846,11.4831,9.24285,229.784,295.604,1018.68,
336,59.9007,11.5143,9.25459,229.975,298.386,1016.78,
337,58.5036,11.3897,9.50603,229.404,301.017,1015.06,
338,57.2958,11.2306,10.2697,230.401,304.12,1012.82,
339,55.6699,11.4091,10.6771,230.62,306.982,1011.14,
340,54.4936,11.3088,11.0487,230.138,310.381,1009.36,
341,53.1065,11.1941,11.1827,230.382,314.265,1008.31,
342,51.7367,11.31,11.5926,229.948,317.62,1007.22,
343,50.3011,11.3564,11.8275,229.704,320.926,1006.62,
344,48.5016,11.1815,11.8382,229.367,323.506,1005.97,
345,46.8572,10.8759,12.2456,229.092,326.879,1005.67,
346,45.2219,10.5833,12.5398,229.188,329.939,1005.98,
