Stick-left
Frame,Root<a-X>,Root<a-Y>,Root<a-Z>,Root<t-X>,Root<t-Y>,Root<t-Z>,
255,20.4904,-2.74237,-6.78581,49.8016,287.069,951.871,
256,20.6103,-2.75659,-6.89695,49.7624,286.141,950.531,
257,20.3509,-2.30652,-7.33117,49.5593,285.154,948.699,
258,20.2637,-2.46601,-7.51746,49.3451,284.01,947.431,
259,19.9482,-2.39742,-7.69446,48.9998,283.317,945.944,
260,19.3982,-2.28205,-7.73377,49.2798,282.991,944.46,
261,19.0585,-2.71979,-7.33155,50.0277,282.281,943.166,
262,18.6266,-2.19093,-7.5962,50.0405,281.456,941.22,
263,18.3021,-2.21607,-7.68754,50.344,281.048,939.758,
264,17.8883,-2.24288,-7.62434,51.118,280.351,937.683,
265,17.44,-2.32459,-7.40378,51.1681,279.95,936.029,
266,17.0394,-2.3443,-7.15317,51.1221,279.547,934.88,
267,16.4177,-1.81071,-7.95296,50.2467,278.869,934.285,
268,15.934,-1.92162,-7.80108,49.9224,278.532,932.822,
269,15.2673,-1.76602,-8.30357,50.0032,278.456,930.935,
270,14.676,-1.63662,-8.22394,50.63,278.611,929.815,
271,14.3191,-1.71568,-8.20161,50.8074,278.084,928.608,
272,14.1466,-1.80659,-8.31108,51.0099,277.193,927.344,
273,13.5908,-1.60873,-8.25033,50.7941,276.925,926.502,
274,13.1274,-1.35303,-8.41514,50.4079,276.757,925.518,
275,12.6755,-1.23245,-8.56926,50.2944,276.408,925.011,
276,12.2713,-1.42766,-8.52108,50.331,277.03,924.723,
277,11.9201,-1.51451,-8.45897,50.4362,276.908,924.577,
278,11.4384,-1.1941,-8.59661,50.4296,276.18,924.391,
279,11.1005,-1.15147,-8.8185,50.0601,275.77,924.792,
280,10.7586,-1.1766,-8.97079,49.6467,275.492,925.452,
281,10.4668,-1.18844,-9.17053,49.3607,274.962,926.075,
282,10.4746,-1.62229,-9.27137,49.3017,274.97,927.051,
283,10.6351,-2.12174,-9.18814,49.6671,274.368,928.208,
284,10.7789,-2.41617,-8.84781,49.3369,274.865,929.251,
285,11.26,-2.93639,-8.42982,49.9244,274.653,930.875,
286,11.7548,-3.05467,-8.1095,50.1324,274.143,932.104,
287,11.8009,-2.45847,-7.98167,50.085,273.729,934.82,
288,12.0805,-2.31321,-8.09196,49.9527,272.789,936.551,
289,12.5447,-2.69028,-8.00276,48.8781,272.746,939.732,
290,12.9142,-2.26094,-8.49747,48.6414,272.718,942.459,
291,13.4301,-2.91104,-8.34888,48.3453,272.118,945.07,
292,14.3259,-3.38584,-8.36948,48.2557,271.453,948.313,
293,15.1883,-3.63213,-8.26765,48.0839,271.103,952.045,
294,16.2359,-3.3746,-8.15755,47.638,269.993,955.535,
295,17.1228,-3.74148,-8.13669,47.5446,269.286,959.32,
296,17.7297,-3.86381,-7.97361,47.2316,268.523,963.529,
297,18.7807,-4.0274,-8.15415,47.2697,267.688,967.189,
298,19.5838,-3.9795,-8.37172,47.3113,267.098,971.279,
