Stick-right
Frame,Root<a-X>,Root<a-Y>,Root<a-Z>,Root<t-X>,Root<t-Y>,Root<t-Z>,
255,13.8264,-0.059867,1.69003,250.553,291.692,895.059,
256,13.5068,-0.332648,1.91339,250.327,291.05,894.438,
257,13.3826,-0.326478,2.15356,250.174,290.205,893.816,
258,13.0974,-0.313302,2.41725,250.229,288.94,892.868,
259,12.7721,-0.273486,2.74635,250.221,288.407,891.07,
260,12.9278,-0.162256,2.8259,250.368,287.99,890.1,
261,12.4342,-0.279858,3.19634,249.779,287.609,889.195,
262,12.4136,-0.240245,3.31051,249.355,286.993,888.174,
263,12.0141,-0.135987,3.43051,249.359,286.543,887.889,
264,11.7861,-0.193467,3.76599,248.782,285.679,887.05,
265,11.4205,-0.234248,4.06283,248.6,284.945,886.54,
266,11.618,-0.132266,4.26194,248.126,284.538,885.214,
267,11.8466,0.374167,4.12376,247.986,283.871,884.537,
268,11.5546,0.259583,4.36224,247.318,283.373,883.471,
269,11.0831,-0.0303583,4.72743,247.091,283.049,883.118,
270,10.8821,-0.0330523,5.0196,247.312,282.7,882.711,
271,10.9796,0.403857,4.95229,246.996,282.738,881.993,
272,10.644,0.345741,5.10326,246.308,282.085,881.757,
273,10.3627,0.304646,5.34521,245.449,281.572,881.343,
274,10.1871,0.174117,5.53966,245.042,281.343,881.019,
275,9.9078,0.0905293,5.92559,245.066,281.045,881.089,
276,9.69727,0.285527,5.95397,245.361,281.018,881.204,
277,9.58192,0.303776,6.29809,245.515,281.008,881.267,
278,9.40811,0.283913,6.60791,245.235,280.889,881.452,
279,9.06704,0.156059,6.6323,244.459,281.096,882.045,
280,8.69226,0.110111,6.84369,244.478,281.483,882.566,
281,8.56103,0.156522,7.16329,244.76,281.493,883.569,
282,8.39002,0.348427,7.19167,244.823,281.522,884.316,
283,8.03534,0.197518,7.16738,244.645,281.376,885.714,
284,8.08119,0.585659,7.05035,244.491,281.123,886.993,
285,8.33814,0.988269,6.89475,244.349,281.338,889.333,
286,8.28038,0.887295,6.96817,245.041,281.471,891.382,
287,8.47285,1.0338,6.99022,245.684,281.602,893.664,
288,8.85171,1.30804,7.0281,245.775,281.781,895.968,
289,9.55357,1.96527,6.66064,245.734,281.775,899.006,
290,10.0885,2.09265,6.49983,246.078,281.564,902.522,
291,10.4445,2.1536,6.25334,246.501,281.563,906.311,
292,11.3952,2.39433,6.14228,247.341,281.382,909.675,
293,11.7728,2.22656,6.10343,247.034,281.638,913.25,
294,13.0233,2.395,5.97474,247.925,281.224,917.605,
295,13.8427,2.52804,5.88675,248.592,280.714,922.277,
