Stick-left
Frame,Root<a-X>,Root<a-Y>,Root<a-Z>,Root<t-X>,Root<t-Y>,Root<t-Z>,
440,27.814,-3.664,-7.5975,7.88737,325.533,988.344,
441,27.6744,-3.9309,-7.54326,8.7032,325.552,988.331,
442,27.6692,-3.86595,-7.61734,8.77529,325.609,988.431,
443,27.5724,-4.00729,-7.65847,8.74037,325.855,989.379,
444,27.8611,-3.81274,-8.45791,7.13049,326.5,989.647,
445,27.8018,-4.11824,-8.64232,6.83516,326.519,990.106,
446,27.5328,-4.58787,-8.22747,7.78563,326.152,990.634,
447,27.5098,-4.83261,-7.91826,7.69014,325.998,991.322,
448,27.5765,-4.79238,-7.82774,7.98351,325.436,991.829,
449,27.837,-4.93549,-7.6599,8.92912,325.046,992.615,
450,27.9036,-4.86527,-7.7033,9.45962,325.031,992.839,
451,27.9144,-4.63021,-7.77772,9.69338,325.131,992.873,
452,27.9637,-4.5148,-7.87627,9.63734,325.28,992.893,
453,28.2135,-4.56918,-8.05214,9.6176,325.48,993.288,
454,28.2467,-4.31919,-8.26814,9.42484,325.39,994.078,
455,28.2991,-4.5912,-8.26202,8.88529,325.357,994.633,
456,28.1803,-4.4675,-8.2851,8.7049,324.666,994.675,
457,28.2614,-4.79858,-8.12619,8.56281,324.406,994.966,
458,28.2656,-4.63262,-8.331,8.62503,324.821,995.263,
459,28.284,-5.01082,-8.10309,8.27098,324.374,995.112,
460,28.4159,-4.95132,-8.21511,7.96713,324.115,995.199,
461,28.606,-4.92077,-8.36192,7.79756,324.063,995.471,
462,28.5399,-4.82095,-8.38459,7.63777,323.912,995.49,
463,28.7357,-4.97799,-8.42253,7.70831,324.221,995.774,
464,28.7571,-5.14609,-8.21366,7.40193,324.273,996.036,
465,28.7385,-5.01477,-8.21756,7.37562,324.05,996.343,
466,28.5459,-5.0171,-7.93585,7.05192,324.12,996.605,
467,28.6944,-5.11093,-7.73855,6.81163,324.108,996.819,
468,28.8029,-4.99334,-7.69071,6.50567,324.11,996.764,
469,28.9107,-5.0592,-7.4409,6.1133,324.505,996.914,
470,29.0215,-4.96335,-7.29737,5.28069,325.011,996.034,
471,29.1536,-4.76365,-7.3564,5.03541,325.064,996.022,
