Stick-right
Frame,Root<a-X>,Root<a-Y>,Root<a-Z>,Root<t-X>,Root<t-Y>,Root<t-Z>,
440,2.60406,-0.131509,13.5339,197.444,377.946,865.712,
441,2.6279,0.0669359,13.8509,197.55,378.189,866.176,
442,2.23505,-0.117226,13.365,198.196,378.32,866.751,
443,2.0674,-0.0443583,13.1653,198.429,378.463,867.586,
444,1.95657,0.0670668,12.8193,198.619,378.648,868.105,
445,2.47117,0.89173,12.7719,198.751,378.738,869.337,
446,2.66105,0.98107,12.8866,198.954,378.768,870.521,
447,2.81449,1.1167,13.0211,198.837,378.692,871.619,
448,3.34702,1.63474,12.7046,198.847,378.764,872.778,
449,4.07334,2.22937,12.5618,199.09,378.711,874.265,
450,4.42076,2.17594,12.4014,199.463,378.305,875.54,
451,4.82268,2.20447,12.3626,200.246,377.494,877.62,
452,5.31399,2.35247,12.3666,200.665,377.249,879.15,
453,5.7781,2.49581,12.3108,200.776,376.952,880.871,
454,6.24871,2.60026,12.2784,200.78,376.927,882.558,
455,6.87254,2.98778,12.0749,200.759,376.847,884.759,
456,7.70187,3.51381,11.7273,200.699,376.642,886.636,
457,8.90336,3.74945,11.3387,200.891,376.388,889.032,
458,9.57344,3.90129,11.0477,201.025,375.934,890.804,
459,9.83148,3.29067,11.2719,200.975,375.521,892.393,
460,10.2866,3.11425,11.5399,200.641,374.941,894.251,
461,10.7862,3.52703,11.602,200.673,374.032,896.584,
462,11.5873,4.03653,11.4009,200.876,373.271,899.029,
463,12.4725,4.40225,11.2951,201.213,372.603,901.105,
464,13.2621,4.80711,10.9907,201.467,372.141,903.416,
465,14.0126,5.12256,10.6012,202.159,371.654,906.039,
466,14.5449,4.88557,10.4497,202.842,371.081,908.942,
467,15.1734,4.45507,10.888,202.793,370.705,911.358,
468,15.8106,4.41402,11.0486,202.906,370.139,913.91,
469,16.324,4.55395,10.8219,203.592,369.401,916.817,
470,17.2487,5.06576,10.5501,203.657,368.357,918.398,
471,17.5885,4.95676,10.3329,203.944,367.662,920.734,
472,18.2865,5.07577,10.1966,204.028,366.808,923.216,
473,18.7052,4.98639,10.043,204.056,365.575,925.688,
474,19.3519,5.13047,9.82001,204.322,364.832,927.562,
475,20.0972,4.97388,9.97404,203.99,364.081,929.67,
476,21.0511,5.16304,10.0276,203.755,362.868,931.107,
477,21.6052,4.94556,10.2328,203.815,361.827,933.447,
478,22.3761,5.20127,10.1974,204.058,360.437,935.602,
479,22.8442,5.35799,9.95459,204.392,359.766,937.574,
480,23.5757,5.45823,9.96766,204.455,358.861,939.07,
481,24.0005,5.59873,9.64591,204.546,357.718,940.696,
482,24.8925,5.76184,9.61621,204.438,356.596,941.979,
483,26.0535,5.9789,9.69728,204.991,354.986,943.362,
484,26.4636,6.35687,9.00516,205.257,353.669,944.903,
485,26.9923,6.03022,9.13237,205.369,352.345,946.079,
486,28.0631,6.17473,9.16166,205.38,350.737,947.347,
487,29.0451,6.03507,9.61471,205.908,349.68,948.021,
488,29.9841,5.84499,10.3452,205.949,348.269,948.533,
489,31.2724,6.64517,10.1194,206.846,346.743,948.688,
490,32.403,7.01302,10.1902,206.777,345.372,948.515,
491,33.3922,7.35722,10.1499,206.919,343.943,947.895,
492,34.3733,7.61335,10.1923,207.35,343.136,947.482,
493,35.9193,7.76874,10.9298,207.912,342.445,945.999,
494,37.1778,8.0807,11.4896,208.504,341.158,944.594,
495,39.447,9.36564,11.1295,209.711,340.55,941.961,
496,41.0075,9.85301,11.3182,210.567,340.011,939.602,
497,42.3371,10.3983,11.2583,212.08,340.665,937.534,
498,43.1907,10.6299,11.3841,213.265,341.792,934.415,
499,43.5501,10.6893,11.5447,213.856,343.273,930.369,
500,43.8665,10.786,11.606,214.728,345.177,926.002,
501,43.7684,10.8005,11.511,214.619,347.51,920.724,
502,42.2224,10.1094,11.6126,214.124,350.274,914.239,
503,40.9744,9.62232,11.457,211.86,354.219,906.549,
504,38.8288,8.71221,11.5478,210.367,358.133,898.984,
505,36.1352,7.63373,11.5457,209.105,362.222,890.504,
506,32.2482,5.99809,12.0341,208.106,365.972,881.662,
507,28.5418,4.67749,12.034,207.011,370.054,871.924,
508,24.3033,3.14721,11.8798,205.415,373.691,861.694,
509,20.6522,1.86994,11.8143,203.813,378.241,851.051,
510,16.8381,0.262378,12.382,202.095,383.245,841.62,
511,12.5063,-0.639665,12.658,200.52,388.197,832.57,
512,7.5261,-2.18775,12.6365,199.384,393.731,825.158,
513,2.10023,-3.31624,12.9824,197.798,399.287,818.3,
514,-1.54515,-3.96925,12.6107,196.523,403.439,814.089,
515,1.85864,1.4308,12.7052,195.453,404.374,820.891,
516,4.61137,3.75775,12.6505,193.047,405.793,829.439,
517,6.95687,4.7971,12.1834,190.393,407.403,838.284,
518,9.7592,5.78211,11.9331,188.397,408.339,846.808,
519,12.926,6.57615,12.0571,186.31,408.758,854.869,
520,15.9491,7.19907,11.9913,184.236,408.663,863.765,
521,18.8759,7.88277,11.6141,183.468,408.18,872.596,
522,22.006,8.54895,11.1708,181.949,407.876,881.955,
523,24.8958,8.15556,11.6697,180.288,407.731,891.195,
524,27.8096,8.63237,11.7346,177.642,406.192,898.966,
525,31.1933,9.69898,11.3719,176.697,404.236,908.235,
526,34.3332,10.305,11.2034,174.849,402.232,916.778,
527,37.4498,11.0173,10.5515,173.392,400.053,924.983,
528,41.1698,11.7646,9.99657,171.131,397.054,932.538,
529,44.3503,11.999,10.2665,169.632,394.194,939.576,
530,47.4219,12.8601,10.0771,167.376,391.14,946.977,
531,51.0472,13.6319,9.76289,165.491,387.981,953.449,
532,54.3886,14.1525,10.1767,163.828,384.442,959.913,
533,57.9848,15.251,10.262,161.668,380.951,965.447,
534,61.3944,16.507,10.5063,160.732,377.689,970.924,
535,65.0394,18.0396,10.54,159.668,374.176,975.845,
536,68.1503,19.6903,11.1294,158.259,370.114,980.73,
537,71.056,21.4806,11.0414,157.345,367.094,984.671,
538,74.2598,23.6313,11.4525,156.608,363.646,989.015,
539,77.2732,26.0709,11.8613,156.029,359.778,991.81,
540,78.7321,34.6153,13.9409,155.1,356.178,995.956,
541,81.224,37.3982,13.4237,153.665,353.292,998.765,
542,82.5041,43.327,13.9991,152.411,350.433,1001.04,
543,82.1059,51.4788,15.9138,152.276,347.267,1003.35,
544,78.1929,61.6526,21.4533,152.33,344.101,1006.06,
545,59.2907,73.8948,41.6391,152.318,342.001,1007.64,
