Stick-left
Frame,Root<a-X>,Root<a-Y>,Root<a-Z>,Root<t-X>,Root<t-Y>,Root<t-Z>,
530,5.66938,-44.8001,-17.7189,17.7816,368.75,982.309,
531,6.39078,-45.058,-18.1212,18.0675,367.925,987.012,
532,7.51437,-45.3913,-18.2824,18.9294,366.626,991.71,
533,8.21774,-45.5717,-18.4356,18.9369,365.161,996.024,
534,9.42507,-45.8448,-18.5481,18.7829,363.7,1000.72,
535,10.0636,-46.1096,-19.0546,18.8345,362.316,1005.4,
536,10.7602,-46.4068,-19.6912,18.8244,360.9,1009.44,
537,11.9118,-46.7949,-19.6125,18.9945,359.563,1014.43,
538,13.022,-47.047,-19.5471,19.1771,357.387,1018.88,
539,14.2034,-47.3631,-19.6997,18.49,355.961,1022.97,
540,15.2442,-47.6611,-20.0311,18.3237,355.19,1026.73,
541,15.9373,-47.9168,-20.7112,17.9641,353.444,1030.88,
542,16.5131,-48.2243,-21.3523,17.8793,351.829,1034.83,
543,17.9783,-48.8302,-21.3116,17.6705,350.424,1038.96,
544,18.7458,-48.9662,-21.4811,17.4376,348.591,1042.98,
545,19.796,-49.2899,-21.9284,17.8957,346.93,1047.37,
546,19.9271,-49.4522,-22.9812,18.3922,345.537,1051.53,
547,20.9374,-50.0618,-22.9153,18.3022,343.566,1054.51,
548,21.4314,-50.1923,-23.2964,18.5936,342.01,1057.48,
549,21.8575,-50.4462,-23.8715,17.9009,340.356,1060.43,
550,22.6563,-50.8732,-23.9916,18.3025,338.233,1062.91,
551,24.271,-51.4671,-23.6378,18.1484,336.668,1066.07,
552,25.5112,-51.6608,-23.2635,18.3236,334.729,1069.22,
553,26.3968,-51.7343,-23.1179,18.556,333.044,1071.97,
554,27.4579,-51.9949,-23.1214,18.128,331.584,1074.69,
555,27.3491,-51.8885,-23.8471,17.7874,329.859,1077.32,
556,27.9772,-52.3315,-24.0591,17.5013,328.095,1079.34,
557,29.4589,-52.9144,-23.5825,18.5447,326.611,1081.19,
558,30.5872,-53.1291,-23.5373,18.241,324.841,1083.2,
559,31.5213,-53.3437,-23.5662,17.8517,323.326,1085.36,
560,32.2945,-53.6113,-24.0182,17.7362,321.469,1088.02,
561,33.0613,-54.1719,-23.9203,17.8425,320.209,1089.59,
562,33.7931,-54.1962,-23.7847,17.908,318.97,1091.17,
563,33.7481,-53.7665,-24.6584,17.326,317.164,1092.39,
564,34.2922,-54.2424,-24.6698,17.0252,315.322,1094.11,
565,35.2135,-54.9153,-24.9424,16.9094,314.155,1095.11,
566,36.1937,-55.4236,-25.0068,17.3025,313.414,1095.8,
567,36.189,-55.4366,-25.3192,17.5271,312.148,1097.05,
568,36.8289,-55.7549,-25.1579,17.6619,310.939,1098.14,
569,36.9244,-55.8485,-25.7312,17.4578,309.413,1098.9,
570,37.7332,-56.2859,-25.5397,17.5612,308.712,1099.43,
571,38.8377,-56.6419,-25.1378,17.6623,307.739,1099.67,
572,39.4064,-56.9473,-25.1305,17.9233,306.172,1099.85,
573,39.6672,-56.8118,-25.1862,17.6677,305.191,1100.07,
574,39.4456,-56.7261,-25.7358,17.2342,303.932,1100.39,
575,39.3546,-56.5845,-26.1953,16.8909,303.219,1100.51,
576,38.9469,-56.904,-26.9503,16.8173,302.892,1100.7,
577,39.3934,-57.5203,-27.1891,16.5842,302.322,1100.86,
578,39.8131,-57.8927,-27.2302,16.71,302.171,1100.46,
579,39.9506,-57.9511,-27.0205,16.7498,301.646,1100.31,
580,40.3314,-58.2656,-26.597,17.0685,301.133,1099.76,
581,40.8236,-58.1147,-26.2531,17.0223,300.609,1098.64,
582,40.5538,-57.9189,-26.9358,17.2482,300.555,1097.54,
583,40.5157,-57.8353,-27.3148,17.0667,300.505,1096.67,
584,40.7495,-58.0514,-27.2432,17.4094,300.508,1095.85,
585,40.834,-58.1903,-26.9709,17.6128,300.372,1094.96,
586,40.4997,-58.0123,-26.9152,17.2173,300.502,1093.5,
587,40.3107,-57.8665,-26.6772,17.3346,301.066,1091.46,
588,40.24,-57.7702,-26.8672,17.1083,301.641,1089.98,
589,39.8098,-57.6905,-27.1058,17.1171,301.98,1088.7,
590,38.9923,-57.6,-27.941,15.9611,302.437,1086.64,
591,39.3741,-57.9334,-27.8549,16.002,303.622,1084.88,
592,39.0616,-57.735,-27.9419,16.0778,304.566,1083.15,
593,38.9589,-57.9118,-27.9292,16.4051,305.356,1081.42,
594,38.6213,-57.7496,-27.5872,16.4352,306.117,1079.88,
595,38.3823,-57.7069,-27.0719,16.1527,307.04,1078.23,
596,37.2104,-57.0384,-27.7609,16.0419,307.753,1075.53,
597,37.3085,-57.194,-27.5365,16.2117,308.898,1073.4,
598,36.9337,-56.8814,-27.7124,16.2647,310.239,1070.9,
599,36.4302,-56.8608,-27.9606,16.1014,311.983,1068.01,
600,36.0573,-56.7534,-27.54,15.8042,313.012,1066.07,
601,35.1969,-56.3531,-27.7072,15.7773,314.612,1063.75,
602,35.1087,-56.4034,-27.3955,15.8824,315.922,1061.61,
603,34.2862,-56.0122,-27.7977,15.7757,317.828,1058.55,
604,33.6492,-55.8645,-27.9022,15.2088,319.212,1056.02,
605,32.9127,-55.7005,-28.2518,15.3535,321.251,1053.17,
606,32.5557,-55.5833,-27.9234,15.53,323.384,1050.53,
607,31.9294,-55.2782,-27.4924,15.1393,324.545,1047.29,
608,31.5836,-55.0312,-27.239,15.4124,326.355,1044.67,
609,30.9367,-54.6263,-26.9057,15.4195,328.147,1041.54,
610,29.8073,-54.1055,-27.1551,15.1725,329.732,1038.42,
611,29.5295,-54.0335,-26.5192,15.4656,332.024,1034.87,
612,28.8781,-53.6774,-26.6657,15.7152,334.187,1031.43,
613,27.7412,-53.2734,-27.0092,15.3639,336.056,1028.11,
614,27.1849,-53.0446,-26.635,15.0083,338.674,1024.5,
615,25.8193,-52.6322,-27.246,14.0009,340.748,1020.83,
616,25.1187,-52.6056,-27.0842,13.8532,342.907,1017.13,
617,23.8419,-52.1267,-27.1147,14.1565,345.13,1013.64,
618,22.9672,-51.8775,-26.9135,14.2993,346.982,1009.93,
619,22.3989,-51.6501,-26.482,14.1925,349.317,1006.76,
620,21.0579,-51.0613,-26.8121,14.089,352.056,1002.33,
621,19.8954,-50.7407,-26.7192,13.6889,354.623,998.341,
622,18.671,-50.3585,-26.9014,13.6086,356.764,994.425,
623,18.1755,-50.2711,-26.1944,13.0669,358.939,989.945,
624,16.6087,-49.7907,-26.5811,12.6438,361.277,985.647,
625,15.3475,-49.4195,-26.5285,12.2401,363.585,981.493,
626,14.4509,-49.0009,-26.3098,11.8857,366.056,977.925,
627,13.3836,-48.6181,-25.7379,11.2796,368.735,973.693,
628,11.8063,-48.1384,-25.9158,11.1732,371.577,969.563,
629,10.2494,-47.6839,-25.9735,10.909,374.211,965.403,
630,8.91384,-47.0894,-26.0194,9.90635,376.825,961.78,
