Stick-right
Frame,Root<a-X>,Root<a-Y>,Root<a-Z>,Root<t-X>,Root<t-Y>,Root<t-Z>,
530,30.7095,6.93316,9.8838,205.021,347.615,985.878,
531,31.6674,7.33134,9.55723,204.779,345.968,989.327,
532,32.4829,7.14401,9.8671,205.094,344.475,992.588,
533,33.4494,7.3194,9.93365,205.224,343.093,995.584,
534,34.593,7.54845,10.0789,205.116,341.444,999.113,
535,35.7098,7.92303,10.0199,205.078,340.052,1002.07,
536,36.7527,8.3201,9.81254,204.702,338.287,1004.46,
537,37.7856,8.68963,9.52549,204.535,336.693,1007.06,
538,39.0802,8.70963,9.86134,204.912,334.386,1009.85,
539,40.2188,8.98603,9.86233,205.096,332.509,1012.68,
540,41.2305,9.43078,9.45411,204.613,330.966,1015.42,
541,42.1846,9.56195,9.39096,204.379,329.084,1017.61,
542,43.2375,9.85649,9.09721,204.68,326.876,1019.9,
543,44.7376,9.95995,8.90597,204.909,325.661,1022.26,
544,45.6237,10.1632,8.592,204.386,323.266,1024.04,
545,46.8316,10.1593,8.82352,204.476,320.825,1026.54,
546,47.7568,10.227,8.92892,204.974,318.825,1027.99,
547,49.1028,10.4995,9.00933,204.892,317.482,1029.8,
548,50.3319,10.8444,8.87685,205.413,315.611,1030.67,
549,51.2577,10.8981,9.15804,206.063,313.648,1032.06,
550,52.3521,11.2596,9.05532,205.628,312.244,1033.87,
551,53.1314,11.5156,8.93302,205.618,310.649,1034.79,
552,54.0968,11.816,8.77623,205.752,308.612,1035.32,
553,55.1091,12.1248,8.55713,205.903,306.27,1036.05,
554,56.3602,12.522,8.14977,205.584,304.277,1036.74,
555,57.4003,12.633,8.23059,206.124,302.29,1037.8,
556,58.3851,12.7956,8.2682,206.148,300.651,1038.93,
557,59.2302,12.9835,8.22127,205.461,299.121,1039.6,
558,60.0765,13.1059,8.49273,204.967,298.102,1039.53,
559,60.9291,13.4883,8.06242,204.873,296.583,1038.79,
560,61.4326,13.6754,7.56017,205.638,294.92,1039.15,
561,62.1423,13.6955,7.75386,205.733,293.413,1039.6,
562,63.184,13.8992,7.79964,205.977,292.039,1039.2,
563,63.6282,14.0114,7.722,205.948,290.162,1039.13,
564,64.5672,14.2679,7.54025,205.628,289.033,1038.49,
565,65.4722,14.5215,7.20341,205.135,288.214,1038.15,
566,66.0191,14.566,7.30854,204.591,287.196,1038.22,
567,67.002,14.7985,7.21519,204.557,286.603,1037.01,
568,67.75,14.9921,7.02181,204.132,285.757,1035.86,
569,68.1565,15.0732,6.83368,203.706,284.325,1034.82,
