Stick-left
Frame,Root<a-X>,Root<a-Y>,Root<a-Z>,Root<t-X>,Root<t-Y>,Root<t-Z>,
440,41.3392,-11.9278,-14.6798,58.884,320.399,1101.52,
441,41.1692,-12.3042,-14.7006,58.928,321.199,1100.47,
442,40.9411,-12.4944,-14.7475,59.0635,321.77,1098.44,
443,40.6283,-12.4534,-15.0644,59.8313,322.136,1096.65,
444,40.4922,-12.537,-15.4917,59.7959,322.532,1095.44,
445,40.4692,-12.6557,-16.2138,59.4155,323.072,1094.1,
446,40.4176,-13.0171,-16.7237,59.0806,323.227,1092.19,
447,40.2734,-13.3424,-17.2474,58.6017,323.273,1091.5,
448,40.1129,-13.7619,-17.5516,58.3268,323.461,1090.27,
449,40.3097,-14.2814,-18.1021,59.2119,323.721,1088.62,
450,40.076,-14.3189,-19.2179,58.4639,323.491,1087.97,
451,39.8788,-14.9472,-19.545,58.9378,323.575,1087.29,
452,39.8485,-15.4023,-20.3464,58.6277,323.892,1086.74,
453,39.8123,-16.0737,-20.7808,58.6999,324.091,1085.27,
454,39.7733,-16.5246,-21.5844,58.1075,324.586,1083.28,
455,39.806,-17.1618,-22.3457,57.5057,324.936,1081.83,
456,39.4278,-17.5964,-22.7267,57.1576,324.86,1081.71,
457,39.0371,-17.9148,-23.0961,56.9611,324.24,1081.11,
458,38.8276,-18.2194,-23.8218,56.9118,324.105,1080.44,
459,38.5609,-18.6234,-24.3245,56.8012,323.903,1079.61,
460,38.7198,-19.4486,-24.6624,56.4875,324.503,1077.78,
461,38.5495,-19.7435,-25.2783,56.2414,324.502,1076.38,
462,38.1382,-19.8296,-26.0362,55.2679,324.312,1075.16,
463,37.9295,-20.3071,-26.5435,54.846,324.896,1074.54,
464,37.6774,-20.6086,-27.3421,54.4434,325.507,1073.86,
465,37.3699,-21.0045,-27.9364,54.1685,326.055,1072.6,
466,36.8555,-21.1845,-28.3929,53.8625,325.941,1071.39,
467,36.4658,-21.4731,-28.7757,53.7721,325.915,1070.57,
468,36.2364,-21.8676,-29.1438,53.6145,326.293,1069.71,
469,35.8313,-21.907,-29.7493,52.7023,326.373,1068.72,
470,35.2261,-21.8566,-30.1104,51.7751,327.236,1067.51,
471,34.9969,-22.1794,-30.5601,51.3506,327.955,1066.06,
472,34.6744,-22.3293,-31.1326,51.0511,328.958,1064.81,
473,34.2164,-22.419,-31.3759,50.5041,329.246,1063.44,
474,33.8808,-22.489,-31.8995,50.272,329.976,1062.41,
475,33.3337,-22.4176,-32.0697,50.0473,331.382,1061.24,
476,32.6514,-21.8705,-32.8802,48.7484,331.927,1060.74,
477,32.358,-22.2393,-33.3091,48.2497,332.786,1059.24,
478,31.8194,-22.2497,-33.3934,47.3807,333.528,1057.92,
479,31.1095,-21.6686,-33.8939,47.202,334.098,1056.42,
480,30.5675,-21.6429,-33.9814,46.4703,335.338,1055.37,
481,30.2616,-21.6248,-34.7103,45.6742,336.578,1053.97,
482,29.6438,-21.4763,-34.8379,44.9812,337.275,1052.98,
483,29.1581,-21.4544,-34.8171,44.948,337.384,1052.12,
484,28.5579,-21.0904,-34.7756,44.9065,337.892,1050.95,
485,28.1012,-20.7367,-35.0481,44.0972,338.713,1050.09,
