Stick-right
Frame,Root<a-X>,Root<a-Y>,Root<a-Z>,Root<t-X>,Root<t-Y>,Root<t-Z>,
389,0.304546,0.726653,10.3106,222.079,385.546,913.892,
390,0.777636,0.160301,10.1122,221.9,385.368,916.548,
391,1.02266,0.437044,10.125,222.408,385.602,919.57,
392,1.54305,0.862777,10.1147,222.438,385.529,923.235,
393,2.15762,0.992184,10.0679,222.117,385.791,926.552,
394,2.76998,1.30923,10.0835,222.514,385.779,930.269,
395,3.21605,1.60189,10.1616,222.632,385.525,934.619,
396,4.0356,1.5681,10.0488,222.76,385.044,938.987,
397,5.06921,1.9211,9.97868,222.597,385.059,943.265,
398,6.02028,1.98746,9.85676,222.327,384.723,947.862,
399,6.89073,2.3116,9.84057,222.757,384.638,952.525,
400,7.87032,2.22483,9.64672,222.812,384.325,957.837,
401,9.03537,2.41416,9.57573,223.228,383.694,963.313,
402,10.3882,2.51692,9.38108,223.32,383.034,968.745,
403,11.4746,2.22902,9.0241,223.547,381.845,974.072,
404,12.7462,1.90767,8.53193,223.099,381.053,979.083,
405,13.997,2.67277,8.59905,223.892,380.418,983.963,
406,14.9395,2.73813,8.41747,224.231,379.51,989.591,
407,16.0718,2.72085,8.11737,224.377,378.595,994.856,
408,17.2596,2.98552,7.96263,224.563,377.404,999.499,
409,18.1885,3.15515,7.86482,224.648,375.976,1004.9,
410,19.3117,3.05154,7.53522,224.745,374.761,1010.23,
411,20.3226,3.43222,7.56403,224.779,373.312,1015.32,
412,21.398,4.07964,8.06328,224.685,371.782,1020.06,
413,22.3734,4.17431,8.13979,224.642,370.055,1025.44,
414,23.5541,4.36847,7.96282,224.498,368.466,1030.32,
415,24.8517,4.43201,7.62337,224.582,366.816,1034.91,
416,26.39,4.85919,7.62133,224.945,364.93,1038.47,
417,27.3588,4.79359,7.63058,225.2,363.259,1042.92,
418,28.6541,4.9677,7.47772,225.281,361.522,1047.3,
419,29.7969,5.26625,7.56495,225.42,360.114,1051.55,
420,30.8222,5.587,7.74072,226.134,357.972,1055.72,
421,31.8338,5.65479,7.59865,226.819,356.018,1059.07,
422,33.0024,5.38064,7.05841,226.721,353.637,1062.7,
423,34.3466,5.47408,7.02381,226.878,351.867,1065.19,
424,35.1025,5.3522,6.52733,227.188,349.968,1068.69,
425,36.3868,5.14409,5.96118,227.504,347.952,1071.37,
426,37.5113,5.18815,5.78868,228.282,346.051,1074.56,
427,39.1467,5.38913,5.70088,228.457,344.213,1077.38,
