Stick-left
Frame,Root<a-X>,Root<a-Y>,Root<a-Z>,Root<t-X>,Root<t-Y>,Root<t-Z>,
457,50.9937,-39.7265,-29.3534,16.3564,240.907,1428.39,
458,51.0681,-39.7388,-29.5553,16.8749,240.884,1428.82,
459,51.5094,-40.2474,-29.166,16.7301,240.418,1429.3,
460,51.6408,-40.3807,-29.2358,16.7692,240.36,1429.97,
461,51.7923,-40.5953,-29.483,16.7465,239.709,1431,
462,51.7589,-40.7021,-29.4696,16.3331,238.609,1431.73,
463,51.7238,-40.7781,-29.5383,15.9715,238.151,1431.85,
464,52.2129,-41.2829,-29.0442,15.539,237.708,1432.18,
465,52.2536,-41.2397,-28.7991,15.3557,236.977,1432.11,
466,52.5704,-41.4102,-28.7404,15.4544,236.511,1433.69,
467,52.6912,-41.5214,-28.6158,15.638,236.171,1434.6,
468,52.8923,-41.6966,-28.4525,15.5056,235.752,1435.08,
469,53.3378,-41.8924,-28.1806,15.6692,235.342,1435.59,
470,53.2987,-41.8697,-28.0525,15.4693,234.444,1436.12,
471,53.5484,-41.849,-27.903,15.2959,233.527,1436.29,
472,53.4933,-41.6147,-27.99,15.1383,232.768,1436.86,
473,53.7322,-41.8084,-27.8897,15.0857,232.316,1437.19,
474,53.9559,-41.8329,-27.6704,15.3041,231.838,1438.23,
475,54.5829,-42.1804,-27.5145,15.4574,231.597,1439.94,
476,54.8596,-42.3813,-27.3599,15.5355,231.131,1440.66,
477,55.1281,-42.4958,-27.4443,15.1772,230.902,1441.32,
478,55.1423,-42.4973,-27.4817,14.759,230.525,1441.43,
479,55.3124,-42.5853,-27.3067,14.7649,230.127,1441.43,
480,55.1817,-42.4196,-27.2651,14.3715,229.385,1441.46,
481,55.3407,-42.474,-27.2034,14.1372,229.006,1441.51,
482,55.5119,-42.5413,-27.0831,13.9589,228.682,1441.52,
483,55.7638,-42.6595,-26.9356,14.1856,228.161,1442.04,
484,55.9271,-42.7638,-26.9383,14.1549,227.61,1442.72,
485,55.9548,-42.7608,-27.057,14.0218,227.171,1443.31,
486,56.1618,-42.8754,-26.7655,14.6428,226.826,1443.32,
487,56.2397,-42.9104,-26.8276,14.3922,226.674,1443.41,
488,56.3032,-42.9346,-26.9303,14.3616,226.545,1443.2,
489,56.1415,-42.8705,-27.1378,14.0364,226.083,1443.26,
490,56.0864,-42.8877,-27.1008,13.866,225.434,1442.78,
491,56.1437,-42.9256,-27.1697,13.6429,225.164,1443.15,
492,56.1637,-43.0187,-27.1818,13.5728,225.008,1443.11,
493,56.1322,-43.0549,-27.1634,13.6264,224.895,1443.5,
494,55.8484,-42.8232,-27.0167,13.5448,224.42,1443.28,
495,56.0578,-42.8974,-26.7089,13.4216,224.159,1443.44,
496,56.0792,-42.9009,-26.6865,13.3493,223.781,1443.76,
497,56.2333,-42.8786,-26.4915,13.1859,223.619,1443.61,
498,56.472,-42.9148,-26.3697,13.3689,223.616,1443.55,
499,56.5344,-42.8118,-26.2241,13.2968,223.51,1443.45,
500,56.9115,-43.0749,-26.1303,13.2283,223.435,1443.66,
