Stick-right
Frame,Root<a-X>,Root<a-Y>,Root<a-Z>,Root<t-X>,Root<t-Y>,Root<t-Z>,
772,10.5541,2.66284,14.7124,216.378,401.472,923.13,
773,10.7509,2.99097,14.6175,216.332,401.341,925.164,
774,11.0359,3.28063,14.6362,216.057,401.304,927.159,
775,11.0967,3.34487,14.4055,216.077,400.818,929.848,
776,11.5981,3.79065,14.3767,216.219,400.932,931.951,
777,11.8935,3.85401,14.38,216.183,400.581,934.25,
778,12.2317,3.96563,14.4103,216.273,400.1,937.488,
779,12.6631,4.26338,14.1715,216.589,399.641,940.247,
780,13.4351,4.85318,13.7491,216.681,399.022,942.975,
781,13.807,4.80681,13.4624,216.746,398.794,946.163,
782,14.0819,4.44735,13.8004,217.252,398.28,949.392,
783,14.551,4.65609,13.7308,217.284,397.513,952.277,
784,15.0844,4.64517,14.3364,217.54,397.252,955.288,
785,15.7893,5.16078,14.3438,218.005,396.739,958.404,
786,16.4953,5.67883,14.0888,218.588,395.981,962.334,
787,17.1763,6.09814,13.7303,218.968,395.27,965.618,
788,17.6158,6.16459,13.3772,219.17,394.32,969.556,
789,18.4037,6.40246,13.1933,219.363,393.574,972.248,
790,18.919,6.33202,13.0243,219.583,392.746,975.765,
791,19.6052,6.46755,12.8224,219.806,391.839,979.031,
792,19.9345,6.17509,12.8201,220.094,390.95,983.103,
793,20.4049,6.01192,13.0016,220.474,389.956,986.722,
794,21.0507,6.16552,13.0686,220.68,389.188,990.005,
795,21.7638,6.62095,12.7644,221.209,388.48,993.439,
796,22.7787,7.19158,12.4337,221.351,387.853,996.005,
797,23.8101,7.42148,12.4216,221.705,386.757,998.727,
798,24.4875,7.22102,12.7066,221.253,385.986,1002.19,
799,24.982,7.53278,12.6604,221.558,384.788,1005.29,
800,25.3739,7.50787,12.3894,221.968,382.954,1008.53,
801,25.9544,7.61265,12.1373,221.973,381.796,1011.55,
802,26.7962,7.52877,12.5621,222.013,380.535,1014.35,
803,27.6192,7.8171,12.4896,221.942,379.117,1017.12,
804,28.2788,7.76304,12.8148,222.901,378.049,1020.26,
805,28.9892,8.14367,12.5318,222.864,376.78,1022.99,
806,29.7299,8.52948,12.0667,222.816,375.762,1024.64,
807,30.3006,8.65592,11.6827,223.438,374.915,1027.39,
808,31.0308,8.7463,11.4448,223.756,374.145,1029.46,
809,31.9698,8.85035,11.3856,224.277,373.077,1031.26,
810,32.1959,8.40811,11.9971,225.613,371.363,1034.55,
811,32.4945,8.54955,11.9674,226.115,369.993,1036.92,
812,33.1675,8.85873,11.6603,226.543,368.482,1038.84,
813,33.9136,9.24372,11.6042,226.895,367.155,1039.85,
814,34.7144,9.39565,11.4662,226.849,365.864,1041.4,
815,35.4755,9.60626,11.0924,226.054,364.577,1042.37,
816,36.0307,10.0705,10.6501,226.079,363.609,1043.55,
817,36.6354,10.1302,10.0434,226.102,362.354,1045.07,
818,37.5211,10.2077,9.46621,226.059,360.986,1046.42,
819,38.1716,9.82988,9.53018,226.046,359.346,1047.16,
820,38.9122,9.68338,9.42735,226.111,358.15,1047.8,
821,39.7461,9.56418,9.45933,225.796,356.99,1048.21,
822,40.3199,9.53955,9.71445,226.045,355.229,1049.2,
823,40.8593,9.51283,9.60209,226.337,353.552,1049.43,
