Stick-left
Frame,Root<a-X>,Root<a-Y>,Root<a-Z>,Root<t-X>,Root<t-Y>,Root<t-Z>,
435,7.65836,-2.95686,-17.1903,38.8936,274.803,930.011,
436,7.85603,-2.81843,-17.6139,39.4919,274.151,933.39,
437,8.38747,-3.5851,-17.7017,40.4138,273.183,935.592,
438,8.9758,-3.92068,-17.9771,41.0209,272.279,938.577,
439,9.39807,-3.97246,-18.1615,41.3766,271.447,942.02,
440,10.0997,-4.46353,-18.4897,42.1243,270.795,944.956,
441,11.1236,-4.70545,-19.0277,42.7337,269.803,947.694,
442,11.65,-5.06562,-19.2615,43.9884,268.726,950.717,
443,12.3475,-5.54429,-19.5281,44.4948,268.447,954.106,
444,13.1698,-6.03913,-19.9961,44.8394,267.458,957.204,
445,14.0335,-6.70133,-20.1852,45.702,265.883,960.241,
446,14.8618,-7.06525,-20.3697,46.041,265.089,962.787,
447,15.6582,-7.23374,-20.9279,46.4227,263.92,965.828,
448,16.6086,-7.93189,-21.2523,46.3513,262.592,968.873,
449,17.4193,-8.37997,-21.4991,47.1366,261.618,971.604,
450,18.6156,-8.74424,-21.8447,47.6194,260.968,973.928,
451,19.4325,-9.21822,-22.415,47.7058,259.559,976.323,
452,20.2682,-9.91816,-22.654,48.437,258.35,978.664,
453,21.3031,-10.6847,-23.0064,48.5937,257.043,980.083,
454,21.9807,-11.1163,-22.893,48.8417,256.262,983.109,
455,23.0247,-11.7676,-23.2985,48.6221,254.708,984.87,
456,23.6317,-11.9057,-23.6927,48.5484,253.464,986.829,
457,24.4555,-12.7281,-23.7156,48.422,252.67,988.611,
458,25.2034,-13.0382,-24.0076,48.2389,251.957,990.056,
459,26.1894,-13.8439,-24.1847,48.0879,250.655,991.106,
460,27.0492,-14.4047,-24.3459,48.1846,249.965,992.427,
461,27.6869,-14.7267,-24.4233,47.9112,248.872,993.798,
462,28.7315,-15.6036,-24.4259,47.5811,247.748,994.85,
463,29.3824,-15.8955,-24.4212,47.2898,247.006,995.392,
464,29.9414,-15.9889,-24.763,46.4587,245.929,995.9,
465,30.5238,-16.4993,-24.6143,46.0584,245.607,996.505,
466,31.3235,-17.1406,-24.4605,45.5183,244.974,997.313,
467,31.9399,-17.3304,-24.7214,45.1376,243.583,997.466,
468,32.329,-17.6112,-24.499,44.9809,243.051,997.422,
469,32.7264,-17.7279,-24.5091,44.2965,242.931,997.247,
470,33.3279,-18.1286,-24.4977,43.654,242.288,996.61,
471,33.6807,-18.2486,-24.5207,42.7717,242.192,995.995,
472,34.0387,-18.4262,-24.5259,42.3764,242.351,995.219,
473,34.3095,-18.5875,-24.3805,41.7686,241.78,994.468,
474,34.58,-18.6563,-24.3697,41.3101,241.924,993.19,
475,34.7747,-18.6579,-24.4365,40.2843,242.482,991.741,
476,34.7094,-18.7149,-24.2573,39.855,242.537,990.553,
477,34.9025,-18.7254,-24.193,39.1825,242.891,988.471,
478,34.8161,-18.5098,-24.0535,38.7106,242.924,987.416,
479,34.6005,-18.0525,-24.2265,37.9907,243.781,985.027,
480,34.3428,-17.6661,-24.5615,37.9786,245.021,982.83,
481,34.2474,-17.7755,-24.3379,37.3939,246.209,980.344,
482,33.9227,-17.505,-24.2998,36.5023,248.162,977.614,
483,33.4412,-17.0274,-24.3683,35.7846,249.228,975.329,
484,32.9996,-16.6683,-24.4516,34.6977,250.395,972.836,
485,32.3764,-16.0959,-24.6954,33.6773,252.373,970.418,
486,31.7254,-15.638,-24.9357,32.5496,254.433,967.589,
487,31.0927,-15.2053,-25.2247,31.4625,256.401,964.199,
488,30.262,-14.7964,-25.1123,30.6736,258.551,960.282,
489,29.6429,-14.5363,-25.0372,30.1844,260.707,956.659,
490,29.0701,-14.3131,-24.8517,29.8611,262.692,952.506,
491,28.2798,-13.7285,-24.7228,29.3179,264.169,949.551,
492,27.2267,-12.9948,-24.326,28.4363,265.687,945.657,
493,26.5823,-12.4533,-24.4263,27.6677,268.297,941.361,
494,25.7548,-11.8124,-24.4485,26.6714,271.047,937.527,
495,24.7647,-11.043,-24.3775,25.2437,272.685,933.44,
496,23.5311,-10.5738,-24.4445,24.2849,275.523,930.03,
497,22.5938,-9.94516,-24.1314,23.2138,278.054,926.136,
498,21.3038,-9.31892,-24.3423,21.8844,280.896,921.826,
499,20.2786,-8.64779,-23.9758,21.3536,283.309,918.927,
500,19.267,-7.83898,-23.7326,20.722,285.26,915.292,
501,18.3686,-7.2209,-23.6172,19.2628,287.582,911.901,
502,17.3471,-6.67449,-23.3083,17.9392,290.186,908.522,
503,16.1098,-6.43644,-23.063,16.9355,293.022,905.831,
504,14.7478,-5.64901,-23.0202,15.7353,295.496,903.591,
505,13.5223,-5.18181,-22.5961,14.6316,297.201,901.744,
506,12.6828,-4.41597,-22.1512,13.0966,299.015,899.925,
507,11.9378,-3.97651,-21.7879,12.3291,300.74,897.816,
508,10.8786,-3.70476,-21.6743,10.6616,302.859,897.312,
509,10.0825,-3.12319,-21.1617,10.1115,304.521,898.212,
510,9.28418,-2.61384,-20.7566,9.18048,306.662,899.526,
511,8.59876,-2.57192,-20.0502,8.36553,308.344,901.275,
512,8.39054,-2.99716,-19.6004,7.09163,309.796,903.47,
513,8.2981,-3.30698,-18.909,6.51273,310.92,905.965,
514,8.31859,-3.3367,-18.5717,6.2553,311.95,909.765,
515,8.41852,-3.59443,-17.8775,5.77794,313.029,913.745,
516,8.81478,-3.99876,-17.3885,5.69582,313.848,918.98,
517,9.33299,-4.33377,-16.9965,5.27799,314.213,924.451,
518,10.5636,-4.44087,-16.3764,4.44493,315.06,930.548,
519,10.9259,-4.32313,-16.2473,3.8506,314.701,936.786,
520,12.0174,-4.63895,-15.6042,3.75562,314.284,943.793,
