Stick-right
Frame,Root<a-X>,Root<a-Y>,Root<a-Z>,Root<t-X>,Root<t-Y>,Root<t-Z>,
496,0.0389414,-0.806695,8.04323,223.745,300.034,813.993,
497,-0.31383,-0.891442,7.88212,223.45,300.539,816.637,
498,-0.469615,-0.878599,7.86921,223.339,301.08,819.437,
499,-0.750984,-0.987156,7.56378,223.094,302.255,822.033,
500,-1.15248,-0.97791,7.51795,222.985,303.176,826.022,
501,-0.956199,-0.65475,7.3092,223.2,304.235,829.849,
502,-0.502104,-0.310105,7.02477,223.215,304.736,834.154,
503,-0.185232,-0.0118162,7.0013,223.458,305.48,838.273,
504,0.125318,0.0320444,6.64168,223.167,306.016,843.149,
505,1.03472,0.362436,6.22281,222.902,306.212,848.351,
506,1.83818,0.608131,5.97949,223.422,306.513,853.739,
507,2.81902,0.720949,5.54509,223.586,306.375,859.531,
508,4.41062,1.16781,5.45563,223.684,306.308,865.398,
509,5.60404,1.41034,5.06522,223.463,306.732,872.005,
510,6.81272,1.38288,4.93226,223.901,306.281,879.183,
511,8.28772,1.52897,4.66103,223.731,306.091,886.033,
512,10.2141,1.85801,4.31249,224.225,305.533,892.725,
513,11.7311,1.79481,4.30801,224.909,304.981,899.699,
514,13.8695,2.08533,3.90248,224.671,304.133,906.563,
515,15.5585,2.05163,3.50208,224.831,302.812,913.821,
516,17.4468,1.99071,3.16545,225.181,301.625,921.078,
517,19.3456,2.12707,2.93455,225.552,300.606,928.371,
518,20.8714,1.93334,2.78575,225.462,299.07,936.238,
519,22.5224,1.98826,2.70433,225.37,297.391,943.445,
520,24.4642,2.00194,2.46538,226.012,295.65,950.483,
521,26.5266,1.92579,2.36591,226.081,293.702,957.12,
522,28.5109,2.03621,2.24486,226.545,291.814,963.654,
523,30.5632,1.96422,2.0774,226.024,289.531,969.528,
524,32.3821,1.90801,1.85185,225.863,287.184,976.925,
525,33.8757,1.96886,1.61264,226.013,284.819,983.812,
526,35.9085,1.7693,1.61389,226.058,282.826,989.914,
527,38.0106,1.78126,1.52156,225.45,279.979,995.408,
528,39.7091,1.58409,1.88331,225.439,277.613,1001.15,
529,41.5752,1.56011,2.43073,226.09,275.637,1006.32,
530,42.9316,1.76394,2.66045,225.815,273.71,1011.72,
531,44.4818,2.29099,1.8147,226.439,271.034,1016,
532,46.077,2.4175,1.48093,226.217,268.599,1020.04,
533,47.4267,2.41895,1.23109,225.907,266.129,1024.26,
534,48.7134,2.24234,1.34197,226.028,263.905,1028,
535,49.9643,2.0923,1.52105,226.044,262.255,1031.74,
536,51.2216,2.08306,1.52965,226.405,260.465,1034.86,
537,52.4403,1.9412,2.30518,227.25,258.67,1038.06,
538,53.7136,1.9028,3.0671,228.571,257.772,1040.77,
539,54.4804,2.06974,3.60835,228.99,256.122,1043.16,
540,55.5828,2.39529,4.04531,229.344,254.876,1045.24,
541,56.7092,2.87382,4.21348,229.141,254.04,1046.27,
542,57.7719,3.32658,4.46412,228.914,252.915,1047.37,
543,58.2166,3.80632,4.11075,227.996,251.737,1048.62,
544,58.264,4.16462,3.58673,225.875,250.432,1050.13,
545,58.4696,4.34307,3.44158,224.635,249.851,1050.97,
546,58.7684,4.4579,3.44896,224.364,249.544,1051.55,
547,59.366,4.57593,3.56217,224.549,249.029,1052.19,
548,59.7345,4.63518,3.5643,224.714,249.039,1052.17,
549,59.978,4.65398,3.63661,224.735,249.299,1052.12,
550,59.787,4.6229,4.38479,224.531,249.681,1051.52,
551,59.6266,4.5781,4.57997,224.295,249.922,1051.09,
552,59.4576,4.99496,3.91582,222.421,250.503,1050.56,
553,59.4167,5.03976,3.85834,221.757,250.821,1049.86,
554,58.9177,5.04873,3.94036,222.245,251.653,1048.72,
555,58.6107,4.92519,4.8439,223.393,252.846,1047.46,
556,58.4361,5.03365,5.49442,225.056,254.043,1045.33,
557,58.1054,5.19279,6.13415,226.009,255.43,1043.29,
558,57.5144,5.36902,6.74787,226.952,257.033,1041.49,
559,56.4444,5.59345,7.04012,226.488,257.434,1039.71,
560,55.5914,5.96159,6.89802,225.36,258.347,1038.01,
561,54.6665,6.19715,6.85331,224.274,260.234,1035.23,
562,53.7255,6.45608,6.48765,222.34,261.821,1031.5,
563,53.3022,6.88177,5.52689,220.016,263.822,1028.39,
564,52.8569,6.86109,5.31028,219.46,265.707,1024.64,
565,51.9599,6.65105,5.30587,219.281,267.899,1021.17,
566,50.8997,6.40117,5.33117,219.529,270.043,1017.16,
567,49.7598,6.02325,5.70191,219.238,272.458,1013.9,
568,48.5147,5.7468,5.94412,219.469,274.074,1009.76,
569,47.3581,5.51236,6.16575,219.647,276.478,1005.87,
570,46.316,5.39508,6.22346,219.508,278.362,1001.3,
571,45.1259,5.23111,6.28623,219.623,280.715,997.069,
572,44.0998,5.11613,6.31583,219.3,283.036,992.465,
573,42.7492,4.66486,6.80524,219.073,285.233,987.578,
574,41.2761,4.28965,7.29719,219.116,288.075,982.882,
575,39.7586,4.38591,7.51407,218.124,290.142,977.527,
576,38.1099,4.33096,7.8845,217.873,292.484,972.684,
577,36.321,3.98962,8.08057,218.051,294.779,967.655,
