Stick-left
Frame,Root<a-X>,Root<a-Y>,Root<a-Z>,Root<t-X>,Root<t-Y>,Root<t-Z>,
389,-1.58801,0.159359,-13.3858,42.3031,307.144,832.023,
390,-1.21389,-0.365034,-13.3385,42.292,307.765,834.897,
391,-0.914405,-0.475247,-13.4714,43.1175,308.798,838.938,
392,-0.40276,-1.00967,-13.5451,43.4933,309.154,842.616,
393,0.0429619,-1.06402,-13.8793,43.8587,310.08,847.069,
394,0.605683,-1.4267,-13.817,43.9488,310.483,851.906,
395,1.63803,-1.36725,-13.9639,44.2222,310.585,856.311,
396,2.6151,-1.60393,-14.001,44.3934,310.864,861.611,
397,3.73445,-1.91997,-14.0656,44.935,311.686,867.195,
398,4.91243,-2.34651,-14.1255,45.3472,311.784,873.246,
399,6.10144,-2.61811,-14.4252,45.6339,311.689,879.408,
400,7.47591,-3.30953,-14.3173,46.3024,311.662,886.704,
401,9.18291,-3.92961,-14.488,46.7403,311.552,893.627,
402,10.9326,-4.37316,-14.4386,47.6697,311.021,900.145,
403,12.4121,-4.57359,-14.5229,47.3548,310.154,907.434,
404,14.3196,-5.38076,-14.5526,47.4056,309.188,914.287,
405,16.2362,-6.05066,-14.2497,47.8528,307.951,921.488,
406,18.0806,-6.45783,-14.2229,48.7328,306.535,929.066,
407,20.0342,-7.04707,-13.9635,49.7901,305.536,936.001,
408,22.0696,-7.56414,-13.5681,49.9976,303.582,943.149,
409,23.9322,-7.74436,-13.5093,49.7903,301.889,949.717,
410,26.0319,-8.17179,-14.0704,49.4186,299.559,957.028,
411,28.2778,-9.10709,-14.3369,49.2083,297.647,964.385,
412,30.162,-9.73048,-14.6186,49.0196,295.445,971.251,
413,32.5029,-10.8588,-14.4182,48.7592,293.097,977.103,
414,34.3238,-11.358,-13.8909,48.6778,290.614,982.665,
415,36.5438,-11.9124,-13.3983,48.596,288.206,988.558,
416,38.6585,-12.3518,-13.2985,48.054,286.443,993.722,
417,40.9458,-13.0752,-13.3272,47.3441,284.883,998.763,
418,42.8287,-13.6683,-13.4774,46.981,282.431,1003.57,
419,44.5836,-14.3453,-13.6932,46.1426,280.25,1008.71,
420,46.0789,-15.0304,-13.2485,45.9728,278.271,1013.56,
421,47.6288,-15.8679,-12.9458,45.6616,276.195,1017.67,
422,49.1042,-16.416,-12.803,45.6379,274.055,1021.76,
423,50.8498,-16.8615,-12.5219,45.1846,272.384,1024.98,
424,51.9204,-17.1894,-12.4131,44.4438,270.69,1028.8,
425,52.5793,-17.2023,-12.8927,43.9977,268.704,1032.5,
426,53.3698,-17.5583,-13.2293,43.6744,267.094,1035.78,
427,54.7335,-18.4492,-12.9325,44.0281,266.037,1037.44,
428,55.8915,-19.0782,-12.793,44.4448,265.516,1040.04,
429,56.4312,-19.4068,-12.307,44.7308,264.768,1042.09,
430,57.0577,-19.5576,-12.1996,45.3106,264.059,1044.44,
431,57.9264,-19.8564,-12.016,45.5086,263.33,1045.96,
432,58.2889,-19.8424,-12.3838,45.4997,262.487,1047.68,
433,58.6757,-20.0746,-12.1479,45.5848,262.025,1049.43,
