Stick-right
Frame,Root<a-X>,Root<a-Y>,Root<a-Z>,Root<t-X>,Root<t-Y>,Root<t-Z>,
389,-1.90905,0.115327,7.207,218.884,297.441,840.819,
390,-1.7265,0.0696722,7.16079,218.998,298.453,845.021,
391,-0.924602,0.601179,7.26021,218.592,299.195,848.54,
392,-0.508093,0.58695,7.20084,218.775,299.987,852.661,
393,0.362397,0.913363,7.06701,218.444,300.45,857.05,
394,1.42693,1.32457,7.01865,218.432,301.01,862.153,
395,2.38569,1.53064,6.90448,218.629,301.681,867.62,
396,3.48828,1.80067,6.82686,218.674,302.078,872.882,
397,4.8911,1.81305,6.63119,218.555,301.888,878.45,
398,6.35234,1.92469,6.47239,218.881,302.028,884.192,
399,8.11423,2.22893,6.28646,218.536,302.335,889.924,
400,9.74056,2.35844,6.26138,218.839,302.192,896.357,
401,11.3013,2.43183,6.47405,218.847,301.281,902.544,
402,13.1655,2.89606,5.95545,218.775,300.934,908.997,
403,15.0671,2.99148,5.88823,219.616,300.738,915.116,
404,16.8695,3.13377,5.5831,220.058,299.645,921.857,
405,18.9577,3.34808,5.18006,220.215,298.873,928.044,
406,20.727,3.26129,4.99026,220.533,297.688,934.816,
407,22.7336,3.17492,5.11737,221.218,296.7,941.061,
408,24.8418,3.44593,5.25419,221.083,294.783,947.356,
409,26.9127,3.68391,5.05733,220.834,293.114,953.464,
410,29.059,3.85153,4.87314,220.163,291.059,959.297,
411,31.1541,3.81392,5.00133,220.494,289.404,965.325,
412,33.125,3.86249,5.21386,221.033,287.351,971.031,
413,35.3126,4.16916,5.15946,221.361,285.54,976.291,
414,37.3427,4.36051,5.22118,221.857,282.8,981.208,
415,39.3658,4.76644,4.80493,221.216,280.95,986.776,
416,41.3244,4.79566,4.91089,221.743,278.689,990.917,
417,43.4916,5.01801,4.83873,222.082,276.532,995.608,
418,45.4701,5.21287,4.74893,221.693,274.216,999.613,
419,47.5888,5.32437,5.06907,221.571,272.256,1003.1,
420,49.334,5.627,5.05836,221.071,269.766,1007.04,
421,51.2821,5.93714,5.15219,220.939,267.366,1010.41,
422,53.0793,6.2902,5.06599,220.788,265.366,1013.22,
423,54.5413,6.63801,4.70525,220.498,263.093,1016.55,
424,55.9759,6.77243,4.54341,220.415,261.225,1019.17,
425,57.4459,6.97643,4.34982,219.337,259.359,1020.93,
426,58.4126,7.05891,4.20923,219.333,257.373,1022.77,
427,59.5637,7.0831,4.34851,219.841,255.741,1025.51,
428,60.6789,7.09967,4.68833,219.89,254.668,1027.33,
429,61.8167,7.36316,4.47822,219.864,253.931,1028.18,
430,62.946,7.50337,4.68589,219.918,253.277,1029.15,
431,63.4275,7.55073,4.82875,219.408,252.338,1029.6,
432,63.7936,7.64961,5.13436,219.693,251.385,1031.35,
433,64.2017,7.84452,5.26377,219.531,251.068,1032.53,
434,64.6899,8.15217,4.99091,219.468,250.69,1033.33,
435,65.1197,8.21089,5.07077,219.124,250.434,1033.48,
436,65.2575,8.33358,5.21182,218.987,250.434,1033.61,
437,65.313,8.46986,5.29768,218.883,250.674,1033.63,
438,65.285,8.602,5.34747,218.877,250.81,1033.6,
439,64.7127,8.68282,5.11484,218.957,251.661,1033.56,
440,64.238,8.65815,5.18022,218.854,252.144,1033.4,
441,63.9558,8.6055,5.55523,219.106,253.097,1032.57,
442,63.7064,8.69833,5.51978,219.658,254.561,1031.12,
443,63.3526,8.63708,5.59547,219.44,255.652,1029.86,
444,63.1116,8.60089,5.64232,219.802,256.817,1028.76,
445,62.4838,8.64488,5.41181,219.815,258.056,1028.02,
446,61.5009,8.50579,5.48643,219.827,259.476,1026.62,
447,60.5881,8.38975,5.48595,220.411,261.375,1025.28,
448,59.7795,8.25295,5.58148,220.11,262.857,1023.39,
449,58.9078,8.21783,5.16254,220.252,265.288,1021.4,
450,57.7827,7.96243,5.14586,220.153,267.512,1020.15,
451,56.548,7.61213,5.38119,220.68,269.146,1018.64,
452,55.6182,7.44869,5.27715,220.81,270.793,1016.38,
453,54.4529,7.21955,5.18438,220.815,272.692,1014.46,
