Stick-left
Frame,Root<a-X>,Root<a-Y>,Root<a-Z>,Root<t-X>,Root<t-Y>,Root<t-Z>,
410,12.6583,-3.50529,-12.7921,45.594,317.003,902.042,
411,12.6423,-3.31281,-12.6262,45.7862,316.462,901.729,
412,12.6148,-3.12358,-12.5987,45.8909,315.833,901.038,
413,12.4079,-2.7214,-12.527,45.1399,315.716,900.429,
414,12.0952,-2.2856,-12.5625,44.7393,314.656,899.464,
415,11.8426,-2.34178,-12.4768,44.4264,314.217,898.656,
416,11.7896,-2.59583,-12.3533,44.176,313.761,897.935,
417,11.3114,-1.78007,-12.459,43.4256,314.126,897.245,
418,11.1144,-2.10895,-12.4519,43.3428,313.661,896.397,
419,10.8258,-2.0362,-12.3878,43.2557,313.431,895.448,
420,10.5971,-2.2087,-12.1571,43.3212,312.889,894.333,
421,10.23,-2.05834,-11.8032,43.1323,312.167,893.602,
422,9.91695,-1.70147,-11.7485,42.6588,311.623,892.182,
423,9.57804,-1.35482,-11.9003,42.1231,311.283,891.779,
424,9.30298,-1.57016,-11.746,41.8751,310.869,890.609,
425,9.09989,-1.58151,-11.7294,41.4439,310.482,889.713,
426,8.86407,-1.48824,-11.7482,41.7423,310.885,889.111,
427,8.60893,-1.39248,-11.8371,42.0776,311.503,888.899,
428,8.26513,-1.40414,-11.6731,42.0895,311.553,888.429,
429,8.11825,-1.58327,-11.5535,41.9207,311.262,887.543,
430,7.81733,-1.40332,-11.3893,41.5446,310.591,886.714,
431,7.73102,-1.49143,-11.4158,40.9902,310.178,886.223,
432,7.94558,-1.99189,-11.2865,40.8151,309.866,885.673,
433,7.97304,-2.25791,-11.0896,40.6165,309.416,885.101,
434,7.94544,-1.90414,-11.0834,40.7398,309.141,884.714,
435,7.72611,-1.38681,-11.0577,40.6389,309.101,884.162,
436,7.56391,-1.33984,-10.9946,40.4741,308.861,883.533,
437,7.51163,-1.57808,-10.8125,40.2019,308.514,883.456,
438,7.41442,-1.38864,-10.8186,40.0886,308.086,883.317,
439,7.48585,-1.52436,-10.9832,39.707,307.633,883.158,
440,7.47948,-1.47699,-11.0141,39.2955,306.977,883.154,
441,7.4666,-1.68962,-10.8999,38.8775,306.215,882.753,
442,7.48485,-1.83182,-10.6364,38.5762,305.56,882.565,
443,7.63875,-2.02357,-10.5097,38.2268,305.199,882.931,
444,7.76409,-1.8486,-10.561,38.3659,304.993,883.071,
445,7.86343,-1.9797,-10.6359,38.4674,305.034,883.205,
446,8.13169,-1.98855,-10.8292,38.6482,305.186,883.276,
447,8.40905,-2.05457,-11.0026,38.6889,305.418,883.106,
448,8.48217,-1.92558,-11.0499,38.9746,305.507,883.393,
449,8.7225,-2.17673,-11.0673,39.0586,305.144,883.884,
450,8.7358,-2.13474,-10.8227,38.8073,304.464,884.166,
