Stick-right
Frame,Root<a-X>,Root<a-Y>,Root<a-Z>,Root<t-X>,Root<t-Y>,Root<t-Z>,
410,7.96637,1.10944,18.3757,244.023,297.377,843.22,
411,7.43178,0.896687,18.5029,243.412,297.31,841.965,
412,7.1358,1.04299,18.4504,243.221,296.856,840.877,
413,6.78412,0.982858,18.3971,243.378,296.791,839.686,
414,6.39129,0.816552,18.2927,243.429,296.955,839.407,
415,6.29371,1.1213,18.1092,243.236,296.717,838.285,
416,6.1284,1.20714,18.0536,243.048,296.589,837.567,
417,6.10702,1.35384,18.1501,242.857,296.845,836.391,
418,6.24995,1.89288,18.229,242.967,296.597,835.545,
419,6.30899,2.04606,18.1873,242.985,295.869,835.072,
420,6.35967,2.05231,17.9039,242.571,295.22,834.749,
421,6.42925,2.13251,17.8355,242.592,294.714,834.444,
422,6.41036,2.03853,17.7536,242.62,294.3,834.314,
423,6.4547,2.15247,17.8764,242.633,294.227,834.238,
424,6.5171,2.2872,17.9123,242.513,294.152,834.387,
425,6.76742,2.61559,17.8599,242.287,293.881,834.085,
426,7.19794,3.16216,17.8862,242.011,293.461,833.876,
427,7.43501,3.51822,17.8756,241.788,293.038,833.77,
428,7.73642,3.49059,17.6245,241.412,293.109,833.641,
429,7.86632,3.53664,17.5224,241.224,293.151,833.664,
430,8.00338,3.33246,17.5816,241.137,293.003,833.724,
431,8.0183,3.21,17.4419,241.109,292.994,833.779,
432,7.97226,2.85461,17.4186,240.816,292.485,833.971,
433,7.96072,2.77955,17.5221,240.294,292.01,834.067,
434,8.05533,2.82738,17.5776,239.976,291.68,833.953,
435,8.12278,2.81119,17.4634,239.558,291.263,834.012,
436,7.92856,2.35679,17.5761,239.325,290.872,833.997,
437,7.8572,2.23644,17.6429,239.367,290.549,833.89,
438,7.82678,2.28871,17.6516,239.428,290.172,833.994,
439,7.82007,2.39384,17.8593,239.223,289.954,834.343,
440,7.76164,2.33622,17.9921,239.056,289.918,834.578,
441,7.75027,2.3692,18.0403,239.089,289.674,834.533,
442,7.87077,2.48948,17.7387,238.364,289.478,834.281,
443,7.74001,2.22902,17.565,237.697,289.197,834.688,
444,7.4992,1.91255,17.9237,236.905,289.079,835.378,
445,7.23736,1.6556,17.8213,236.726,288.8,836.093,
446,7.17158,1.61903,17.7634,236.609,288.754,836.388,
447,6.98768,1.35017,17.766,236.733,288.769,837.039,
448,6.86479,1.48829,17.7042,236.428,289.059,838.611,
449,6.821,1.54574,17.76,236.656,288.878,839.548,
450,7.00697,2.05982,17.5545,236.342,288.729,840.668,
451,6.74492,1.67851,17.382,235.439,288.323,842.179,
452,6.54979,1.51202,16.9657,234.838,288.202,843.869,
453,6.57438,1.66323,16.9555,234.097,288.067,844.922,
454,6.55729,1.66097,16.8371,234.076,287.544,846.322,
455,6.84255,2.19464,16.7085,234.222,287.335,847.874,
456,6.97609,2.46677,16.7813,234.278,287.071,849.346,
457,7.47752,3.07856,16.7196,234.288,286.666,851.075,
458,7.7854,3.18156,16.5862,233.636,286.804,852.901,
459,8.05532,3.23575,16.5305,233.346,286.558,855.358,
460,8.67916,3.84065,16.5035,233.489,286.401,857.396,
461,9.2782,4.22749,16.5352,233.684,285.935,859.271,
462,9.82431,4.42449,16.3263,233.695,285.05,861.396,
463,10.5763,4.81907,16.1012,233.87,284.098,863.786,
464,11.405,5.31017,16.0685,234.078,283.405,865.797,
465,12.1586,5.58112,16.0231,234.468,282.664,867.936,
466,12.8921,5.80726,16.0029,234.702,282.132,870.218,
467,13.8179,6.27057,15.9727,235.363,281.525,872.959,
468,14.6539,6.5366,16.0835,235.488,281.439,875.589,
469,15.7743,6.56618,15.8552,235.735,281.004,878.194,
470,16.6679,6.9672,15.5089,236.441,279.75,880.712,
