Stick-left
Frame,Root<a-X>,Root<a-Y>,Root<a-Z>,Root<t-X>,Root<t-Y>,Root<t-Z>,
328,15.96,-2.58273,-11.1313,39.3161,335.334,929.705,
329,15.1889,-2.33227,-11.4176,39.2467,335.59,929.256,
330,14.2249,-2.00893,-11.6709,39.1635,335.597,928.877,
331,13.4319,-2.35198,-12.36,38.8961,335.327,929.778,
332,13.118,-2.44462,-12.6355,39.0556,334.697,930.952,
333,13.1079,-2.86451,-12.7132,39.3848,334.169,932.097,
334,13.518,-3.55307,-12.5784,40.5879,333.553,933.549,
335,14.143,-3.89395,-12.8117,41.7035,332.362,936.053,
336,14.9802,-4.57484,-12.6917,42.367,330.702,939.486,
337,16.1748,-4.73339,-12.1758,43.1604,329.227,942.877,
338,17.6264,-4.91498,-12.1119,43.9458,327.194,946.556,
339,19.2982,-5.24178,-12.1972,44.6686,325.193,950.827,
340,20.9782,-5.62351,-12.2858,44.8985,322.829,954.772,
341,22.5823,-6.09683,-11.9967,45.2582,320.317,959.642,
342,24.1552,-6.4865,-12.4503,44.8796,317.465,963.998,
343,25.9679,-7.24787,-12.8153,44.834,314.866,969.031,
344,27.9914,-8.06622,-13.3631,43.5056,311.789,973.715,
345,29.7786,-8.63382,-13.4915,42.8147,309.078,978.077,
346,31.278,-9.14362,-13.8632,41.7594,305.198,982.788,
347,32.9112,-9.73516,-14.0872,41.0028,301.503,986.997,
348,34.8419,-10.5529,-14.0932,40.9194,298.156,990.671,
349,36.9708,-11.556,-13.896,41.2712,294.776,994.124,
350,39.0457,-12.1843,-13.3932,41.6045,291.906,997.027,
351,41.0466,-12.6247,-12.7436,42.0703,288.946,1000.26,
352,42.6086,-13.0076,-12.5065,42.863,286.24,1002.54,
353,44.3228,-13.2119,-12.3311,43.257,283.21,1004.59,
354,45.5862,-13.5554,-12.2161,43.4002,280.58,1006.91,
355,46.9452,-13.9999,-11.8618,43.1732,277.991,1008.4,
356,48.0415,-14.1519,-12.0099,43.2064,275.296,1009.99,
357,48.9778,-14.4318,-11.9833,43.4371,273.093,1010.62,
358,49.9443,-14.8097,-11.6002,43.7685,271.574,1011.26,
359,50.2759,-14.7887,-11.5029,43.8432,270.126,1011.83,
360,50.6216,-14.7863,-11.4215,43.8324,268.742,1011.94,
361,50.6676,-14.7374,-11.4956,44.0469,268.162,1011.93,
362,50.6925,-14.7044,-11.5372,44.3668,267.662,1011.35,
363,50.8747,-14.6416,-11.7327,44.4177,267.283,1010.29,
364,50.713,-14.5945,-11.7096,44.2948,267.516,1009.58,
365,50.4314,-14.4044,-11.8343,44.3746,267.642,1008.01,
366,50.1243,-14.1521,-12.0865,44.0299,268.302,1006.17,
367,49.5874,-14.0566,-12.2818,43.4352,268.996,1004.27,
368,48.7336,-13.8576,-12.3754,43.2504,269.711,1002.74,
369,47.7779,-13.5712,-12.4512,42.7919,270.545,1000.49,
370,46.8495,-13.1531,-12.9259,42.5086,271.519,997.741,
371,46.0187,-12.927,-13.3156,42.3446,272.641,995.112,
372,44.9273,-12.8165,-13.1783,41.8592,274.244,992.392,
373,44.0375,-12.5577,-13.3175,41.6011,275.49,988.966,
374,43.2751,-12.5759,-12.8028,41.1289,276.856,985.974,
375,42.1335,-12.1138,-12.4871,41.5651,277.963,982.465,
376,41.2921,-11.6689,-12.2955,41.8132,279.759,977.703,
377,40.2241,-11.101,-12.0632,41.7194,280.686,973.133,
378,39.251,-10.5749,-11.9718,41.9333,282.355,968.648,
379,38.1771,-10.0186,-11.8965,41.4655,284.401,964.298,
380,37.3149,-9.53048,-11.9168,41.5185,286.326,959.198,
381,35.6559,-8.85342,-12.2664,40.4705,287.889,954.94,
382,34.2316,-8.36951,-12.2724,40.0166,289.576,950.758,
383,32.3598,-7.85414,-12.3873,39.3095,291.269,945.831,
384,31.087,-7.43419,-12.2933,39.4059,292.91,941.057,
385,29.5008,-6.87956,-12.0679,39.7446,294.635,936.702,
386,28.2611,-6.45265,-11.8219,39.6129,295.936,931.542,
387,26.6863,-5.98671,-11.4541,39.5295,297.45,927.186,
