Stick-right
Frame,Root<a-X>,Root<a-Y>,Root<a-Z>,Root<t-X>,Root<t-Y>,Root<t-Z>,
247,14.0005,1.87202,16.1163,235.576,307.556,930.206,
248,13.0462,1.54416,15.912,234.815,308.216,928.072,
249,12.2225,1.28798,15.871,234.539,309.044,926.01,
250,11.5894,1.30812,15.7897,233.864,309.836,923.805,
251,10.9921,1.37189,15.5191,233.222,310.432,922.11,
252,10.4355,1.24771,15.5652,232.627,310.649,921.438,
253,9.89511,1.20082,15.3505,232.374,310.646,920.5,
254,9.54865,1.35747,15.1614,232.092,310.611,919.951,
255,9.01544,1.09736,15.1772,231.918,310.901,920.236,
256,8.63746,1.13439,15.0774,231.179,311.017,921.099,
257,8.67272,1.72394,14.8204,230.915,311.4,921.973,
258,8.44372,1.59888,14.9137,231.125,311.096,923.933,
259,8.91408,2.62686,14.5832,230.945,310.88,925.433,
260,9.06028,2.85667,14.1485,230.941,310.896,928.069,
261,9.48945,3.22827,13.9977,230.981,310.216,931.221,
262,9.99101,3.57926,13.7511,231.093,309.446,934.604,
263,10.5642,3.84455,13.7746,231.463,309.191,938.66,
264,11.079,4.02631,13.6776,232.342,308.421,943.104,
265,12.1504,4.46114,13.4322,232.861,307.706,947.127,
266,12.763,4.90578,12.8763,233.035,306.45,952.335,
267,13.8042,5.0592,12.3876,233.714,305.344,957.521,
268,14.9637,5.30162,11.7433,234.49,303.893,962.19,
269,16.0092,5.35559,11.1513,234.614,303.342,967.178,
270,16.8347,5.50875,10.8795,234.786,302.06,971.994,
271,17.7104,5.49844,10.8778,235.122,301.347,977.034,
272,18.8461,5.4031,10.659,235.334,299.659,981.961,
273,20.275,5.58985,10.4378,235.372,298.379,986.51,
274,21.4119,5.56778,10.2739,234.956,296.543,991.818,
275,22.502,5.93638,10.0891,235.115,294.682,996.697,
276,23.5154,5.74624,10.5543,235.061,293.075,1001.26,
277,24.3487,5.75313,10.8732,235.036,291.078,1005.73,
278,25.7914,6.21495,10.8473,235.335,289.436,1009.99,
279,27.028,6.69706,10.8472,235.294,287.546,1014.16,
280,28.4435,6.99581,10.7784,234.891,285.954,1018.06,
281,29.4292,7.31017,10.6556,235.636,284.085,1022.13,
282,30.4623,7.72711,10.3293,235.584,282.163,1025.53,
283,31.5146,7.86893,10.311,235.841,280.025,1029.16,
284,33.0526,8.36793,10.1054,236.238,278.277,1031.64,
285,34.1286,8.78135,9.47643,236.469,276.687,1034.37,
286,34.9966,8.88309,9.02873,237.298,274.623,1037.46,
287,36.5124,8.60541,8.88731,237.488,272.279,1039.74,
288,37.6871,8.81661,8.54855,237.491,270.385,1042.1,
289,39.4623,8.58583,8.75175,237.135,269.013,1044.36,
290,41.1302,8.63867,8.82557,237.111,267.649,1045.91,
291,42.2446,8.73147,8.94221,237.399,266.137,1047.54,
292,43.1963,8.97709,8.79225,237.156,264.028,1049.23,
293,44.5117,9.30158,8.65393,237.004,262.392,1050.62,
294,45.8245,9.46561,8.75716,237.455,260.709,1051.73,
