Stick-left
Frame,Root<a-X>,Root<a-Y>,Root<a-Z>,Root<t-X>,Root<t-Y>,Root<t-Z>,
252,10.0537,-3.30846,-22.7932,3.43804,280.65,913.216,
253,9.69787,-3.27575,-23.0232,3.80155,282.23,911.212,
254,8.97969,-3.20246,-23.7667,3.69806,284.16,910.518,
255,8.87997,-3.2915,-24.6338,2.49438,285.536,908.827,
256,8.52158,-3.08931,-24.9596,1.8061,287.562,907.715,
257,8.14144,-3.0127,-25.0169,1.70962,289.038,906.25,
258,7.77364,-2.69754,-25.4594,1.26506,291.265,904.801,
259,7.30419,-2.20185,-26.068,0.370075,293.074,903.974,
260,7.06395,-2.62825,-26.5759,-0.373496,294.754,902.635,
261,6.74772,-2.36437,-27.3735,-0.522857,297.157,902.163,
262,6.43374,-2.43671,-27.7898,-1.52752,298.888,901.148,
263,5.99291,-2.08381,-28.109,-1.99392,300.787,900.611,
264,5.53585,-1.77391,-28.4205,-2.30181,303.19,900.202,
265,5.28947,-2.17055,-28.6977,-3.58118,305.549,899.601,
266,5.0012,-2.01329,-28.9571,-4.56463,307.778,899.169,
267,4.76256,-1.99421,-29.3468,-4.9778,309.962,899.329,
268,4.4782,-1.86039,-29.4265,-5.13714,311.606,899.609,
269,4.11786,-1.41096,-29.72,-6.33185,313.586,899.545,
270,3.85791,-1.56483,-29.768,-7.94053,315.827,899.882,
271,3.64574,-1.47315,-30.1913,-8.53282,319.082,899.556,
272,3.51098,-1.52932,-30.9798,-9.46653,321.223,899.539,
273,3.25397,-1.32819,-31.0198,-9.86409,323.852,899.374,
274,2.89941,-0.82613,-31.11,-10.8954,326.159,899.583,
275,2.55941,-0.654059,-31.339,-11.6306,328.316,900.282,
276,2.22492,-0.510103,-31.3458,-12.6203,330.559,900.484,
277,1.79644,-0.0239572,-31.4807,-13.6028,332.963,901.173,
278,1.42284,0.188665,-32.0264,-14.8234,335.584,902.207,
279,1.00356,0.482706,-32.2154,-15.2905,337.752,902.848,
280,0.712043,0.349989,-32.3007,-15.8107,339.969,903.065,
281,0.462349,0.331362,-32.4568,-16.6537,342.295,904.063,
282,0.125292,0.774644,-32.5585,-17.2002,344.307,904.893,
283,-0.292508,1.29265,-32.5004,-17.9137,346.64,905.751,
284,-0.634264,1.28178,-32.5633,-18.8819,349.13,907.138,
285,-0.928112,1.31351,-32.4878,-20.2675,351.639,908.353,
286,-1.10857,1.15421,-32.7243,-20.771,353.741,909.437,
287,-1.35528,1.45384,-32.7222,-21.6048,355.905,910.755,
288,-1.539,1.44629,-33.0491,-21.9761,357.895,912.29,
289,-1.66669,1.36951,-32.8251,-22.181,360.806,914.47,
290,-1.92321,1.81052,-33.0874,-22.6237,363.027,916.44,
291,-2.079,1.71324,-32.9659,-23.1101,365.372,919.257,
292,-2.28703,1.98224,-33.0207,-23.6553,367.278,921.949,
293,-2.6294,2.58365,-33.087,-23.9517,369.586,925.042,
294,-2.83121,2.33971,-33.1356,-24.3162,371.765,928.307,
295,-3.06078,2.55183,-33.2595,-24.3828,374.063,931.129,
296,-3.15007,2.24386,-33.5553,-24.8431,376.313,934.097,
297,-3.28301,2.4638,-33.5207,-24.9537,378.054,937.121,
298,-3.34692,2.3506,-33.1651,-25.6575,380.019,940.627,
299,-3.41182,2.31391,-33.3097,-25.7349,381.816,944.302,
300,-3.38045,2.04412,-33.406,-25.9432,383.339,948.368,
301,-3.25789,1.65767,-33.7787,-26.3122,384.68,952.374,
302,-3.20673,1.91038,-33.7166,-26.1297,386.67,956.093,
303,-3.14223,1.81854,-33.5564,-25.9707,388.362,960.076,
304,-3.03564,1.60848,-33.5848,-25.3191,390.664,964.385,
305,-2.89503,1.41752,-33.4979,-25.2009,392.25,968.717,
306,-2.69784,1.0997,-33.6694,-24.8898,393.828,973.605,
307,-2.44244,0.752973,-33.6881,-25.2425,395.282,978.411,
308,-2.16804,0.54096,-33.6004,-25.1675,397.049,983.521,
309,-1.92961,0.46734,-33.5106,-25.3325,398.331,988.977,
310,-1.59715,0.0213239,-33.6124,-24.9568,399.629,994.001,
311,-1.18678,-0.397522,-33.2226,-24.3652,401,998.992,
312,-0.810203,-0.623146,-32.8192,-24.1697,402.122,1004.43,
313,-0.410342,-0.946828,-32.7929,-23.6082,403.191,1009.92,
314,0.107041,-1.56076,-32.7968,-23.0867,403.854,1015.35,
315,0.671984,-2.08818,-32.7213,-23.2766,404.245,1021.33,
316,1.24896,-2.556,-32.5028,-23.0237,404.784,1027.36,
317,1.80588,-2.82617,-32.2807,-22.6839,405.668,1032.85,
318,2.34071,-3.09846,-31.9113,-21.8349,406.312,1038.72,
319,3.30108,-3.25876,-31.4549,-20.8433,406.684,1045.08,
320,3.76734,-3.62906,-31.6055,-20.7584,406.603,1051.89,
321,4.21379,-4.04907,-31.3454,-20.5833,407.102,1058.8,
322,4.76235,-4.62247,-31.3698,-20.0205,407.127,1065.69,
323,5.38169,-5.15837,-31.4945,-19.8826,407.34,1072.25,
324,6.42406,-5.38537,-30.9609,-19.0623,406.704,1078.36,
325,7.01798,-6.0644,-30.7186,-18.8611,406.76,1085.04,
326,8.14072,-6.32509,-30.3804,-17.7092,405.827,1091.38,
327,9.29408,-6.99585,-30.0098,-17.1714,404.986,1097.68,
328,10.3277,-7.42974,-29.618,-17.1749,404.558,1103.9,
329,10.9188,-8.01572,-29.3421,-16.5783,403.989,1110.49,
330,12.1042,-8.43579,-29.1428,-15.978,403.276,1116.65,
331,13.3113,-9.15041,-28.9891,-15.7147,401.881,1123.02,
332,14.3529,-9.62344,-28.3418,-15.1623,400.933,1129.82,
333,14.9385,-9.91005,-28.4113,-15.0425,399.565,1136.74,
334,15.5725,-10.428,-28.3075,-14.8335,398.004,1143.54,
335,16.3023,-11.0434,-28.0952,-14.951,396.354,1150.12,
336,17.0529,-11.5024,-27.8139,-14.7538,394.579,1156.72,
337,18.6891,-12.1164,-27.3834,-13.9786,392.974,1162.33,
338,19.9638,-12.4366,-26.8953,-13.5244,390.636,1168.15,
339,21.2191,-12.8082,-26.7079,-12.9892,389.247,1174.09,
340,22.1015,-13.5509,-26.7343,-12.963,386.971,1180.08,
341,23.1495,-13.7568,-25.9599,-12.1778,384.248,1185.81,
342,24.0016,-14.3443,-25.8255,-11.6264,381.693,1191.4,
343,25.2082,-14.5746,-25.4694,-11.4892,378.64,1197.05,
344,26.6727,-15.2953,-25.2416,-11.9532,376,1202.44,
345,27.8578,-15.7007,-24.7792,-11.5301,373.414,1207.81,
346,28.9159,-15.9866,-24.1931,-10.7634,370.045,1213.05,
347,29.9633,-16.7915,-23.9341,-10.8635,366.902,1218.39,
348,31.309,-17.0435,-23.3696,-10.7781,363.863,1222.64,
349,32.2222,-17.5389,-23.0728,-10.6202,360.966,1227.87,
350,33.0842,-17.9265,-22.5977,-10.3934,357.863,1232.73,
351,34.567,-18.0697,-22.2818,-10.5443,354.946,1237.07,
352,35.5196,-18.4937,-22.1114,-10.399,351.709,1241.2,
353,36.4908,-19.0647,-21.632,-10.4246,348.247,1245.59,
354,37.9476,-19.1954,-21.0718,-9.95699,344.36,1249.59,
355,39.4357,-19.4862,-20.4372,-10.2311,341.217,1253.07,
356,40.5116,-19.9644,-20.0541,-9.88992,337.969,1256.58,
357,41.9226,-20.1171,-19.4777,-10.7542,334.59,1260.23,
358,43.0473,-20.6194,-19.139,-10.9684,331.795,1263.47,
359,44.1844,-21.1085,-18.5408,-11.0517,328.035,1266.35,
360,44.9242,-21.1449,-18.0164,-10.974,324.154,1269.01,
361,46.0152,-21.3529,-17.6413,-11.0948,321.016,1271.46,
362,47.1428,-21.604,-17.2756,-11.2895,317.675,1273.74,
363,48.3786,-21.9571,-16.7348,-11.2479,314.215,1275.98,
364,49.6039,-22.2593,-16.088,-11.3256,310.729,1277.76,
365,50.9079,-22.4853,-15.4608,-11.2899,307.313,1279.78,
366,52.1049,-22.5437,-15.0173,-11.4138,304.092,1281.53,
367,53.4035,-22.7289,-14.4661,-11.4016,300.971,1282.9,
368,54.6666,-22.8836,-13.7523,-11.6728,297.732,1284.32,
369,55.9244,-22.9387,-12.973,-11.899,294.561,1285.05,
370,57.0098,-22.7618,-12.5949,-11.6721,291.594,1286.46,
371,58.4639,-22.8744,-11.697,-11.8753,288.627,1286.73,
372,59.8487,-22.797,-11.2251,-11.829,286.282,1287.83,
373,61.1154,-22.733,-10.8394,-11.686,282.96,1288.39,
374,62.3124,-22.6985,-10.1764,-12.0102,279.951,1289.04,
375,63.718,-22.691,-9.67382,-12.0548,277.4,1289.6,
376,64.7489,-22.522,-9.16179,-12.4432,273.957,1289.19,
377,66.0895,-22.4726,-8.45951,-12.1903,271.772,1288.89,
378,67.779,-21.892,-7.74262,-12.1249,269.44,1288.12,
379,68.9523,-21.7465,-6.95469,-11.6768,266.627,1287.81,
380,70.1971,-21.5323,-6.51236,-11.7892,264.394,1287.43,
381,71.2503,-21.1925,-5.89863,-11.8062,261.714,1287.04,
382,72.34,-20.8195,-5.35587,-12.1356,259.716,1286.01,
383,73.3651,-20.3861,-4.79237,-12.018,257.964,1285.24,
384,74.1969,-19.8986,-4.37392,-11.6976,255.684,1283.85,
385,74.7134,-19.3313,-4.13637,-11.6302,253.664,1282.58,
386,75.56,-18.8197,-3.23026,-11.4006,252.243,1281.16,
387,76.2947,-18.1622,-2.84273,-10.9005,250.507,1279.6,
388,76.9819,-17.4955,-2.60342,-10.6497,249.579,1278.37,
389,77.5118,-16.8026,-2.24398,-10.1725,247.751,1276.94,
390,78.0898,-16.1876,-2.29454,-10.1469,246.81,1275.27,
391,78.1104,-15.5248,-2.16944,-10.0285,245.827,1272.64,
392,78.6658,-15.0022,-1.87103,-9.03474,245.317,1271.02,
393,79.0008,-14.4472,-1.75292,-8.70799,245.193,1269.27,
394,79.0765,-13.8295,-1.45865,-8.01409,244.771,1267.25,
395,79.5553,-13.2722,-1.18184,-7.28007,244.825,1264.95,
396,79.458,-12.6225,-1.21631,-6.79312,245.164,1262.58,
397,78.8637,-11.9086,-1.07852,-5.67966,244.988,1260.19,
398,78.7313,-11.3222,-1.19888,-5.42704,244.869,1257.85,
399,78.2391,-10.7761,-1.42171,-4.91372,245.009,1255.52,
400,78.4054,-10.425,-1.41216,-4.01592,245.606,1252.68,
401,78.3082,-10.0604,-1.37465,-3.04586,246.471,1249.95,
402,77.9276,-9.93474,-1.40326,-2.34033,247.319,1247.26,
403,77.5586,-9.57041,-1.55989,-1.643,248.115,1244.85,
404,77.3583,-9.30274,-1.67132,-0.852161,249.427,1241.91,
405,77.2622,-9.0844,-1.57375,-0.134464,250.932,1239.28,
406,77.1427,-8.91905,-2.04203,0.693833,252.755,1235.74,
407,77.0354,-8.87125,-2.05646,1.28071,254.935,1232.84,
408,76.3893,-8.78025,-2.482,1.54825,256.768,1229.95,
409,75.6118,-8.70831,-2.25551,2.60573,257.787,1227.05,
410,75.0291,-8.47021,-2.76182,3.10058,259.591,1223.73,
411,73.7383,-8.38935,-3.3094,3.32369,259.656,1220.98,
412,73.2998,-8.58424,-3.54767,3.76791,261.339,1217.92,
413,72.3207,-8.68419,-4.03398,4.35427,262.703,1215.21,
414,71.982,-8.56215,-4.31858,4.70199,265.571,1212.06,
415,71.0871,-8.85274,-4.65587,5.08969,267.776,1208.7,
416,70.5662,-9.24558,-4.88031,5.58265,270.187,1204.9,
417,69.8547,-9.59485,-5.27952,6.13872,272.167,1201.64,
418,69.3548,-10.035,-5.42359,6.7152,274.497,1198.51,
419,68.4322,-10.2952,-5.80372,7.00063,276.752,1194.41,
420,67.7054,-10.6306,-6.26714,7.56814,279.345,1191.27,
421,66.6336,-10.8924,-6.40862,8.16152,281.724,1187.79,
422,66.156,-11.2481,-6.82441,8.57651,284.503,1184.25,
423,65.0196,-11.4131,-7.1013,8.97058,286.68,1180.79,
424,64.1862,-11.6373,-7.80148,9.32949,289.429,1177.09,
425,63.2912,-11.953,-8.13469,9.53414,292.014,1173.49,
426,62.0509,-12.1426,-8.20971,10.0124,294.373,1170.29,
427,61.2121,-12.2763,-8.95304,10.0436,296.965,1166.57,
428,60.0715,-13.1629,-9.94283,9.9069,300.011,1162.63,
429,59.2763,-13.5311,-10.1447,10.2175,303.235,1158.65,
430,58.2135,-13.6257,-10.6477,10.6146,305.794,1155.36,
431,57.1184,-13.8011,-10.9084,11.2813,309.057,1152.06,
432,56.2728,-13.9446,-11.5247,11.2914,311.833,1148.31,
433,54.5696,-14.4002,-12.1492,11.7299,314.751,1144.98,
434,53.5314,-14.3677,-12.8099,11.5873,317.929,1140.95,
435,52.436,-14.4104,-13.2981,11.905,321.012,1137.24,
436,51.4373,-14.5999,-13.3306,12.1828,323.637,1133.38,
437,50.0712,-14.9067,-14.2669,12.0943,327.3,1130.07,
438,48.9932,-14.7669,-14.9438,12.378,330.45,1126.56,
439,47.6993,-14.5566,-15.6381,13.2635,333.08,1122.6,
440,46.2907,-15.1191,-16.4427,13.3707,336.262,1119.1,
441,44.549,-15.2522,-16.9129,13.3844,339.248,1115.44,
442,42.9726,-15.1591,-17.84,13.3632,342.526,1111.52,
443,41.6236,-15.2805,-18.5514,13.176,345.619,1108.47,
444,40.1232,-15.1622,-19.32,13.6744,348.774,1104.87,
445,39.2192,-14.7902,-19.998,13.626,351.711,1101.86,
446,37.596,-14.765,-20.5855,13.8695,354.867,1098.46,
447,35.982,-14.5588,-21.3029,13.9799,357.929,1095.07,
