Stick-right
Frame,Root<a-X>,Root<a-Y>,Root<a-Z>,Root<t-X>,Root<t-Y>,Root<t-Z>,
428,2.37954,-0.21746,7.88294,226.502,312.718,806.242,
429,2.32455,-0.0799659,7.7123,226.298,313.458,806.914,
430,1.81662,-0.323813,7.9083,226.702,314.281,808.428,
431,1.35443,-0.491581,7.80746,226.652,314.852,809.674,
432,1.15503,-0.401861,7.77504,226.99,315.271,810.358,
433,1.03101,-0.324897,7.6203,227.006,315.925,811.166,
434,0.650489,-0.48558,7.50483,226.805,316.256,812.124,
435,0.254328,-0.546214,7.63435,227.285,317.081,813.304,
436,-0.223654,-0.565459,7.90026,227.571,318.229,815.362,
437,-0.613662,-0.903853,7.80354,227.432,318.662,816.893,
438,-0.861584,-0.798037,7.77389,227.433,319.142,817.75,
439,-1.19631,-0.827154,7.70997,227.29,319.809,819.292,
440,-1.65589,-0.903993,7.78188,227.491,320.619,820.625,
441,-1.96595,-0.956574,7.66406,227.762,321.804,822.162,
442,-2.54021,-1.17799,7.59163,227.915,322.635,823.901,
443,-3.15965,-1.33291,7.56763,227.9,323.411,825.781,
444,-3.53252,-1.16175,7.69199,227.713,323.962,827.16,
445,-3.84521,-1.12546,7.72227,227.672,325.132,829.057,
446,-3.9918,-1.17623,7.68217,227.531,325.879,831.087,
447,-4.39058,-1.23132,7.71446,227.812,326.686,833.264,
448,-5.06985,-1.51672,7.68521,227.527,327.361,835.818,
449,-5.04799,-1.35669,7.66916,227.856,327.999,837.286,
450,-5.34187,-1.46048,7.47619,227.302,328.724,840.125,
451,-5.65576,-1.25205,7.64964,227.065,329.283,842.201,
452,-5.90622,-1.32742,7.56697,227.194,330.288,845.327,
453,-6.30687,-1.19474,7.79221,227.685,331.138,848.16,
454,-6.727,-1.21724,7.9833,227.741,331.904,851.111,
455,-6.43385,-0.952484,7.92297,227.632,332.335,853.471,
456,-6.42569,-0.914626,7.93579,227.291,332.661,856.75,
457,-6.44373,-0.827112,8.02858,227.174,333.495,859.826,
458,-6.73592,-1.04756,8.07349,227.025,334.392,863.679,
459,-6.63529,-0.986355,8.02353,226.79,334.999,867.296,
460,-6.46119,-0.729811,8.15009,226.772,335.937,871.1,
461,-6.12405,-0.488182,8.22042,226.486,336.49,874.151,
462,-5.94168,-0.695841,8.03526,226.271,336.604,877.738,
463,-6.07693,-0.832396,8.0583,226.484,337.124,881.898,
464,-5.65907,-0.60672,7.98139,226.286,337.539,886.036,
465,-5.19222,-0.302319,8.00855,225.958,337.582,890.194,
466,-5.18533,-0.306595,8.23683,225.713,338.382,894.497,
467,-5.12869,-0.285842,8.4721,225.434,338.882,899.19,
468,-4.51653,0.0692078,8.5299,225.363,339.83,903.293,
469,-3.91924,0.279053,8.54035,225.558,340.456,908.05,
470,-3.35388,0.386231,8.49944,225.244,340.596,912.62,
471,-2.83549,0.556046,8.59212,224.656,340.686,917.603,
472,-2.52824,0.617447,8.85624,224.869,340.986,922.675,
473,-1.84192,0.913691,8.98561,224.866,341.133,927.096,
474,-1.06764,1.12299,8.93808,224.345,341.532,931.505,
475,-0.240931,1.42512,9.04626,224.012,341.35,936.441,
476,0.425687,1.56047,9.22383,223.812,341.452,941.25,
477,1.11888,1.62454,9.22903,223.584,341.503,946.343,
478,1.7953,1.64612,9.10138,223.045,341.475,951.538,
479,2.70383,1.93462,9.03053,222.802,341.473,956.401,
480,3.53457,2.11116,9.09569,222.739,341.453,960.899,
481,4.18074,2.09512,9.4696,222.432,341.348,966.161,
482,5.27339,2.21203,9.27343,222.034,341.117,970.387,
483,6.0612,2.44987,9.50274,221.525,340.9,975.576,
484,6.83915,2.34567,9.64624,221.358,340.763,981.07,
485,7.98977,2.64347,9.72153,220.665,340.549,985.776,
486,9.04114,2.74841,9.63726,220.982,340.444,990.346,
487,9.74978,2.9151,9.56527,220.931,339.837,995.489,
488,10.5588,3.15636,9.4285,220.965,339.358,999.862,
489,11.4254,3.41931,9.25826,220.867,338.761,1004.31,
490,12.269,3.57291,9.20661,220.848,337.694,1008.93,
491,13.061,3.6718,9.16267,220.701,337.006,1013.32,
492,14.0971,3.93477,9.16008,220.454,336.386,1017.64,
493,15.0971,4.07343,9.23862,220.237,335.889,1022.1,
494,15.9891,4.14152,9.34319,220.16,334.561,1026.42,
495,16.6451,4.08966,9.43346,219.967,333.523,1030.44,
496,17.3218,4.18816,9.36442,219.853,332.317,1034.68,
497,18.1653,4.32664,9.45312,219.592,331.256,1038.22,
498,19.156,4.49075,9.02295,219.611,330.315,1041.96,
499,20.2267,4.82321,8.87476,219.772,329.38,1045.16,
500,21.2608,5.02518,8.7866,219.393,328.246,1048.55,
501,22.4695,4.56326,9.56381,218.665,327.085,1051.64,
502,23.3575,4.96462,9.47716,218.227,325.647,1054.69,
503,24.2151,5.36839,9.53396,218.457,324.331,1057.61,
504,25.1171,5.68876,9.35706,218.876,322.974,1060.54,
505,26.4101,5.98443,9.40995,219.172,321.897,1062.49,
506,27.4422,6.10019,9.51122,219.653,320.746,1064.84,
507,28.3158,6.28012,9.44108,219.688,319.374,1067.37,
508,29.419,6.51414,9.43273,220.007,318.151,1069.76,
509,30.4689,6.74474,9.37512,220.06,316.387,1071.31,
510,31.4553,6.68782,9.75217,219.786,314.762,1073.01,
511,32.6593,7.03387,9.79827,219.658,313.184,1074.7,
512,33.9901,7.23084,10.1433,219.769,311.858,1075.78,
513,34.6322,7.50668,9.96999,220.377,310.185,1077.33,
514,35.7138,7.91233,9.81471,220.232,308.379,1078.31,
515,36.8058,8.14095,9.84935,220.669,306.684,1079.09,
516,37.6072,8.36096,9.94422,220.802,304.575,1079.11,
517,38.8051,8.6862,9.93104,220.892,303.175,1079.59,
518,39.7725,9.05687,9.62955,220.674,301.744,1080.24,
519,40.8007,9.25837,9.54023,221.012,300.155,1080.87,
520,41.8315,9.46649,9.42567,221.324,298.207,1080.69,
521,42.684,9.49116,9.7456,221.383,296.387,1080.19,
522,43.865,9.90214,9.48639,221.687,294.733,1079.55,
523,44.8146,10.2772,8.95886,222.781,292.729,1078.99,
524,46.1858,10.4949,8.84693,222.844,290.979,1077.77,
525,47.2467,10.5294,8.93979,222.638,289.481,1076.76,
526,48.2752,10.6009,9.05925,222.922,287.807,1075.47,
527,49.3344,10.6743,9.35689,223.614,286.213,1073.95,
528,50.3335,10.9441,9.37642,223.977,284.268,1071.82,
529,51.3245,11.3033,9.17909,223.812,282.362,1070.04,
530,52.3418,11.6587,9.07263,224.091,280.244,1067.38,
531,53.6194,12.0054,8.96036,225.305,279.062,1065.35,
532,54.4557,12.2719,8.87869,226.19,276.765,1063.21,
533,55.6229,12.6006,8.6563,226.526,275.483,1060.79,
534,56.5592,12.6542,9.06429,227.253,273.735,1058.14,
535,57.5105,12.9705,8.98483,227.654,272.704,1055.16,
536,58.4298,13.2728,8.89226,228.567,271.07,1052.17,
537,59.0274,13.4169,8.96629,229.092,269.655,1048.39,
538,59.7084,13.5582,9.10954,230.421,268.354,1045.78,
539,60.2948,13.6395,9.40965,231.43,267.1,1042.67,
540,60.7996,13.9266,9.55292,232.172,265.351,1039.72,
541,61.0712,14.1029,9.94538,232.105,264.084,1036.72,
542,61.228,14.3578,10.0964,231.622,261.85,1033.22,
543,61.8575,14.8827,9.84885,231.189,259.862,1029.82,
544,63.2337,15.6203,9.32027,230.027,259.062,1024.63,
545,63.8904,15.9399,9.16969,229.696,258.194,1020.18,
