Stick-left
Frame,Root<a-X>,Root<a-Y>,Root<a-Z>,Root<t-X>,Root<t-Y>,Root<t-Z>,
317,18.4658,-5.79091,-17.726,-4.30061,301.833,941.136,
318,18.2113,-5.93984,-17.5053,-4.22451,301.917,939.749,
319,18.1332,-5.89928,-17.6211,-4.62738,302.371,938.273,
320,17.7691,-5.73452,-17.4767,-5.28056,302.695,937.247,
321,17.5839,-5.64754,-17.504,-5.69219,303.191,935.768,
322,17.4155,-5.42416,-17.7415,-6.05886,303.48,933.845,
323,17.1952,-5.33978,-17.9088,-6.95705,303.755,932.824,
324,16.8913,-5.21167,-18.0353,-6.69197,305.115,931.02,
325,16.7088,-5.37268,-18.0314,-6.82359,305.786,929.589,
326,16.2776,-5.22195,-17.7978,-7.22026,305.941,928.587,
327,16.2423,-5.22965,-17.7642,-6.8763,306.676,927.073,
328,15.7891,-4.77373,-17.8084,-7.63775,307.213,925.657,
329,15.5894,-5.02961,-17.5806,-7.91657,307.365,924.145,
330,15.2699,-4.72451,-17.5611,-8.3286,308.285,922.418,
331,14.9159,-4.66076,-17.3133,-8.09183,308.962,921.152,
332,14.8149,-4.58091,-17.5034,-8.65918,309.626,919.7,
333,14.6618,-4.30759,-17.9751,-9.38265,310.698,918.382,
334,14.3303,-4.06445,-18.3217,-9.98954,311.334,916.999,
335,14.2065,-4.48894,-18.3517,-9.9956,312.091,915.265,
336,13.7635,-4.14809,-18.344,-10.0978,313.135,914.148,
337,13.2644,-3.84509,-18.2677,-10.4965,313.818,912.118,
338,13.1939,-4.26542,-18.2864,-11.2292,314.71,911.659,
339,12.8381,-3.88251,-18.4636,-12.0816,315.992,910.609,
340,12.2492,-3.41803,-18.5613,-12.4086,316.785,909.627,
341,12.041,-3.72099,-18.5641,-12.335,317.34,908.568,
342,11.6284,-3.42013,-18.565,-12.3882,317.757,907.375,
343,11.1699,-3.09313,-18.6895,-12.6505,318.771,905.874,
344,10.8967,-3.27985,-18.6832,-12.8504,319.591,904.92,
345,10.6907,-3.26317,-18.8645,-12.9248,320.247,903.342,
346,10.3005,-2.94602,-19.0406,-13.9232,321.133,902.683,
347,9.85007,-2.64209,-19.2338,-14.5699,321.641,902.146,
348,9.38387,-2.66302,-19.0469,-14.5584,323.254,901.221,
349,9.13485,-2.89916,-18.8196,-14.4395,324.357,900.246,
350,8.71361,-2.26147,-19.0911,-14.5863,325.398,899.683,
351,8.47525,-2.47471,-19.1912,-14.8838,326.326,899.654,
352,7.96085,-1.99939,-19.3294,-15.1926,327.318,899.062,
353,7.43011,-1.78059,-19.3123,-15.9002,328.244,898.704,
354,6.87915,-1.39796,-19.5963,-16.7993,328.92,898.796,
355,6.56067,-1.64005,-19.7918,-17.2493,329.466,898.704,
356,6.02373,-1.39752,-19.6717,-16.9957,331.059,898.361,
357,5.67266,-1.41777,-19.718,-17.3361,331.972,898.782,
358,5.18895,-1.07683,-19.6827,-17.4466,332.572,898.836,
359,4.77876,-0.930955,-19.832,-17.432,333.958,899.3,
360,4.36906,-0.889502,-19.7028,-18.1309,335.332,899.493,
361,3.87225,-0.555571,-19.6077,-18.4111,336.38,899.308,
362,3.50426,-0.5448,-19.6777,-18.4875,336.768,899.622,
363,3.20305,-0.57267,-19.7623,-18.8509,337.828,899.931,
364,3.00573,-0.687341,-19.9388,-19.3995,338.987,900.792,
365,2.99077,-1.08841,-19.7643,-19.5006,339.737,901.221,
366,2.7715,-0.682156,-19.9181,-20.1543,340.864,902.18,
367,2.26896,0.00219879,-20.0432,-20.8095,342.208,903.871,
368,1.91196,-0.0697391,-19.8429,-20.6839,343.324,905.115,
369,1.70612,-0.220062,-19.7882,-20.4181,344.305,905.694,
370,1.68829,-0.38369,-19.8017,-20.5576,344.939,906.215,
371,1.42141,-0.0578763,-19.8093,-21.4163,345.307,907.723,
372,1.22107,-0.123978,-19.7263,-21.4926,347.012,909.252,
373,0.97174,0.0725377,-20.1612,-22.0355,348.675,910.883,
374,0.918679,-0.251943,-20.1738,-22.3858,349.447,912.776,
375,0.94709,-0.451542,-20.1377,-22.6601,350.464,914.224,
376,0.681662,0.0417858,-20.1997,-22.5135,351.835,916.29,
377,0.678943,-0.273525,-20.3786,-22.7541,353.032,918.628,
378,0.789556,-0.574001,-20.0717,-23.2265,354.102,920.969,
379,0.94089,-0.696086,-20.417,-23.4232,354.622,923.115,
380,1.11177,-0.851357,-20.3927,-23.6347,355.754,925.897,
381,1.16031,-0.689072,-20.3542,-23.9654,357.104,928.168,
382,1.17477,-0.606066,-20.5117,-24.4288,358.135,931.267,
383,1.37786,-1.03884,-20.4041,-24.5355,359.074,934.144,
384,1.57615,-1.1375,-20.5419,-24.4369,360.378,937.452,
385,1.80913,-1.27786,-20.6659,-24.694,361.657,940.582,
386,2.13355,-1.5719,-20.5653,-24.6662,362.443,943.362,
387,2.4262,-1.63522,-20.7131,-25.1446,363.248,946.808,
388,2.72432,-1.74404,-20.7965,-25.5783,363.984,949.882,
389,2.90175,-1.51607,-21.5861,-24.8577,365.104,953.511,
390,3.10274,-1.7972,-21.3948,-24.4499,365.662,956.618,
391,3.15683,-1.59079,-21.2918,-24.7978,366.657,959.847,
392,3.44463,-2.13069,-21.034,-25.6556,367.728,963.877,
393,3.71412,-2.14004,-21.0679,-25.33,369.026,967.468,
394,3.97747,-2.24306,-21.0996,-25.4438,369.374,971.747,
395,4.30609,-2.44243,-21.3011,-25.9024,370.006,975.783,
396,4.62448,-2.65656,-21.1574,-25.3682,370.476,979.246,
397,4.99366,-2.86732,-21.2223,-25.5627,371.05,982.275,
398,5.30139,-2.92995,-21.1186,-25.1097,371.758,985.757,
399,5.87941,-3.5414,-21.0154,-25.1994,372.681,990.204,
400,6.21592,-3.39054,-20.8222,-24.9845,373.558,993.971,
401,6.38081,-3.07593,-20.8279,-25.0193,374.047,998.056,
402,6.68235,-3.22302,-21.0974,-25.2819,374.44,1001.95,
403,7.02297,-3.54812,-21.0072,-25.3595,374.925,1005.91,
404,7.10641,-3.32137,-20.8011,-25.5872,375.277,1010.27,
405,7.64129,-3.93551,-20.9225,-25.1675,375.672,1014.37,
406,7.95139,-3.86214,-21.0463,-25.03,375.725,1018.18,
407,8.09119,-3.63575,-21.195,-25.1938,375.879,1021.91,
408,8.42232,-4.21927,-20.7889,-24.6896,375.689,1025.88,
409,8.68002,-3.95335,-21.164,-25.0581,375.831,1030.03,
410,8.92824,-4.26448,-20.9326,-24.9123,376.122,1034.16,
411,9.30124,-4.50886,-20.8818,-24.2646,375.799,1038.41,
412,9.64706,-4.66416,-20.8585,-24.229,376.103,1042.62,
413,10.2822,-5.40463,-20.6272,-23.169,376.48,1046.33,
414,10.5626,-5.17374,-20.295,-22.4151,376.233,1050.41,
415,11.0017,-5.28546,-20.1782,-21.9745,376.237,1055.01,
416,11.3992,-5.2442,-20.2297,-21.7822,375.674,1059.28,
417,11.6854,-5.22689,-20.1119,-21.7756,375.263,1063.64,
418,12.0528,-5.3114,-20.1824,-21.6199,374.408,1068.07,
419,12.3565,-5.25855,-20.4302,-21.6633,374.55,1072.72,
420,12.5981,-5.30184,-20.6233,-21.5013,374.23,1077.38,
421,12.7843,-5.52975,-20.4448,-21.203,372.96,1082.23,
422,12.9317,-5.565,-20.2604,-20.8577,372.627,1086.45,
423,13.5636,-6.25501,-20.1757,-20.4356,372.446,1090.61,
424,14.208,-6.33553,-20.7774,-20.2859,372.375,1094.91,
425,14.5788,-6.64865,-20.6268,-20.2851,372.192,1098.75,
426,15.1024,-7.15559,-20.3292,-19.2127,371.096,1103.09,
427,15.6887,-7.37509,-20.2091,-19.1048,370.236,1107.17,
428,16.0023,-7.02466,-20.3428,-18.4463,369.596,1111.55,
429,16.3089,-7.08841,-20.2825,-18.2396,368.814,1116.27,
430,16.7989,-7.42284,-20.225,-17.6863,367.384,1120.72,
431,17.5355,-7.9967,-20.1555,-17.2382,366.458,1124.6,
432,18.1838,-8.1649,-20.2893,-17.1727,365.482,1128.7,
433,18.4849,-8.28848,-19.862,-16.2568,363.824,1132.85,
434,18.8777,-8.13353,-19.9429,-15.7554,363.05,1137.43,
435,19.5524,-8.33914,-20.3757,-15.7131,361.962,1141.81,
436,20.2325,-9.14627,-19.9579,-14.5579,360.689,1145.42,
437,20.66,-9.11778,-19.7698,-14.1613,359.3,1149.54,
438,21.3773,-9.24686,-20.0014,-13.85,358.254,1153.43,
439,21.9164,-9.48506,-19.9275,-13.2066,356.681,1156.96,
440,22.8192,-10.0395,-19.9416,-12.7537,355.237,1160.93,
441,23.24,-10.0241,-19.9266,-12.2454,354.061,1165.04,
442,23.5646,-10.0948,-19.7553,-11.8898,352.055,1169.06,
443,24.1333,-10.2422,-19.859,-11.1121,350.786,1172.9,
444,24.515,-10.2837,-20.012,-10.9525,348.725,1176.36,
445,25.041,-10.7058,-19.9753,-10.6188,347.126,1179.72,
446,25.7959,-11.3133,-19.8313,-9.87381,345.441,1183.51,
447,26.3138,-11.5635,-19.5044,-9.16737,343.891,1186.82,
448,26.9879,-11.6766,-19.5197,-8.55803,342.405,1190.25,
449,27.5948,-11.8318,-19.5158,-7.72712,340.428,1193.06,
450,28.2296,-12.0632,-19.5037,-7.64009,338.991,1195.81,
451,28.7859,-12.3053,-19.3311,-7.20169,337.24,1199.12,
452,29.3324,-12.4068,-19.3545,-6.95609,335.449,1202.32,
453,29.6172,-12.4356,-19.201,-6.35373,333.26,1205.55,
454,30.2755,-12.6336,-19.3772,-6.14743,331.451,1208.29,
455,30.8005,-12.9515,-19.2889,-5.62836,329.714,1210.68,
456,31.5314,-13.4769,-19.0045,-5.04773,328.185,1212.82,
457,32.2159,-13.6912,-18.9312,-4.64708,326.193,1215.21,
458,32.663,-13.723,-18.8773,-4.39116,324.138,1217.87,
459,32.9421,-13.712,-18.7313,-4.00745,322.199,1219.78,
460,33.5629,-13.9248,-18.7731,-3.48052,320.726,1222.12,
461,34.2415,-14.4276,-18.3917,-2.6776,318.877,1224.26,
462,34.6798,-14.3442,-18.4309,-2.74278,317.91,1225.92,
463,35.1754,-14.415,-18.526,-2.20442,316.483,1227.64,
464,35.5982,-14.6463,-18.2707,-1.92007,314.653,1229.08,
465,35.9808,-14.6906,-18.1693,-1.68831,313.079,1230.52,
466,36.3507,-14.7089,-18.2249,-1.59992,310.953,1232.22,
467,36.9091,-14.9477,-18.2623,-1.37103,309.605,1232.93,
468,37.4085,-15.2408,-18.1299,-0.640358,308.208,1234.08,
469,37.8738,-15.4815,-17.9282,-0.215043,306.555,1235.55,
470,38.4355,-15.6035,-18.0798,-0.302518,305.581,1236.15,
471,38.9931,-15.9536,-17.8426,0.304155,304.636,1236.63,
472,39.7252,-16.3023,-17.6337,0.749822,303.591,1237.48,
473,40.087,-16.2681,-17.6262,0.535278,302.59,1237.45,
474,40.5042,-16.4505,-17.2934,0.884006,301.311,1237.5,
475,40.9066,-16.3988,-17.4007,0.835151,300.348,1237.78,
476,41.6502,-16.7196,-17.3666,1.14429,299.15,1237.86,
477,41.9345,-16.9637,-17.2593,1.56937,298.376,1238.2,
478,42.5739,-17.1365,-17.3435,1.46427,297.661,1237.78,
479,42.8174,-17.5105,-17.045,1.93436,296.91,1237.29,
480,43.3171,-17.5961,-16.8394,1.8487,295.515,1236.98,
481,43.7248,-17.574,-16.7588,2.11568,294.654,1236.64,
482,44.1623,-17.5919,-16.8139,2.14301,293.734,1235.8,
483,44.7164,-17.7649,-16.8652,1.90734,293.617,1234.78,
484,44.929,-17.7118,-17.1601,2.41007,293.352,1233.95,
485,45.1215,-17.8476,-17.2605,2.45676,292.388,1233.38,
486,45.6013,-18.2428,-17.14,2.84721,291.948,1232.58,
487,46.0191,-18.4217,-17.4351,2.99613,290.884,1231.35,
488,46.4525,-18.8099,-17.3753,3.13797,291.215,1230.12,
489,46.8394,-19.1443,-17.219,3.28572,290.569,1228.71,
490,47.2991,-19.3466,-17.4665,3.2965,290.379,1227.44,
491,47.76,-19.6891,-17.5177,3.43068,290.976,1225.69,
492,47.9165,-19.8307,-17.6713,3.43037,290.759,1224.19,
493,48.2599,-20.1975,-17.5129,3.42261,290.475,1222.36,
494,48.8405,-20.6296,-17.3099,3.41744,290.606,1220.27,
495,48.945,-20.5867,-17.6079,3.18892,290.849,1218.36,
496,49.4052,-20.9247,-17.7887,2.91476,291.281,1216.43,
497,49.4815,-20.9691,-17.8132,3.09065,291.319,1213.76,
498,49.6929,-21.1295,-17.8008,3.22057,291.664,1212.13,
499,49.7775,-21.1271,-17.923,2.98726,292.364,1210.47,
500,50.0008,-21.4033,-18.1965,3.04375,293.325,1207.73,
501,50.3095,-21.8611,-18.0542,3.14484,293.748,1205.57,
502,50.0005,-21.7473,-18.2511,3.24741,293.861,1202.63,
503,49.9581,-21.8397,-18.5143,3.19478,294.302,1200.1,
504,49.8341,-21.9707,-18.5177,3.06306,294.906,1197.5,
505,49.5534,-21.9185,-18.7289,2.51021,295.554,1194.93,
506,49.3316,-21.9324,-18.9807,1.85554,296.028,1191.76,
507,48.8681,-21.8254,-19.262,1.31113,297.203,1188.93,
508,49.0583,-22.2317,-19.0332,1.89633,299.603,1185.66,
509,49.0492,-22.347,-18.9552,2.50262,301.592,1182.54,
510,49.2148,-22.5569,-18.6723,2.52454,303.504,1179.35,
511,48.9898,-22.3071,-18.7908,2.33994,305.392,1175.71,
512,48.5023,-22.0155,-18.6121,2.1344,307.486,1172.85,
513,48.0828,-21.6312,-18.8381,2.07977,308.319,1169.1,
514,47.6469,-21.3243,-19.0702,1.8596,310.485,1165.7,
515,47.329,-21.1602,-19.3497,1.2956,312.886,1162.46,
516,46.7142,-20.8809,-19.3795,0.619702,314.794,1158.58,
517,46.6862,-21.003,-19.3528,0.612242,316.834,1154.56,
518,46.3871,-20.9051,-19.2255,0.606476,319.686,1150.78,
519,45.9574,-20.5466,-19.5811,-0.0230638,322.526,1146.97,
520,45.4534,-20.2369,-19.9859,-0.415983,324.918,1143.6,
521,44.8416,-20.0527,-20.0221,-0.91436,328.02,1139.27,
522,44.2331,-19.8386,-19.9571,-1.06622,330.269,1135.19,
523,43.6654,-19.4611,-20.3118,-1.64455,333.658,1130.91,
524,42.9205,-19.0872,-20.4918,-2.08568,336.323,1126.86,
525,42.5573,-19.0633,-20.5822,-2.82395,339.537,1122.48,
526,41.7974,-18.6887,-20.7313,-2.53971,342.124,1118.69,
527,40.9127,-18.1274,-21.2777,-3.49345,346.075,1115.3,
528,39.8828,-17.617,-21.7849,-4.41649,349.285,1111.69,
529,39.0201,-17.4452,-21.8294,-4.7835,352.878,1107.73,
530,38.2402,-17.09,-22.3568,-5.57422,356.358,1103.94,
531,37.2222,-16.7468,-22.5056,-5.87187,360.255,1099.71,
532,36.281,-16.2553,-23.0112,-6.54563,363.257,1096.41,
533,35.2822,-15.8035,-23.4655,-7.66226,366.639,1092.71,
534,34.2852,-15.491,-23.7707,-7.95751,370.293,1089.51,
535,33.2941,-15.2103,-23.9201,-8.7821,373.466,1086.32,
536,32.2569,-14.6736,-24.3937,-9.2281,376.796,1083.56,
537,31.459,-14.5029,-24.7575,-9.65957,380.133,1080.52,
538,30.6327,-14.2201,-25.2176,-11.3586,383.773,1078.07,
539,29.4864,-13.6494,-25.5303,-11.9072,386.341,1075.4,
540,28.4286,-13.228,-25.8352,-12.8884,389.889,1072.68,
541,27.6763,-13.2824,-25.8075,-13.1444,393.118,1071.21,
542,26.6389,-12.6542,-25.9832,-13.9837,395.531,1069.82,
543,26.0969,-12.6734,-26.069,-15.3128,398.272,1067.69,
544,25.4832,-12.2804,-26.5119,-16.3989,400.365,1066.87,
545,24.6315,-11.9614,-26.4134,-17.2864,402.865,1065.69,
546,24.1086,-11.966,-26.3316,-18.6499,405.8,1065.29,
547,23.5448,-11.8865,-26.003,-19.1346,408.427,1065.2,
548,23.2655,-11.9404,-25.7496,-20.1601,410.142,1065.75,
549,22.8834,-11.3492,-26.0644,-21.5179,412.024,1066.24,
550,22.5134,-11.1651,-26.1295,-22.1527,413.543,1067.52,
551,22.2129,-10.8844,-26.5945,-22.4084,415.834,1069.36,
552,21.9188,-10.9071,-26.8673,-22.876,417.812,1070.65,
553,21.2511,-10.3722,-27.188,-23.1775,418.692,1073.03,
554,21.0682,-10.6739,-27.5473,-23.4307,420.355,1074.67,
555,20.9915,-10.9186,-28.1154,-23.9547,421.488,1077.34,
556,20.8151,-11.2753,-28.1589,-24.2656,422.196,1080.62,
557,20.9835,-11.8564,-28.3551,-24.734,423.3,1083.86,
558,21.1278,-12.0839,-28.777,-24.7107,424.656,1087.68,
559,21.2256,-12.372,-28.9967,-24.7776,425.407,1091.45,
560,21.5239,-12.8659,-29.3683,-24.7661,426.131,1095.21,
561,21.7224,-13.1581,-29.6885,-24.8016,426.964,1099.18,
562,21.9195,-13.543,-29.8337,-24.8311,427.342,1103.81,
563,21.9722,-13.7815,-29.5662,-24.7556,427.213,1108.03,
564,22.4508,-14.2544,-29.8392,-24.9266,428.043,1112.15,
565,22.6868,-14.1635,-30.5387,-25.1713,428.872,1116.3,
566,23.1281,-14.8498,-31.0122,-24.533,429.193,1120.58,
567,23.1301,-14.8085,-31.442,-24.8095,429.689,1125.56,
568,23.321,-15.3956,-31.4395,-24.5883,429.802,1129.83,
569,23.3618,-15.4485,-31.6119,-24.3046,430.282,1134.23,
570,23.6341,-15.8356,-31.9833,-24.0172,430.056,1138.47,
571,23.8075,-16.1134,-32.2755,-24.0511,430.745,1142.47,
572,23.908,-16.2891,-32.5729,-23.4617,431.041,1146.95,
573,23.7391,-16.0477,-32.9378,-23.4028,431.185,1151.04,
574,23.774,-16.4729,-32.9249,-22.9224,431.417,1155.24,
575,23.7812,-16.7045,-32.7781,-22.7615,431.236,1159.51,
576,23.8556,-16.7106,-33.0453,-22.5039,431.62,1163.57,
577,23.85,-16.7504,-33.2,-22.6701,431.619,1167.85,
578,24.0065,-17.0585,-33.4131,-22.5286,432.171,1171.79,
579,23.9288,-16.9982,-33.5002,-22.2,431.933,1175.62,
580,23.9762,-17.1473,-33.6412,-22.1279,432.196,1179.13,
581,23.8601,-16.931,-33.967,-22.1524,432.815,1183.28,
582,23.6719,-16.9779,-33.7892,-21.949,432.316,1187.61,
583,23.8099,-17.3003,-33.9102,-21.7713,432.995,1191.82,
584,23.8989,-17.6675,-33.4791,-21.1414,432.819,1195.67,
585,23.6674,-17.0524,-33.4882,-20.7823,433.052,1199.56,
586,23.693,-17.1279,-33.3955,-20.5769,433.288,1203.78,
587,23.8351,-17.2074,-33.6729,-20.6824,432.339,1208.01,
588,23.8156,-17.2103,-33.6858,-20.5008,432.165,1211.49,
589,23.8703,-17.3042,-33.8181,-20.322,431.325,1215.95,
590,24.106,-17.6784,-34.0322,-20.4187,431.513,1219.76,
591,24.0834,-17.6751,-34.0593,-19.9733,431.221,1224.24,
592,24.0538,-17.7959,-33.7264,-19.4609,430.265,1228.98,
593,24.2524,-17.9965,-33.6724,-19.1193,429.461,1232.85,
594,24.4256,-18.12,-33.6255,-18.8106,428.53,1236.95,
595,24.582,-18.1495,-33.7582,-18.3567,427.036,1241.25,
596,24.6139,-18.2002,-33.5116,-17.8149,426.17,1245.62,
597,25.0456,-18.5247,-34.0433,-17.9193,425.15,1249.29,
598,25.1926,-18.8354,-33.8737,-18.0282,424.137,1253.32,
599,25.2796,-18.8288,-33.9471,-18.0733,422.582,1258.2,
600,25.5357,-19.1564,-34.0097,-17.8864,421.489,1262.24,
601,25.7254,-19.4077,-33.8757,-17.3105,420.217,1266.1,
602,25.9724,-19.6995,-33.6464,-17.1302,418.532,1270.78,
603,26.1752,-19.7287,-33.6285,-17.0551,416.816,1274.61,
604,26.3995,-19.7996,-33.7309,-16.6469,415.413,1278.54,
605,26.7624,-20.2263,-33.6495,-16.1181,413.218,1282.5,
606,27.0625,-20.5657,-33.3112,-15.0831,411.163,1287.1,
607,27.3197,-20.5757,-33.284,-15.2806,409.345,1291.2,
608,27.7428,-20.9897,-32.9768,-15.3398,407.359,1294.83,
