Stick-right
Frame,Root<a-X>,Root<a-Y>,Root<a-Z>,Root<t-X>,Root<t-Y>,Root<t-Z>,
370,0.0330131,-0.324599,13.0039,265.105,308.249,813.136,
371,-0.292846,-0.559879,13.0731,264.807,309.04,814.43,
372,-0.549522,-0.763005,12.971,264.933,309.51,815.684,
373,-1.07541,-1.14646,13.0413,265.142,310.314,817.393,
374,-1.41839,-1.24848,13.0039,265.114,310.695,818.082,
375,-1.88918,-1.28914,13.2462,265.003,311.4,818.869,
376,-2.27203,-1.5425,13.1228,264.739,312.421,820.342,
377,-2.66536,-1.53352,13.2203,265.072,313.364,821.861,
378,-2.94317,-1.54498,13.202,265.631,313.954,822.792,
379,-3.12781,-1.54193,13.0815,265.284,314.372,824.367,
380,-3.69015,-1.85099,13.1575,265.315,314.985,826.6,
381,-4.11336,-1.85903,13.3403,265.947,316.226,828.009,
382,-4.38791,-2.20407,13.2736,265.721,317.062,829.475,
383,-4.9481,-2.55157,13.1246,265.134,318.236,831.613,
384,-5.28556,-2.42053,13.1092,265.023,318.487,833.418,
385,-5.65688,-2.1645,13.3158,265.041,319.194,835.076,
386,-6.11564,-2.51995,13.1936,264.876,319.924,837.068,
387,-6.54251,-2.37304,13.4788,265.421,320.889,838.847,
388,-7.02181,-2.82251,13.2575,265.432,321.475,841.623,
389,-7.01369,-2.3649,13.2604,265.427,321.866,843.221,
390,-7.24361,-2.55817,13.0777,265.437,322.827,845.956,
391,-7.24482,-2.21751,13.0839,265.161,323.452,847.946,
392,-7.65267,-2.10607,13.4356,265.615,324.621,850.596,
393,-7.69153,-2.18617,13.2858,265.28,325.142,853.248,
394,-7.6301,-1.96406,13.3449,265.5,325.384,854.955,
395,-7.63877,-1.81649,13.4591,265.213,325.63,857.816,
396,-7.62218,-1.74872,13.5009,265.328,326.233,860.48,
397,-7.39,-1.51222,13.4405,265.284,326.859,863.099,
398,-7.27619,-1.49683,13.4219,265.001,327.32,865.956,
399,-6.95846,-0.975821,13.637,265.424,328.046,868.457,
400,-6.7182,-0.910602,13.6931,265.731,328.817,871.338,
401,-6.52044,-0.66585,14.0182,266.03,329.418,874.163,
402,-5.98651,-0.318,14.0583,265.747,329.694,876.446,
403,-5.73147,-0.47797,14.0246,265.503,329.608,879.365,
404,-5.30297,-0.0033016,14.356,265.789,330.067,882.21,
405,-4.77452,0.201325,14.3939,265.875,330.427,885.099,
406,-4.02828,0.474228,14.2295,265.896,330.932,887.278,
407,-3.49358,0.583174,14.2218,266.01,331.341,890.379,
408,-2.95533,0.961802,14.4713,266.35,332.453,893.417,
